Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,43.900001525878906,44.47999954223633,42.567501068115234,43.32500076293945,42.66337585449219,161584400,AAPL,,False,,False,,False,,43.0,True,43.0,True,43.0,True,43.0,True,43.0,True,0.0,0.0,0.0,
2019-06-04,43.86000061035156,44.95750045776367,43.630001068115234,44.90999984741211,44.22417449951172,123872000,AAPL,,False,,False,,False,,44.0,True,44.0,True,43.0,True,43.0,True,43.0,True,0.1264386734052252,0.02528773468104504,0.10115093872418016,
2019-06-05,46.06999969482422,46.247501373291016,45.28499984741211,45.6349983215332,44.9380989074707,119093600,AAPL,,False,,False,,False,,44.0,True,44.0,True,44.0,True,43.0,True,43.0,True,0.2818940516622206,0.07660899807728015,0.20528505358494042,
2019-06-06,45.77000045776367,46.36750030517578,45.537498474121094,46.30500030517578,45.59786605834961,90105200,AAPL,,False,,False,,False,,45.0,True,44.0,True,44.0,True,44.0,True,43.0,True,0.45392455979902735,0.1520721104216296,0.30185244937739775,
2019-06-07,46.627498626708984,47.97999954223633,46.442501068115234,47.537498474121094,46.81155014038086,122737600,AAPL,,False,,False,,False,,46.0,True,45.0,True,44.0,True,44.0,True,43.0,True,0.6818523097389004,0.2580281502850838,0.42382415945381663,
2019-06-10,47.95249938964844,48.842498779296875,47.904998779296875,48.14500045776367,47.409767150878906,104883600,AAPL,,False,,False,,False,,47.0,True,46.0,True,45.0,True,44.0,True,43.0,True,0.9011194822075694,0.386646416669581,0.5144730655379884,
2019-06-11,48.71500015258789,49.0,48.400001525878906,48.70249938964844,47.9587516784668,107731600,AAPL,,False,,False,,False,,47.0,True,46.0,True,45.0,True,44.0,True,44.0,True,1.1071136833267303,0.5307398700010109,0.5763738133257195,
2019-06-12,48.48749923706055,48.99250030517578,48.34749984741211,48.54750061035156,47.80612564086914,73012800,AAPL,,False,,False,,False,,48.0,True,47.0,True,45.0,True,44.0,True,44.0,True,1.243523896301511,0.6732966752611109,0.5702272210404,
2019-06-13,48.67499923706055,49.1974983215332,48.400001525878906,48.537498474121094,47.79627227783203,86698400,AAPL,,False,,False,,False,,48.0,True,47.0,True,46.0,True,44.0,True,44.0,True,1.3354288910832963,0.805723118425548,0.5297057726577483,
2019-06-14,47.88750076293945,48.397499084472656,47.57500076293945,48.185001373291016,47.449153900146484,75046000,AAPL,,False,,False,,False,,48.0,True,47.0,True,46.0,True,45.0,True,44.0,True,1.3640962391670968,0.9173977425738579,0.4466984965932389,
2019-06-17,48.224998474121094,48.7400016784668,48.04249954223633,48.47249984741211,47.732269287109375,58676400,AAPL,,False,,False,,False,,48.0,True,47.0,True,46.0,True,45.0,True,44.0,True,1.3939455070923614,1.0127072954775587,0.38123821161480276,
2019-06-18,49.01250076293945,50.0724983215332,48.8025016784668,49.61249923706055,48.8548583984375,106204000,AAPL,,False,,False,,False,,49.0,True,48.0,True,46.0,True,45.0,True,44.0,True,1.4923863890332072,1.1086431141886885,0.38374327484451864,
2019-06-19,49.91999816894531,49.970001220703125,49.32749938964844,49.467498779296875,48.71207046508789,84496800,AAPL,,False,,False,,False,,49.0,True,48.0,True,47.0,True,45.0,True,44.0,True,1.5409381957574695,1.1951021305024447,0.34583606525502475,
2019-06-20,50.092498779296875,50.15250015258789,49.50749969482422,49.8650016784668,49.10350036621094,86056000,AAPL,,False,,False,,False,,49.0,True,48.0,True,47.0,True,45.0,True,44.0,True,1.5931264443127375,1.2747069932645034,0.3184194510482341,
2019-06-21,49.70000076293945,50.212501525878906,49.537498474121094,49.69499969482422,48.936092376708984,191202400,AAPL,,False,,False,,False,,49.0,True,49.0,True,47.0,True,45.0,True,44.0,True,1.6022979743225818,1.3402251894761192,0.26207278484646257,85.9657770619504
2019-06-24,49.6349983215332,50.040000915527344,49.54249954223633,49.64500045776367,48.886863708496094,72881600,AAPL,,False,,False,,False,,49.0,True,49.0,True,47.0,True,46.0,True,44.0,True,1.5872352968801948,1.3896272109569345,0.1976080859232603,84.95800138356554
2019-06-25,49.60749816894531,49.814998626708984,48.8224983215332,48.89250183105469,48.14585494995117,84281200,AAPL,,False,,False,,False,,49.0,False,49.0,False,48.0,True,46.0,True,44.0,True,1.497317521860161,1.41116527313758,0.0861522487225812,71.39297147730007
2019-06-26,49.442501068115234,50.247501373291016,49.337501525878906,49.95000076293945,49.18720626831055,104270000,AAPL,,False,,False,,False,,50.0,False,49.0,True,48.0,True,46.0,True,44.0,True,1.4941645642385808,1.4277651313577802,0.06639943288080064,76.96035521465315
2019-06-27,50.0724983215332,50.39250183105469,49.89250183105469,49.935001373291016,49.17243576049805,83598800,AAPL,,False,,False,,False,,50.0,False,49.0,True,48.0,True,46.0,True,44.0,True,1.473470249386608,1.4369061549635458,0.0365640944230623,76.73225028272275
2019-06-28,49.66999816894531,49.875,49.26250076293945,49.47999954223633,48.72438430786133,124442400,AAPL,,False,,False,,False,,50.0,False,49.0,True,48.0,True,46.0,True,44.0,True,1.404168628727426,1.4303586497163219,-0.02619002098889589,69.95845507338062
2019-07-01,50.79249954223633,51.122501373291016,50.162498474121094,50.38750076293945,49.61802673339844,109012000,AAPL,,False,,False,,False,,50.0,True,49.0,True,48.0,True,46.0,True,44.0,True,1.4062638252616253,1.4255396848253827,-0.019275859563757436,74.74683592299357
2019-07-02,50.352500915527344,50.782501220703125,50.34000015258789,50.682498931884766,49.908512115478516,67740800,AAPL,,False,,False,,False,,50.0,True,50.0,True,49.0,True,47.0,True,44.0,True,1.4154121798950356,1.4235141838393135,-0.008102003944277847,76.08145685398273
2019-07-03,50.81999969482422,51.11000061035156,50.67250061035156,51.102500915527344,50.32210159301758,45448000,AAPL,,False,,False,,False,,50.0,True,50.0,True,49.0,True,47.0,True,44.0,True,1.4399540726203952,1.42680216159553,0.013151911024865237,77.87435178306788
2019-07-05,50.837501525878906,51.27000045776367,50.724998474121094,51.057498931884766,50.27779006958008,69062000,AAPL,,False,,False,,False,,51.0,True,50.0,True,49.0,True,47.0,True,44.0,True,1.4391824164010174,1.4292782125566275,0.009904203844389947,77.20656267371893
2019-07-08,50.20249938964844,50.349998474121094,49.602500915527344,50.005001068115234,49.24135971069336,101354400,AAPL,,False,,False,,False,,50.0,True,50.0,True,49.0,True,47.0,True,45.0,True,1.3382169596731543,1.4110659619799328,-0.07284900230677849,63.4931379322644
2019-07-09,49.79999923706055,50.377498626708984,49.70249938964844,50.310001373291016,49.54171371459961,82312000,AAPL,,False,,False,,False,,50.0,True,50.0,True,49.0,True,47.0,True,45.0,True,1.2681931423115245,1.3824913980462512,-0.11429825573472674,65.41048158276551
2019-07-10,50.462501525878906,50.932498931884766,50.38999938964844,50.807498931884766,50.031612396240234,71588400,AAPL,,False,,False,,False,,51.0,False,50.0,True,49.0,True,47.0,True,45.0,True,1.2385652485705876,1.3537061681511187,-0.11514091958053108,68.33207899317624
2019-07-11,50.82749938964844,51.09749984741211,50.4275016784668,50.4375,49.667259216308594,80767200,AAPL,,False,,False,,False,,51.0,False,50.0,True,49.0,True,47.0,True,45.0,True,1.1717222233118534,1.3173093791832655,-0.14558715587141213,64.00230086421764
2019-07-12,50.61249923706055,51.0,50.54999923706055,50.82500076293945,50.04884719848633,70380800,AAPL,,False,,False,,False,,51.0,False,50.0,True,50.0,True,48.0,True,45.0,True,1.136911113690509,1.2812297260847143,-0.1443186123942053,66.40331238684934
2019-07-15,51.022499084472656,51.467498779296875,51.0,51.3025016784668,50.51905059814453,67789600,AAPL,,False,,False,,False,,51.0,True,51.0,True,50.0,True,48.0,True,45.0,True,1.134772441423081,1.2519382691523877,-0.11716582772930662,69.13523738763296
2019-07-16,51.147499084472656,51.52750015258789,50.875,51.125,50.34425735473633,67467200,AAPL,,False,,False,,False,,51.0,True,51.0,True,50.0,True,48.0,True,45.0,True,1.106005285764084,1.2227516724747272,-0.11674638671064308,66.9556587754904
2019-07-17,51.01250076293945,51.272499084472656,50.817501068115234,50.837501525878906,50.061153411865234,56430000,AAPL,,False,,False,,False,,51.0,False,51.0,False,50.0,True,48.0,True,45.0,True,1.0479285158932328,1.1877870411584284,-0.1398585252651956,63.46562672303719
2019-07-18,51.0,51.470001220703125,50.92499923706055,51.415000915527344,50.62983322143555,74162400,AAPL,,False,,False,,False,,51.0,True,51.0,True,50.0,True,48.0,True,45.0,True,1.0365528951869507,1.157540211964133,-0.12098731677718222,67.16769305740718
2019-07-19,51.4474983215332,51.625,50.59000015258789,50.647499084472656,49.874053955078125,83717200,AAPL,,False,,False,,False,,51.0,False,51.0,False,50.0,True,48.0,True,45.0,True,0.9546025859433556,1.1169526867599775,-0.16235010081662193,58.660250560627624
2019-07-22,50.912498474121094,51.807498931884766,50.90250015258789,51.80500030517578,51.01387405395508,89111600,AAPL,,False,,False,,False,,51.0,True,51.0,True,50.0,True,48.0,True,45.0,True,0.9718541209687785,1.0879329736017378,-0.11607885263295925,65.71348952049087
