Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-05-31,1790.010009765625,1795.5899658203125,1772.699951171875,1775.0699462890625,1775.0699462890625,4618800,AMZN,,False,,False,,False,,1775.0,True,1775.0,True,1775.0,True,1775.0,True,1775.0,True,0.0,0.0,0.0,
2019-06-03,1760.010009765625,1766.2900390625,1672.0,1692.68994140625,1692.68994140625,9098700,AMZN,,False,,False,,False,,1748.0,False,1760.0,False,1768.0,False,1772.0,False,1774.0,False,-6.571624321136142,-1.3143248642272285,-5.257299456908913,
2019-06-04,1699.239990234375,1730.8199462890625,1680.8900146484375,1729.56005859375,1729.56005859375,5679100,AMZN,,False,,False,,False,,1742.0,False,1755.0,False,1764.0,False,1770.0,False,1774.0,False,-8.70423659970561,-2.792307211322905,-5.911929388382704,
2019-06-05,1749.5999755859375,1752.0,1715.25,1738.5,1738.5,4239800,AMZN,,False,,False,,False,,1741.0,False,1752.0,False,1762.0,False,1769.0,False,1773.0,False,-9.562735377006902,-4.1463928444597045,-5.416342532547198,
2019-06-06,1737.7099609375,1760.0,1726.1300048828125,1754.3599853515625,1754.3599853515625,3689300,AMZN,,False,,False,,False,,1745.0,True,1752.0,True,1761.0,False,1768.0,False,1773.0,False,-8.861187321183706,-5.089351739804505,-3.771835581379201,
2019-06-07,1763.699951171875,1806.25,1759.489990234375,1804.030029296875,1804.030029296875,4808200,AMZN,,False,,False,,False,,1765.0,True,1762.0,True,1765.0,True,1770.0,True,1774.0,True,-4.248276508919389,-4.921136693627482,0.6728601847080933,
2019-06-10,1822.0,1884.8699951171875,1818.0,1860.6300048828125,1860.6300048828125,5371000,AMZN,,False,,False,,False,,1797.0,True,1780.0,True,1774.0,True,1773.0,True,1774.0,True,3.9293385788719206,-3.1510416391276017,7.080380217999522,
2019-06-11,1883.25,1893.699951171875,1858.0,1863.699951171875,1863.699951171875,4042700,AMZN,,False,,False,,False,,1819.0,True,1795.0,True,1782.0,True,1777.0,True,1775.0,True,10.53641917978598,-0.4135494753448854,10.949968655130865,
2019-06-12,1853.97998046875,1865.0,1844.3800048828125,1855.3199462890625,1855.3199462890625,2678300,AMZN,,False,,False,,False,,1831.0,True,1806.0,True,1789.0,True,1780.0,True,1776.0,True,14.9243432590265,2.6540290715293917,12.270314187497108,
2019-06-13,1866.719970703125,1883.0899658203125,1862.219970703125,1870.300048828125,1870.300048828125,2795800,AMZN,,False,,False,,False,,1844.0,True,1818.0,True,1796.0,True,1783.0,True,1777.0,True,19.38709146372389,6.000641549968291,13.3864499137556,
