Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,40.72999954223633,40.9900016784668,39.880001068115234,40.13999938964844,39.039852142333984,482800,ARKK,,False,,False,,False,,40.0,True,40.0,True,40.0,True,40.0,True,40.0,True,0.0,0.0,0.0,
2019-06-04,40.84000015258789,41.84000015258789,40.52000045776367,41.79999923706055,40.654354095458984,320400,ARKK,,False,,False,,False,,41.0,True,40.0,True,40.0,True,40.0,True,40.0,True,0.1324216402493974,0.02648432804987948,0.10593731219951792,
2019-06-05,42.33000183105469,42.36000061035156,41.64099884033203,42.11000061035156,40.95586013793945,551700,ARKK,,False,,False,,False,,41.0,True,41.0,True,40.0,True,40.0,True,40.0,True,0.25939116435120724,0.07306569531014503,0.1863254690410622,
2019-06-06,42.31999969482422,42.369998931884766,41.81999969482422,42.130001068115234,40.975311279296875,725600,ARKK,,False,,False,,False,,41.0,True,41.0,True,41.0,True,40.0,True,40.0,True,0.3575081651716516,0.12995418928244634,0.22755397588920528,
2019-06-07,42.47999954223633,43.310001373291016,42.47999954223633,43.209999084472656,42.02571105957031,236800,ARKK,,False,,False,,False,,42.0,True,41.0,True,41.0,True,40.0,True,40.0,True,0.5164599800518346,0.207255347436324,0.30920463261551057,
2019-06-10,43.540000915527344,44.3120002746582,43.540000915527344,43.619998931884766,42.42447280883789,278900,ARKK,,False,,False,,False,,43.0,True,42.0,True,41.0,True,41.0,True,40.0,True,0.667815834466019,0.299367444842263,0.368448389623756,
2019-06-11,44.2400016784668,44.31999969482422,42.869998931884766,43.29999923706055,42.113243103027344,281500,ARKK,,False,,False,,False,,43.0,True,42.0,True,41.0,True,41.0,True,40.0,True,0.7532620030442487,0.39014635648266016,0.36311564656158857,
2019-06-12,43.2599983215332,43.44900131225586,42.79999923706055,43.150001525878906,41.96735382080078,188900,ARKK,,False,,False,,False,,43.0,True,42.0,True,41.0,True,41.0,True,40.0,True,0.7996571951632063,0.4720485242187694,0.3276086709444369,
2019-06-13,43.310001373291016,43.68000030517578,43.13999938964844,43.68000030517578,42.48283004760742,197600,ARKK,,False,,False,,False,,43.0,True,43.0,True,42.0,True,41.0,True,40.0,True,0.8691729070503058,0.5514734007850767,0.31769950626522914,
2019-06-14,43.45000076293945,43.599998474121094,42.970001220703125,43.06999969482422,41.889549255371094,257900,ARKK,,False,,False,,False,,43.0,True,43.0,True,42.0,True,41.0,True,40.0,True,0.8650706621810968,0.6141928530642807,0.2508778091168161,
2019-06-17,43.16999816894531,44.630001068115234,43.15399932861328,44.40999984741211,43.19282150268555,208400,ARKK,,False,,False,,False,,44.0,True,43.0,True,42.0,True,41.0,True,40.0,True,0.9588928966104504,0.6831328617735146,0.2757600348369358,
2019-06-18,44.97999954223633,45.540000915527344,44.849998474121094,45.11000061035156,43.87363815307617,467700,ARKK,,False,,False,,False,,44.0,True,43.0,True,42.0,True,41.0,True,40.0,True,1.0773133075618233,0.7619689509311764,0.31534435663064686,
2019-06-19,45.279998779296875,45.36000061035156,44.82099914550781,45.27000045776367,44.02925109863281,191200,ARKK,,False,,False,,False,,44.0,True,44.0,True,43.0,True,41.0,True,41.0,True,1.170579277672708,0.8436910162794828,0.32688826139322513,
2019-06-20,45.88999938964844,46.02000045776367,45.029998779296875,45.33000183105469,44.087608337402344,208700,ARKK,,False,,False,,False,,45.0,True,44.0,True,43.0,True,42.0,True,41.0,True,1.2350974062252789,0.9219722942686421,0.3131251119566367,
