Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,87.01000213623047,87.7300033569336,80.68000030517578,81.87000274658203,81.87000274658203,1516200,AYX,,False,,False,,False,,82.0,False,82.0,False,82.0,False,82.0,False,82.0,False,0.0,0.0,0.0,
2019-06-04,82.77999877929688,85.5999984741211,81.43000030517578,85.41999816894531,85.41999816894531,1306600,AYX,,False,,False,,False,,83.0,True,83.0,True,82.0,True,82.0,True,82.0,True,0.2831905180232752,0.05663810360465504,0.22655241441862017,
2019-06-05,86.02999877929688,87.1500015258789,84.37999725341797,86.66999816894531,86.66999816894531,763600,AYX,,False,,False,,False,,84.0,True,83.0,True,83.0,True,82.0,True,82.0,True,0.6015512883489436,0.16562074055351275,0.43593054779543083,
2019-06-06,86.20999908447266,91.48999786376953,84.11799621582031,91.22000122070312,91.22000122070312,1931700,AYX,,False,,False,,False,,87.0,True,85.0,True,83.0,True,83.0,True,82.0,True,1.2070871633785174,0.3739140251185137,0.8331731382600037,
2019-06-07,92.83999633789062,99.80999755859375,92.83999633789062,95.1500015258789,95.1500015258789,2725200,AYX,,False,,False,,False,,89.0,True,87.0,True,84.0,True,83.0,True,82.0,True,1.981258176268966,0.6953828553486042,1.2858753209203617,
2019-06-10,98.75,106.25,96.97000122070312,97.80999755859375,97.80999755859375,3025100,AYX,,False,,False,,False,,92.0,True,89.0,True,86.0,True,84.0,True,82.0,True,2.777417392097476,1.1117897626983786,1.6656276293990975,
2019-06-11,98.19999694824219,99.8499984741211,93.70999908447266,95.77999877929688,95.77999877929688,1948100,AYX,,False,,False,,False,,93.0,True,90.0,True,87.0,True,84.0,True,82.0,True,3.2076001526790634,1.5309518406945157,1.6766483119845477,
2019-06-12,96.58999633789062,107.08000183105469,95.77999877929688,104.45999908447266,104.45999908447266,3107500,AYX,,False,,False,,False,,97.0,True,93.0,True,88.0,True,85.0,True,83.0,True,4.200505756935883,2.064862623942789,2.1356431329930934,
2019-06-13,104.5999984741211,104.8290023803711,101.95999908447266,102.12999725341797,102.12999725341797,1856100,AYX,,False,,False,,False,,99.0,True,94.0,True,89.0,True,86.0,True,83.0,True,4.74468514973745,2.600827129101721,2.1438580206357285,
2019-06-14,102.4800033569336,104.79000091552734,100.3499984741211,104.11000061035156,104.11000061035156,1110500,AYX,,False,,False,,False,,101.0,True,96.0,True,91.0,True,86.0,True,83.0,True,5.274915025565434,3.1356447083944636,2.1392703171709706,
2019-06-17,105.05999755859375,107.98999786376953,104.3499984741211,106.63999938964844,106.63999938964844,1000400,AYX,,False,,False,,False,,103.0,True,98.0,True,92.0,True,87.0,True,83.0,True,5.832047565653028,3.6749252798461765,2.1571222858068513,
2019-06-18,107.62999725341797,109.5009994506836,106.1500015258789,106.36000061035156,106.36000061035156,1056000,AYX,,False,,False,,False,,104.0,True,100.0,True,94.0,True,88.0,True,84.0,True,6.179749253519589,4.17589007458086,2.003859178938729,
2019-06-19,107.44999694824219,109.20999908447266,105.25,109.05000305175781,109.05000305175781,752000,AYX,,False,,False,,False,,106.0,True,101.0,True,95.0,True,89.0,True,84.0,True,6.59632770226203,4.659977600117093,1.936350102144937,
2019-06-20,110.5,111.88999938964844,108.20999908447266,109.9800033569336,109.9800033569336,1148200,AYX,,False,,False,,False,,107.0,True,103.0,True,96.0,True,90.0,True,84.0,True,6.92172306163539,5.112326692420753,1.809396369214637,
