Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,2945.0,3077.949951171875,2904.60009765625,3034.60009765625,2840.5966796875,1302391,BAJAJ-AUTO.NS,,False,,False,,False,,3035.0,False,3035.0,False,3035.0,False,3035.0,False,3035.0,False,0.0,0.0,0.0,
2019-06-04,3026.199951171875,3029.300048828125,2970.39990234375,2983.89990234375,2793.1376953125,450220,BAJAJ-AUTO.NS,,False,,False,,False,,3018.0,False,3025.0,False,3030.0,False,3033.0,False,3034.0,False,-4.044460024929322,-0.8088920049858643,-3.2355680199434573,
2019-06-06,3002.0,3027.89990234375,2960.0,2991.64990234375,2800.392333984375,481570,BAJAJ-AUTO.NS,,False,,False,,False,,3009.0,False,3019.0,False,3027.0,False,3031.0,False,3034.0,False,-6.548872180928356,-1.956888040174363,-4.591984140753993,
2019-06-07,2999.949951171875,3006.64990234375,2953.449951171875,2961.39990234375,2772.075927734375,212676,BAJAJ-AUTO.NS,,False,,False,,False,,2993.0,False,3009.0,False,3021.0,False,3028.0,False,3033.0,False,-10.84949284809636,-3.7354090017587627,-7.114083846337598,
2019-06-10,2976.0,2999.0,2963.60009765625,2989.800048828125,2798.660400390625,155660,BAJAJ-AUTO.NS,,False,,False,,False,,2992.0,False,3005.0,False,3018.0,False,3027.0,False,3033.0,False,-11.829745299709884,-5.354276261348987,-6.475469038360897,
2019-06-11,3003.800048828125,3025.0,2981.0,2987.14990234375,2796.1796875,355284,BAJAJ-AUTO.NS,,False,,False,,False,,2990.0,False,3002.0,False,3015.0,False,3025.0,False,3032.0,False,-12.674345141753747,-6.81829003742994,-5.856055104323807,
2019-06-12,2991.0,2997.050048828125,2931.300048828125,2944.5,2756.256591796875,273834,BAJAJ-AUTO.NS,,False,,False,,False,,2975.0,False,2992.0,False,3009.0,False,3022.0,False,3031.0,False,-16.593903095086716,-8.773412648961296,-7.8204904461254205,
2019-06-13,2951.0,2955.0,2901.25,2922.64990234375,2735.803466796875,224615,BAJAJ-AUTO.NS,,False,,False,,False,,2958.0,False,2979.0,False,3001.0,False,3018.0,False,3030.0,False,-21.21870525793929,-11.262471170756896,-9.956234087182395,
2019-06-14,2927.0,2935.0,2865.0,2872.550048828125,2688.906494140625,353978,BAJAJ-AUTO.NS,,False,,False,,False,,2929.0,False,2960.0,False,2989.0,False,3012.0,False,3029.0,False,-28.59688666019065,-14.729354268643647,-13.867532391547002,
2019-06-17,2865.050048828125,2870.0,2827.800048828125,2836.199951171875,2654.880126953125,314402,BAJAJ-AUTO.NS,,False,,False,,False,,2898.0,False,2937.0,False,2975.0,False,3006.0,False,3027.0,False,-36.951345558633875,-19.173752526641692,-17.777593031992183,
2019-06-18,2837.0,2882.050048828125,2837.0,2855.60009765625,2673.040283203125,308511,BAJAJ-AUTO.NS,,False,,False,,False,,2884.0,False,2922.0,False,2964.0,False,3000.0,False,3025.0,False,-41.52817380158194,-23.644636781629742,-17.8835370199522,
2019-06-19,2870.0,2884.0,2803.0,2822.89990234375,2642.430419921875,294638,BAJAJ-AUTO.NS,,False,,False,,False,,2864.0,False,2904.0,False,2951.0,False,2993.0,False,3023.0,False,-47.249314942192996,-28.365572413742395,-18.8837425284506,
2019-06-20,2837.89990234375,2906.89990234375,2806.14990234375,2897.300048828125,2712.07421875,301774,BAJAJ-AUTO.NS,,False,,False,,False,,2875.0,True,2903.0,False,2947.0,False,2989.0,False,3022.0,False,-45.25818232776737,-31.744094396547393,-13.51408793121998,
2019-06-21,2894.89990234375,2910.89990234375,2844.10009765625,2875.550048828125,2691.714599609375,529699,BAJAJ-AUTO.NS,,False,,False,,False,,2875.0,True,2898.0,False,2940.0,False,2985.0,False,3020.0,False,-44.91745811614874,-34.378767140467666,-10.538690975681071,
