Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,8194.0,8365.0,8194.0,8348.099609375,8340.693359375,170966,BAJAJFINSV.NS,,False,,False,,False,,8348.0,True,8348.0,True,8348.0,True,8348.0,True,8348.0,True,0.0,0.0,0.0,
2019-06-04,8344.9501953125,8388.0,8292.349609375,8312.849609375,8305.4755859375,132333,BAJAJFINSV.NS,,False,,False,,False,,8336.0,False,8342.0,False,8345.0,False,8347.0,False,8348.0,False,-2.8119658119649102,-0.5623931623929821,-2.2495726495719284,
2019-06-06,8329.0,8362.7998046875,8102.10009765625,8125.2001953125,8117.9921875,176636,BAJAJFINSV.NS,,False,,False,,False,,8266.0,False,8302.0,False,8325.0,False,8338.0,False,8346.0,False,-19.95221176294217,-4.44035688250282,-15.511854880439351,
2019-06-07,8160.0,8245.0,8103.39990234375,8202.349609375,8195.0732421875,159028,BAJAJFINSV.NS,,False,,False,,False,,8245.0,False,8284.0,False,8314.0,False,8333.0,False,8344.0,False,-26.999434542762174,-8.952172414554692,-18.047262128207482,
2019-06-10,8260.0,8360.0,8226.7001953125,8304.4501953125,8297.08203125,186362,BAJAJFINSV.NS,,False,,False,,False,,8265.0,True,8288.0,True,8313.0,False,8332.0,False,8344.0,False,-24.068300981592984,-11.97539812796235,-12.092902853630633,
2019-06-11,8310.0,8339.099609375,8241.599609375,8270.650390625,8263.3134765625,165578,BAJAJFINSV.NS,,False,,False,,False,,8267.0,True,8285.0,False,8309.0,False,8329.0,False,8343.0,False,-24.19382690182647,-14.419083882735176,-9.774743019091293,
2019-06-12,8275.0,8288.599609375,8185.89990234375,8245.599609375,8238.2841796875,125371,BAJAJFINSV.NS,,False,,False,,False,,8260.0,False,8278.0,False,8303.0,False,8326.0,False,8342.0,False,-26.014813213669186,-16.73822974892198,-9.276583464747205,
2019-06-13,8237.4501953125,8320.0,8213.0,8292.349609375,8284.9931640625,115153,BAJAJFINSV.NS,,False,,False,,False,,8271.0,True,8280.0,True,8302.0,False,8325.0,False,8342.0,False,-23.415702053845962,-18.07372420990678,-5.341977843939183,
2019-06-14,8287.0,8315.0,8200.0,8235.150390625,8227.8447265625,101331,BAJAJFINSV.NS,,False,,False,,False,,8259.0,False,8272.0,False,8296.0,False,8321.0,False,8340.0,False,-25.675416435136867,-19.594062654952797,-6.08135378018407,
2019-06-17,8244.0,8244.0,8094.64990234375,8121.2998046875,8114.0947265625,104058,BAJAJFINSV.NS,,False,,False,,False,,8213.0,False,8245.0,False,8280.0,False,8313.0,False,8338.0,False,-36.23534861566259,-22.922319847094755,-13.313028768567833,
2019-06-18,8144.0,8275.0,8130.0,8246.25,8238.9345703125,134711,BAJAJFINSV.NS,,False,,False,,False,,8224.0,True,8245.0,True,8277.0,False,8311.0,False,8337.0,False,-34.12832436048484,-25.163520749772772,-8.964803610712067,
2019-06-19,8285.0,8310.0,8191.2998046875,8257.0,8249.6748046875,130334,BAJAJFINSV.NS,,False,,False,,False,,8235.0,True,8247.0,True,8275.0,False,8309.0,False,8337.0,False,-31.231045250468014,-26.377025649911822,-4.854019600556192,
2019-06-20,8177.0,8474.0,8177.0,8417.849609375,8410.3818359375,143596,BAJAJFINSV.NS,,False,,False,,False,,8296.0,True,8278.0,True,8288.0,True,8313.0,True,8337.0,True,-15.773880011845904,-24.25639652229864,8.482516510452736,
2019-06-21,8382.0,8459.0,8363.5,8392.4501953125,8385.0048828125,230915,BAJAJFINSV.NS,,False,,False,,False,,8328.0,True,8299.0,True,8298.0,True,8316.0,True,8338.0,True,-5.509970134582545,-20.50711124475542,14.997141110172876,
2019-06-24,8392.4501953125,8432.0,8338.0,8354.650390625,8347.2392578125,107927,BAJAJFINSV.NS,,False,,False,,False,,8337.0,True,8309.0,True,8303.0,True,8317.0,True,8338.0,True,-0.421022654425542,-16.489893526689446,16.068870872263904,54.03684705226159
2019-06-25,8350.0,8399.650390625,8327.0,8346.150390625,8338.74609375,108873,BAJAJFINSV.NS,,False,,False,,False,,8340.0,True,8316.0,True,8307.0,True,8319.0,True,8338.0,True,2.8927797605629166,-12.613358869238974,15.50613862980189,53.28555383343624
2019-06-26,8339.7001953125,8437.9501953125,8304.099609375,8410.5,8403.0390625,117884,BAJAJFINSV.NS,,False,,False,,False,,8364.0,True,8333.0,True,8316.0,True,8322.0,True,8339.0,True,10.589399725176918,-7.972807150355797,18.562206875532716,58.04163932470262
2019-06-27,8405.2001953125,8479.0,8400.2001953125,8443.900390625,8436.4091796875,157072,BAJAJFINSV.NS,,False,,False,,False,,8390.0,True,8353.0,True,8328.0,True,8327.0,True,8340.0,True,19.16325678747853,-2.5455943627889317,21.708851150267463,60.30091516365882
2019-06-28,8443.900390625,8557.849609375,8423.7998046875,8524.650390625,8517.087890625,224278,BAJAJFINSV.NS,,False,,False,,False,,8435.0,True,8384.0,True,8346.0,True,8335.0,True,8342.0,True,32.10387691563665,4.384299892896184,27.719577022740463,65.18213681386078
2019-07-01,8548.0,8575.0,8503.0498046875,8521.0498046875,8513.490234375,102735,BAJAJFINSV.NS,,False,,False,,False,,8464.0,True,8409.0,True,8362.0,True,8342.0,True,8344.0,True,41.58945703338759,11.825331320994465,29.764125712393124,64.79954530658082
2019-07-02,8549.0,8549.0,8422.0,8474.849609375,8467.33203125,152306,BAJAJFINSV.NS,,False,,False,,False,,8467.0,True,8421.0,True,8372.0,True,8347.0,True,8345.0,True,44.86173975560632,18.432613007916835,26.429126747689487,59.9381039997475
2019-07-03,8509.0,8510.0,8405.599609375,8430.4501953125,8422.970703125,161661,BAJAJFINSV.NS,,False,,False,,False,,8455.0,False,8423.0,True,8377.0,True,8350.0,True,8346.0,True,43.372415527222984,23.420573511778066,19.951842015444917,55.61954709068625
2019-07-04,8420.0,8556.099609375,8420.0,8537.5498046875,8529.9765625,144946,BAJAJFINSV.NS,,False,,False,,False,,8483.0,True,8444.0,True,8392.0,True,8358.0,True,8348.0,True,50.254852101539655,28.787429229730385,21.46742287180927,62.6165269501635
2019-07-05,8545.0,8580.0,8411.400390625,8435.349609375,8427.8662109375,159449,BAJAJFINSV.NS,,False,,False,,False,,8467.0,False,8442.0,False,8396.0,True,8361.0,True,8348.0,True,46.921647488381495,32.41427288146061,14.507374606920884,53.88594973259982
2019-07-08,8499.900390625,8499.900390625,7463.0498046875,7593.0498046875,7586.3134765625,826206,BAJAJFINSV.NS,,False,,False,,False,,8176.0,False,8288.0,False,8323.0,False,8331.0,False,8341.0,False,-23.416564448434656,21.24810541548156,-44.66466986391622,24.082847413900467
2019-07-09,7590.0,7934.35009765625,7418.9501953125,7855.39990234375,7848.43115234375,1267816,BAJAJFINSV.NS,,False,,False,,False,,8069.0,False,8209.0,False,8280.0,False,8312.0,False,8336.0,False,-57.32978180015925,5.532527972353398,-62.86230977251265,35.96286397764659
2019-07-10,7819.89990234375,7907.2001953125,7602.64990234375,7658.2001953125,7651.40625,506277,BAJAJFINSV.NS,,False,,False,,False,,7932.0,False,8109.0,False,8224.0,False,8286.0,False,8329.0,False,-98.97766624858741,-15.369510871834764,-83.60815537675265,31.919499205384952
2019-07-11,7693.0,7799.0,7601.0,7645.7001953125,7641.412109375,373119,BAJAJFINSV.NS,,False,,False,,False,,7837.0,False,8025.0,False,8171.0,False,8261.0,False,8323.0,False,-131.47697553156104,-38.591003803780026,-92.88597172778101,31.6763836886237
2019-07-12,7690.0,7779.89990234375,7635.0,7725.7001953125,7721.3671875,350571,BAJAJFINSV.NS,,False,,False,,False,,7800.0,False,7970.0,False,8131.0,False,8240.0,False,8317.0,False,-149.05931784122367,-60.68466661126875,-88.37465122995492,35.084166473621664
