Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2020-06-12,10.069999694824219,10.333000183105469,10.069999694824219,10.199999809265137,10.199999809265137,1441900,CLOV,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,0.0,0.0,0.0,
2020-06-15,10.25,10.5,10.192000389099121,10.329999923706055,10.329999923706055,212300,CLOV,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,0.01037037949955888,0.002074075899911776,0.008296303599647104,
2020-06-16,11.359999656677246,11.359999656677246,10.25,10.399999618530273,10.399999618530273,410300,CLOV,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,0.023961160979498075,0.006451492915829036,0.017509668063669038,
2020-06-17,10.5,10.600000381469727,10.390000343322754,10.5,10.5,403600,CLOV,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,0.04231338589180034,0.013623871511023298,0.02868951438077704,
2020-06-18,10.399999618530273,10.770000457763672,10.350000381469727,10.600000381469727,10.600000381469727,130400,CLOV,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,0.06418694426350413,0.023736486061519464,0.04045045820198467,
2020-06-19,10.880000114440918,10.880000114440918,10.4399995803833,10.600000381469727,10.600000381469727,1283800,CLOV,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,0.08059287239787594,0.03510776332879076,0.04548510906908518,
2020-06-22,10.9399995803833,12.520000457763672,10.550000190734863,11.020000457763672,11.020000457763672,2315700,CLOV,,False,,False,,False,,11.0,True,11.0,True,10.0,True,10.0,True,10.0,True,0.12603236209471724,0.05329268308197606,0.07273967901274118,
2020-06-23,11.199999809265137,11.5,10.979999542236328,11.079999923706055,11.079999923706055,447800,CLOV,,False,,False,,False,,11.0,True,11.0,True,10.0,True,10.0,True,10.0,True,0.16498311783443143,0.07563077003246713,0.0893523478019643,
2020-06-24,11.210000038146973,11.25,10.600000381469727,10.949999809265137,10.949999809265137,365500,CLOV,,False,,False,,False,,11.0,False,11.0,False,10.0,True,10.0,True,10.0,True,0.1832495627140247,0.09715452856877865,0.08609503414524605,
2020-06-25,11.220000267028809,11.220000267028809,10.729999542236328,10.989999771118164,10.989999771118164,238800,CLOV,,False,,False,,False,,11.0,False,11.0,False,11.0,False,10.0,True,10.0,True,0.19866344597019925,0.11745631204906279,0.08120713392113646,
2020-06-26,11.270000457763672,11.270000457763672,10.5600004196167,10.9399995803833,10.9399995803833,271800,CLOV,,False,,False,,False,,11.0,False,11.0,False,11.0,False,10.0,True,10.0,True,0.20448726013256646,0.13486250166576352,0.06962475846680294,
2020-06-29,11.039999961853027,11.239999771118164,10.774999618530273,11.029999732971191,11.029999732971191,193100,CLOV,,False,,False,,False,,11.0,True,11.0,True,11.0,True,10.0,True,10.0,True,0.2138992377011757,0.15066984887284596,0.06322938882832974,
2020-06-30,11.300000190734863,11.350000381469727,10.899999618530273,11.180000305175781,11.180000305175781,739600,CLOV,,False,,False,,False,,11.0,True,11.0,True,11.0,True,10.0,True,10.0,True,0.2308015536621184,0.16669618983070045,0.06410536383141796,
2020-07-01,11.25,11.25,10.890000343322754,10.960000038146973,10.960000038146973,348300,CLOV,,False,,False,,False,,11.0,False,11.0,False,11.0,False,10.0,True,10.0,True,0.22386401291512037,0.17812975444758444,0.045734258467535926,
2020-07-02,11.25,11.25,10.789999961853027,10.850000381469727,10.850000381469727,275400,CLOV,,False,,False,,False,,11.0,False,11.0,False,11.0,False,10.0,True,10.0,True,0.2071025595132756,0.1839243154607227,0.02317824405255292,60.54351381704099
2020-07-06,11.229999542236328,11.229999542236328,10.800000190734863,10.9399995803833,10.9399995803833,365800,CLOV,,False,,False,,False,,11.0,False,11.0,False,11.0,False,10.0,True,10.0,True,0.19878964682387412,0.18689738173335296,0.011892265090521159,63.73332034724654
2020-07-07,11.229999542236328,11.229999542236328,10.699999809265137,10.84000015258789,10.84000015258789,286500,CLOV,,False,,False,,False,,11.0,False,11.0,False,11.0,False,11.0,False,10.0,True,0.18203410962970779,0.18592472731262394,-0.003890617682916153,58.11179962373185
