Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,239.77999877929688,241.5399932861328,238.0800018310547,241.07000732421875,231.46337890625,2512500,COST,,False,,False,,False,,241.0,True,241.0,True,241.0,True,241.0,True,241.0,True,0.0,0.0,0.0,
2019-06-04,243.0,245.82000732421875,242.5,245.61000061035156,235.82249450683594,1761500,COST,,False,,False,,False,,243.0,True,242.0,True,241.0,True,241.0,True,241.0,True,0.3621647065860998,0.07243294131721996,0.28973176526887984,
2019-06-05,246.10000610351562,248.75999450683594,245.02000427246094,247.9600067138672,238.0788116455078,1825500,COST,,False,,False,,False,,244.0,True,243.0,True,242.0,True,242.0,True,241.0,True,0.8292496250569457,0.2237962780651651,0.6054533469917805,
2019-06-06,248.0,251.94000244140625,247.74000549316406,251.2100067138672,241.19931030273438,1487800,COST,,False,,False,,False,,247.0,True,244.0,True,243.0,True,242.0,True,241.0,True,1.4450084685876163,0.46803871616965537,0.976969752417961,
2019-06-07,251.16000366210938,256.6000061035156,251.02000427246094,256.010009765625,245.8080291748047,2270200,COST,,False,,False,,False,,250.0,True,247.0,True,244.0,True,242.0,True,241.0,True,2.29387950433059,0.8332068738018423,1.4606726305287479,
2019-06-10,256.3999938964844,258.8299865722656,256.1099853515625,256.8500061035156,246.61453247070312,1839500,COST,,False,,False,,False,,252.0,True,248.0,True,245.0,True,243.0,True,242.0,True,2.9998165820312863,1.2665288154477312,1.733287766583555,
2019-06-11,258.9100036621094,259.6199951171875,256.2099914550781,257.1099853515625,246.86416625976562,1613500,COST,,False,,False,,False,,254.0,True,250.0,True,246.0,True,244.0,True,242.0,True,3.5394543284269275,1.7211139180435706,1.818340410383357,
2019-06-12,257.5799865722656,258.75,255.77000427246094,257.2300109863281,246.9794158935547,1071700,COST,,False,,False,,False,,255.0,True,251.0,True,247.0,True,244.0,True,242.0,True,3.9314864672261933,2.1631884278800952,1.768298039346098,
2019-06-13,257.7099914550781,259.8699951171875,257.54998779296875,259.7099914550781,249.36058044433594,1228500,COST,,False,,False,,False,,257.0,True,253.0,True,248.0,True,245.0,True,242.0,True,4.39166408952218,2.608883560208512,1.7827805293136683,
2019-06-14,260.0,261.20001220703125,258.9100036621094,260.1499938964844,249.7830352783203,1287800,COST,,False,,False,,False,,258.0,True,254.0,True,250.0,True,245.0,True,242.0,True,4.737254568532677,3.0345577618733452,1.7026968066593318,
2019-06-17,261.1300048828125,262.25,260.42999267578125,261.42999267578125,251.01205444335938,1191900,COST,,False,,False,,False,,259.0,True,256.0,True,251.0,True,246.0,True,242.0,True,5.056138697518634,3.438873949002403,1.6172647485162308,
2019-06-18,263.6099853515625,264.20001220703125,262.04998779296875,262.739990234375,252.26980590820312,2763200,COST,,False,,False,,False,,260.0,True,257.0,True,252.0,True,247.0,True,243.0,True,5.3528581058425,3.8216707803704226,1.5311873254720778,
2019-06-19,262.30999755859375,264.1000061035156,260.94000244140625,263.6600036621094,253.15318298339844,1628400,COST,,False,,False,,False,,261.0,True,258.0,True,253.0,True,247.0,True,243.0,True,5.597720729324749,4.176880770161288,1.4208399591634606,
2019-06-20,265.0,267.7900085449219,264.54998779296875,267.3500061035156,256.6961364746094,1745100,COST,,False,,False,,False,,263.0,True,260.0,True,254.0,True,248.0,True,243.0,True,6.020132144993369,4.545531045127705,1.474601099865664,
2019-06-21,266.7699890136719,268.94000244140625,265.989990234375,266.1300048828125,255.5247344970703,2964000,COST,,False,,False,,False,,264.0,True,261.0,True,255.0,True,249.0,True,243.0,True,6.185153730603645,4.873455582222893,1.311698148380752,92.56286015679099
2019-06-24,267.30999755859375,267.9700012207031,266.5199890136719,266.7699890136719,256.13922119140625,1586100,COST,,False,,False,,False,,265.0,True,262.0,True,256.0,True,249.0,True,244.0,True,6.295010929419789,5.157766651662272,1.1372442777575165,92.86272927432796
2019-06-25,266.7099914550781,267.0799865722656,265.3599853515625,266.3599853515625,255.74557495117188,1182400,COST,,False,,False,,False,,266.0,True,263.0,True,257.0,True,250.0,True,244.0,True,6.2766365232024555,5.381540625970309,0.8950958972321468,90.34937246220916
2019-06-26,266.45001220703125,266.82000732421875,264.3399963378906,264.4100036621094,253.873291015625,1334400,COST,,False,,False,,False,,265.0,False,263.0,True,258.0,True,251.0,True,244.0,True,6.035157904663208,5.512264081708889,0.5228938229543196,79.34957273547543
2019-06-27,264.8999938964844,266.4800109863281,262.989990234375,265.5799865722656,254.99668884277344,1122900,COST,,False,,False,,False,,265.0,True,264.0,True,259.0,True,251.0,True,244.0,True,5.870520496593201,5.583915364685751,0.2866051319074501,80.85560717330699
2019-06-28,265.5,266.3900146484375,263.3599853515625,264.260009765625,253.72927856445312,1952500,COST,,False,,False,,False,,265.0,False,264.0,True,259.0,True,252.0,True,244.0,True,5.569333260719816,5.580998943892564,-0.011665683172748409,74.27424803889666
2019-07-01,266.42999267578125,267.0,261.8399963378906,263.54998779296875,253.04754638671875,1955800,COST,,False,,False,,False,,264.0,False,264.0,False,259.0,True,252.0,True,245.0,True,5.213252240370991,5.50744960318825,-0.2941973628172585,70.92980072261085
2019-07-02,263.9200134277344,265.57000732421875,261.6700134277344,265.4700012207031,254.8910369873047,1201300,COST,,False,,False,,False,,265.0,True,264.0,True,260.0,True,253.0,True,245.0,True,5.028024566351519,5.411564595820904,-0.38354002946938515,74.2998682679068
