Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-09-16,29.360000610351562,29.360000610351562,25.5,25.5,25.5,300,CRNC,,False,,False,,False,,26.0,False,26.0,False,26.0,False,26.0,False,26.0,False,0.0,0.0,0.0,
2019-09-17,23.06999969482422,23.06999969482422,21.257999420166016,21.867000579833984,21.867000579833984,600,CRNC,,False,,False,,False,,24.0,False,25.0,False,25.0,False,25.0,False,25.0,False,-0.2898119195574047,-0.057962383911480946,-0.23184953564592375,
2019-09-18,21.867000579833984,21.867000579833984,21.867000579833984,21.867000579833984,21.867000579833984,0,CRNC,,False,,False,,False,,23.0,False,24.0,False,25.0,False,25.0,False,25.0,False,-0.513569840355288,-0.14908387520024236,-0.3644859651550456,
2019-09-19,19.799999237060547,19.799999237060547,18.82900047302246,18.82900047302246,18.82900047302246,400,CRNC,,False,,False,,False,,22.0,False,23.0,False,24.0,False,25.0,False,25.0,False,-0.9253736917761408,-0.30434183851542207,-0.6210318532607187,
2019-09-20,18.0,18.100000381469727,17.5,17.5,17.5,2500,CRNC,,False,,False,,False,,20.0,False,22.0,False,24.0,False,25.0,False,25.0,False,-1.3434835995204644,-0.5121701907164306,-0.8313134088040338,
2019-09-23,17.733999252319336,17.733999252319336,17.733999252319336,17.733999252319336,17.733999252319336,300,CRNC,,False,,False,,False,,20.0,False,21.0,False,23.0,False,24.0,False,25.0,False,-1.6370856256363204,-0.7371532777004086,-0.8999323479359118,
2019-09-24,18.0,18.0,18.0,18.0,18.0,2500,CRNC,,False,,False,,False,,19.0,False,21.0,False,23.0,False,24.0,False,25.0,False,-1.8272400237681055,-0.9551706269139479,-0.8720693968541575,
2019-09-25,17.889999389648438,18.0,17.8799991607666,17.950000762939453,17.950000762939453,1800,CRNC,,False,,False,,False,,19.0,False,20.0,False,22.0,False,24.0,False,25.0,False,-1.9593866848190018,-1.1560138384949588,-0.803372846324043,
2019-09-26,17.5,17.5,17.5,17.5,17.5,400,CRNC,,False,,False,,False,,18.0,False,20.0,False,22.0,False,24.0,False,25.0,False,-2.0764886973888714,-1.3401088102737413,-0.7363798871151301,
2019-09-27,17.5,17.5,17.5,17.5,17.5,0,CRNC,,False,,False,,False,,18.0,False,19.0,False,21.0,False,23.0,False,25.0,False,-2.144571599574512,-1.5010013681338954,-0.6435702314406164,
2019-09-30,17.25,17.25,17.25,17.25,17.25,2000,CRNC,,False,,False,,False,,18.0,False,19.0,False,21.0,False,23.0,False,25.0,False,-2.193416362260418,-1.6394843669592,-0.5539319953012181,
2019-10-01,17.350000381469727,20.0,17.299999237060547,17.75,17.75,674000,CRNC,,False,,False,,False,,18.0,False,19.0,False,21.0,False,23.0,False,25.0,False,-2.166802813227889,-1.744948056212938,-0.4218547570149511,
2019-10-02,17.190000534057617,18.5,13.5600004196167,15.350000381469727,15.350000381469727,2336200,CRNC,,False,,False,,False,,17.0,False,18.0,False,20.0,False,23.0,False,25.0,False,-2.3127117935184565,-1.8585008036740418,-0.45421098984441466,
2019-10-03,15.5,16.600000381469727,15.010000228881836,15.699999809265137,15.699999809265137,951900,CRNC,,False,,False,,False,,17.0,False,18.0,False,20.0,False,22.0,False,25.0,False,-2.3727520739388623,-1.961351057727006,-0.41140101621185643,
2019-10-04,15.899999618530273,15.9399995803833,13.390000343322754,13.850000381469727,13.850000381469727,2023000,CRNC,,False,,False,,False,,16.0,False,17.0,False,19.0,False,22.0,False,24.0,False,-2.540330571939222,-2.0771469605694493,-0.46318361136977293,11.303439183262995
2019-10-07,14.25,14.399999618530273,12.890000343322754,13.949999809265137,13.949999809265137,1977500,CRNC,,False,,False,,False,,15.0,False,16.0,False,19.0,False,22.0,False,24.0,False,-2.6346974684750393,-2.1886570621505674,-0.44604040632447184,12.378151605088092
2019-10-08,13.930000305175781,14.819999694824219,13.359999656677246,14.029999732971191,14.029999732971191,1642200,CRNC,,False,,False,,False,,15.0,False,16.0,False,18.0,False,21.0,False,24.0,False,-2.6722248440011924,-2.2853706185206923,-0.3868542254805001,13.283393208044757
2019-10-09,14.050000190734863,15.329999923706055,13.8100004196167,15.3100004196167,15.3100004196167,1021600,CRNC,,False,,False,,False,,15.0,True,16.0,False,18.0,False,21.0,False,24.0,False,-2.5690656122849873,-2.342109617273551,-0.22695599501143615,26.3875397353721
2019-10-10,15.510000228881836,16.200000762939453,15.510000228881836,16.020000457763672,16.020000457763672,712500,CRNC,,False,,False,,False,,15.0,True,16.0,True,18.0,False,21.0,False,24.0,False,-2.4023275717174393,-2.354153208162329,-0.0481743635551104,32.48230424611435
2019-10-11,16.06999969482422,16.729999542236328,15.729999542236328,16.260000228881836,16.260000228881836,433500,CRNC,,False,,False,,False,,16.0,True,16.0,True,18.0,False,21.0,False,24.0,False,-2.225170121477394,-2.328356590825342,0.10318646934794806,34.457745468802116
