Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,52.04999923706055,52.56999969482422,51.4900016784668,51.779998779296875,48.97456359863281,22380500,CSCO,,False,,False,,False,,52.0,False,52.0,False,52.0,False,52.0,False,52.0,False,0.0,0.0,0.0,
2019-06-04,52.47999954223633,53.63999938964844,52.40999984741211,53.22999954223633,50.346004486083984,21689300,CSCO,,False,,False,,False,,52.0,True,52.0,True,52.0,True,52.0,True,52.0,True,0.11566957653078447,0.023133915306156896,0.09253566122462757,
2019-06-05,53.849998474121094,54.790000915527344,53.75,54.75,51.78364944458008,22521900,CSCO,,False,,False,,False,,53.0,True,53.0,True,52.0,True,52.0,True,52.0,True,0.3262293145855466,0.08375299516203484,0.24247631942351178,
2019-06-06,54.88999938964844,55.29999923706055,54.209999084472656,55.099998474121094,52.11468505859375,15927300,CSCO,,False,,False,,False,,54.0,True,53.0,True,52.0,True,52.0,True,52.0,True,0.5154001635374357,0.170082428837115,0.3453177347003207,
2019-06-07,55.40999984741211,56.29999923706055,55.029998779296875,55.93000030517578,52.89971923828125,17394900,CSCO,,False,,False,,False,,54.0,True,54.0,True,53.0,True,52.0,True,52.0,True,0.7239484087714843,0.28085562482398885,0.4430927839474954,
2019-06-10,56.13999938964844,56.650001525878906,55.959999084472656,56.41999816894531,53.363162994384766,16871000,CSCO,,False,,False,,False,,55.0,True,54.0,True,53.0,True,52.0,True,52.0,True,0.9181789329590089,0.4083202864509929,0.5098586465080159,
2019-06-11,56.7400016784668,57.560001373291016,56.72999954223633,57.11000061035156,54.015785217285156,26723700,CSCO,,False,,False,,False,,56.0,True,55.0,True,53.0,True,53.0,True,52.0,True,1.1149331972869518,0.5496428686181847,0.5652903286687672,
2019-06-12,56.04999923706055,56.59000015258789,55.650001525878906,55.86000061035156,52.83351135253906,23168000,CSCO,,False,,False,,False,,56.0,False,55.0,True,54.0,True,53.0,True,52.0,True,1.1566645075463242,0.6710471964038126,0.4856173111425116,
2019-06-13,55.91999816894531,56.27000045776367,55.779998779296875,56.16999816894531,53.12671661376953,15785300,CSCO,,False,,False,,False,,56.0,True,55.0,True,54.0,True,53.0,True,52.0,True,1.2009077666111878,0.7770193104452877,0.4238884561659001,
2019-06-14,55.9900016784668,56.02000045776367,54.65999984741211,54.75,51.78364944458008,22530500,CSCO,,False,,False,,False,,56.0,False,55.0,False,54.0,True,53.0,True,52.0,True,1.1086095228673827,0.8433373529297067,0.265272169937676,
2019-06-17,54.9900016784668,55.470001220703125,54.86000061035156,55.400001525878906,52.3984375,20392600,CSCO,,False,,False,,False,,55.0,True,55.0,True,54.0,True,53.0,True,52.0,True,1.0755143308548156,0.8897727485147284,0.1857415823400872,
2019-06-18,56.06999969482422,56.650001525878906,55.75,56.04999923706055,53.013214111328125,21173200,CSCO,,False,,False,,False,,56.0,True,55.0,True,54.0,True,53.0,True,52.0,True,1.0891801450605527,0.9296542278238933,0.15952591723665943,
2019-06-19,56.040000915527344,56.369998931884766,55.77000045776367,56.130001068115234,53.08888244628906,21096300,CSCO,,False,,False,,False,,56.0,True,55.0,True,54.0,True,53.0,True,52.0,True,1.0938565826556115,0.962494698790237,0.1313618838653745,
2019-06-20,57.0,57.540000915527344,56.68000030517578,57.40999984741211,54.29953384399414,20969800,CSCO,,False,,False,,False,,56.0,True,56.0,True,55.0,True,53.0,True,52.0,True,1.187163020912962,1.007428363214782,0.17973465769817998,
2019-06-21,57.40999984741211,58.150001525878906,56.97999954223633,57.029998779296875,53.94011688232422,57588800,CSCO,,False,,False,,False,,57.0,True,56.0,True,55.0,True,54.0,True,52.0,True,1.216423956895575,1.0492274819509406,0.1671964749446344,69.61456449841188
2019-06-24,57.25,57.290000915527344,56.689998626708984,57.18000030517578,54.08199691772461,17794100,CSCO,,False,,False,,False,,57.0,True,56.0,True,55.0,True,54.0,True,52.0,True,1.2374527440529661,1.0868725343713457,0.15058020968162045,70.30714731661092
2019-06-25,57.060001373291016,57.20000076293945,56.0099983215332,56.08000183105469,53.04159164428711,25520600,CSCO,,False,,False,,False,,57.0,False,56.0,True,55.0,True,54.0,True,52.0,True,1.1520770979466377,1.0999134470864043,0.052163650860233446,59.582017828774326
2019-06-26,56.540000915527344,57.04999923706055,56.36000061035156,56.599998474121094,53.533416748046875,19286100,CSCO,,False,,False,,False,,57.0,False,56.0,True,55.0,True,54.0,True,52.0,True,1.113539476678362,1.1026386530047958,0.010900823673566151,62.49467357641556
2019-06-27,56.939998626708984,57.25,55.470001220703125,55.72999954223633,52.71055221557617,23959900,CSCO,,False,,False,,False,,56.0,False,56.0,False,55.0,True,54.0,True,52.0,True,1.0012546508998312,1.082361852583803,-0.08110720168397179,55.31272271878692
2019-06-28,55.90999984741211,55.97999954223633,54.029998779296875,54.72999954223633,51.76473617553711,103123400,CSCO,,False,,False,,False,,56.0,False,56.0,False,55.0,False,54.0,True,52.0,True,0.8220998198665157,1.0303094460403455,-0.20820962617382976,48.4241757181226
2019-07-01,55.2599983215332,55.349998474121094,54.22999954223633,54.7400016784668,51.774192810058594,28484000,CSCO,,False,,False,,False,,55.0,False,56.0,False,55.0,False,54.0,True,53.0,True,0.6731655805526202,0.9588806729428005,-0.28571509239018034,48.49327030336079
2019-07-02,54.83000183105469,55.91999816894531,54.779998779296875,55.810001373291016,52.786224365234375,20307100,CSCO,,False,,False,,False,,56.0,False,56.0,False,55.0,True,54.0,True,53.0,True,0.6341639091040392,0.8939373201750483,-0.25977341107100915,55.37986176554139
2019-07-03,55.77000045776367,56.540000915527344,55.540000915527344,56.47999954223633,53.75704574584961,13866800,CSCO,,False,,False,,False,,56.0,True,56.0,True,55.0,True,54.0,True,53.0,True,0.6498272522541555,0.8451153065908698,-0.19528805433671426,59.07010988546472
2019-07-05,56.0,56.72999954223633,55.709999084472656,56.599998474121094,53.87125778198242,14273900,CSCO,,False,,False,,False,,56.0,True,56.0,True,56.0,True,54.0,True,53.0,True,0.6642662278952898,0.8089454908517538,-0.14467926295646405,59.7127687838506
2019-07-08,56.25,56.47999954223633,55.959999084472656,56.189998626708984,53.48102569580078,15835100,CSCO,,False,,False,,False,,56.0,True,56.0,True,56.0,True,54.0,True,53.0,True,0.6353022896109408,0.7742168506035914,-0.13891456099265054,56.451359167210875
2019-07-09,56.369998931884766,56.689998626708984,56.040000915527344,56.34000015258789,53.62379455566406,19564000,CSCO,,False,,False,,False,,56.0,True,56.0,True,56.0,True,54.0,True,53.0,True,0.6173357669270914,0.7428406338682914,-0.1255048669412,57.36876752387561
2019-07-10,56.689998626708984,57.650001525878906,56.599998474121094,57.130001068115234,54.37571334838867,19362600,CSCO,,False,,False,,False,,57.0,True,56.0,True,56.0,True,55.0,True,53.0,True,0.6592442821094195,0.726121363516517,-0.06687708140709747,61.91880764180749
2019-07-11,57.369998931884766,57.619998931884766,56.91999816894531,57.29999923706055,54.53750991821289,15994600,CSCO,,False,,False,,False,,57.0,True,56.0,True,56.0,True,55.0,True,53.0,True,0.6981269410187494,0.7205224790169635,-0.022395537998214143,62.83796146760088
2019-07-12,57.58000183105469,57.9900016784668,57.56999969482422,57.95000076293945,55.15617370605469,13660400,CSCO,,False,,False,,False,,57.0,True,57.0,True,56.0,True,55.0,True,53.0,True,0.7724866736700307,0.730915317947577,0.04157135572245363,66.19751176377892
2019-07-15,58.0,58.22999954223633,57.869998931884766,58.04999923706055,55.2513542175293,8809700,CSCO,,False,,False,,False,,57.0,True,57.0,True,56.0,True,55.0,True,53.0,True,0.8299195427863069,0.7507161629153231,0.0792033798709838,66.69632442176159
2019-07-16,58.130001068115234,58.2599983215332,57.459999084472656,57.619998931884766,54.84208297729492,11501100,CSCO,,False,,False,,False,,58.0,False,57.0,True,56.0,True,55.0,True,53.0,True,0.8311570137005759,0.7668043330723736,0.06435268062820232,62.43010733281194
2019-07-17,57.56999969482422,57.790000915527344,57.189998626708984,57.209999084472656,54.451847076416016,9266900,CSCO,,False,,False,,False,,57.0,True,57.0,True,56.0,True,55.0,True,53.0,True,0.7899481268603594,0.7714330918299708,0.01851503503038865,58.582351834214876
2019-07-18,57.04999923706055,57.790000915527344,56.900001525878906,57.7400016784668,54.956302642822266,10292900,CSCO,,False,,False,,False,,58.0,False,57.0,True,57.0,True,55.0,True,53.0,True,0.7909391133085961,0.7753342961256959,0.015604817182900188,61.85521286454695
2019-07-19,57.810001373291016,58.06999969482422,57.31999969482422,57.36000061035156,54.59462356567383,13882400,CSCO,,False,,False,,False,,57.0,True,57.0,True,57.0,True,55.0,True,53.0,True,0.7523885005245674,0.7707451370054702,-0.0183566364809028,58.29817417153782
2019-07-22,57.459999084472656,58.0099983215332,57.369998931884766,57.72999954223633,54.946781158447266,10485600,CSCO,,False,,False,,False,,58.0,False,57.0,True,57.0,True,55.0,True,53.0,True,0.7431263853538184,0.7652213866751398,-0.022095001321321472,60.669761905694
2019-07-23,58.060001373291016,58.099998474121094,57.47999954223633,57.709999084472656,54.92774963378906,12692200,CSCO,,False,,False,,False,,58.0,False,57.0,True,57.0,True,55.0,True,53.0,True,0.7258055875454019,0.7573382268491924,-0.031532639303790466,60.469570624477726
2019-07-24,57.58000183105469,57.68000030517578,57.11000061035156,57.22999954223633,54.47088623046875,18177000,CSCO,,False,,False,,False,,57.0,True,57.0,True,57.0,True,56.0,True,53.0,True,0.665673311391231,0.7390052437576001,-0.07333193236636915,55.71783094043811
2019-07-25,57.36000061035156,57.5,56.369998931884766,56.619998931884766,53.890296936035156,15127200,CSCO,,False,,False,,False,,57.0,False,57.0,False,57.0,False,56.0,True,53.0,True,0.5623140912265399,0.7036670132513881,-0.14135292202484828,50.30751360611553
2019-07-26,56.68000030517578,56.84000015258789,56.369998931884766,56.529998779296875,53.80463790893555,15243000,CSCO,,False,,False,,False,,57.0,False,57.0,False,57.0,False,56.0,True,53.0,True,0.46774700808506964,0.6564830122181246,-0.1887360041330549,49.543132992330946
2019-07-29,56.689998626708984,57.150001525878906,56.540000915527344,56.93000030517578,54.18535232543945,12051100,CSCO,,False,,False,,False,,57.0,False,57.0,False,57.0,False,56.0,True,53.0,True,0.42023449192656415,0.6092333081598126,-0.18899881623324843,52.963809733951
