Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2021-06-24,41.16999816894531,53.88999938964844,41.16999816894531,53.0,53.0,17305900,DOCS,,False,,False,,False,,53.0,False,53.0,False,53.0,False,53.0,False,53.0,False,0.0,0.0,0.0,
2021-06-25,50.0,55.97999954223633,48.099998474121094,55.97999954223633,55.97999954223633,5004200,DOCS,,False,,False,,False,,54.0,True,54.0,True,53.0,True,53.0,True,53.0,True,0.23772076120403796,0.047544152240807595,0.19017660896323035,
2021-06-28,56.9900016784668,59.689998626708984,54.15999984741211,58.349998474121094,58.349998474121094,2776700,DOCS,,False,,False,,False,,55.0,True,54.0,True,54.0,True,53.0,True,53.0,True,0.6103198961871357,0.16009930103007322,0.4502205951570625,
2021-06-29,59.79999923706055,65.41999816894531,54.150001525878906,55.189998626708984,55.189998626708984,4220500,DOCS,,False,,False,,False,,55.0,True,55.0,True,54.0,True,53.0,True,53.0,True,0.6432073229907402,0.2567209054222066,0.38648641756853364,
2021-06-30,54.959999084472656,59.65999984741211,54.959999084472656,58.20000076293945,58.20000076293945,3630700,DOCS,,False,,False,,False,,56.0,True,55.0,True,54.0,True,54.0,True,53.0,True,0.9017579580149047,0.38572831594074625,0.5160296420741584,
2021-07-01,57.650001525878906,61.09000015258789,52.58000183105469,52.79999923706055,52.79999923706055,1871400,DOCS,,False,,False,,False,,55.0,False,55.0,False,54.0,False,54.0,False,53.0,False,0.6632803229008744,0.44123871733277187,0.22204160556810248,
2021-07-02,52.810001373291016,53.099998474121094,48.5,49.880001068115234,49.880001068115234,1202500,DOCS,,False,,False,,False,,53.0,False,54.0,False,54.0,False,53.0,False,53.0,False,0.23594579390249493,0.40018013264671654,-0.1642343387442216,
2021-07-06,49.880001068115234,50.0099983215332,44.79999923706055,46.81999969482422,46.81999969482422,1135400,DOCS,,False,,False,,False,,51.0,False,53.0,False,53.0,False,53.0,False,53.0,False,-0.34565197561975936,0.2510137109934214,-0.5966656866131808,
2021-07-07,47.189998626708984,49.61899948120117,47.10499954223633,49.15999984741211,49.15999984741211,899900,DOCS,,False,,False,,False,,51.0,False,52.0,False,53.0,False,53.0,False,53.0,False,-0.610714011071849,0.07866816658036735,-0.6893821776522163,
2021-07-08,47.33000183105469,48.9900016784668,46.86000061035156,48.31999969482422,48.31999969482422,723400,DOCS,,False,,False,,False,,50.0,False,51.0,False,52.0,False,53.0,False,53.0,False,-0.8784325523182801,-0.11275197719936214,-0.765680575118918,
