Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,43.4900016784668,45.65999984741211,43.4900016784668,45.29999923706055,45.29999923706055,2412000,DVA,,False,,False,,False,,45.0,True,45.0,True,45.0,True,45.0,True,45.0,True,0.0,0.0,0.0,
2019-06-04,45.65999984741211,47.08000183105469,45.650001525878906,47.0,47.0,2354200,DVA,,False,,False,,False,,46.0,True,46.0,True,45.0,True,45.0,True,45.0,True,0.13561259647380552,0.027122519294761106,0.10849007717904442,
2019-06-05,47.4900016784668,47.4900016784668,45.7400016784668,46.619998931884766,46.619998931884766,1653900,DVA,,False,,False,,False,,46.0,True,46.0,True,46.0,True,45.0,True,45.0,True,0.21000286353127962,0.06369858814206482,0.1463042753892148,
2019-06-06,46.54999923706055,47.16999816894531,46.36000061035156,46.560001373291016,46.560001373291016,1202900,DVA,,False,,False,,False,,46.0,True,46.0,True,46.0,True,45.0,True,45.0,True,0.2611065112408326,0.10318017276181839,0.15792633847901422,
2019-06-07,46.75,48.290000915527344,46.75,47.689998626708984,47.689998626708984,1650900,DVA,,False,,False,,False,,47.0,True,46.0,True,46.0,True,46.0,True,45.0,True,0.3883116399327733,0.16020646619600937,0.22810517373676392,
2019-06-10,47.810001373291016,48.38999938964844,47.63999938964844,47.9900016784668,47.9900016784668,738500,DVA,,False,,False,,False,,47.0,True,47.0,True,46.0,True,46.0,True,45.0,True,0.5074804412996343,0.22966126121673436,0.27781918008289996,
2019-06-11,48.20000076293945,48.459999084472656,47.58000183105469,48.22999954223633,48.22999954223633,1115900,DVA,,False,,False,,False,,48.0,True,47.0,True,46.0,True,46.0,True,45.0,True,0.6142081871578569,0.3065706464049589,0.30763754075289795,
2019-06-12,48.130001068115234,48.209999084472656,47.220001220703125,48.08000183105469,48.08000183105469,1429200,DVA,,False,,False,,False,,48.0,True,47.0,True,46.0,True,46.0,True,45.0,True,0.6788616385803508,0.3810288448400373,0.29783279374031346,
2019-06-13,48.150001525878906,49.060001373291016,48.0,49.029998779296875,49.029998779296875,1548200,DVA,,False,,False,,False,,48.0,True,47.0,True,47.0,True,46.0,True,45.0,True,0.797562969456834,0.4643356697633967,0.33322729969343734,
2019-06-14,49.040000915527344,49.22999954223633,48.4900016784668,48.880001068115234,48.880001068115234,772700,DVA,,False,,False,,False,,48.0,True,48.0,True,47.0,True,46.0,True,46.0,True,0.8695079215939288,0.5453701201295031,0.3241378014644256,
2019-06-17,49.040000915527344,49.43000030517578,48.5,49.25,49.25,774400,DVA,,False,,False,,False,,49.0,True,48.0,True,47.0,True,46.0,True,46.0,True,0.9454817114631524,0.625392438396233,0.32008927306691937,
2019-06-18,49.68000030517578,50.209999084472656,49.130001068115234,49.7400016784668,49.7400016784668,911400,DVA,,False,,False,,False,,49.0,True,48.0,True,47.0,True,46.0,True,46.0,True,1.033319068629119,0.7069777644428102,0.3263413041863087,
2019-06-19,50.27000045776367,53.2599983215332,50.0099983215332,51.27000045776367,51.27000045776367,2787600,DVA,,False,,False,,False,,50.0,True,49.0,True,48.0,True,47.0,True,46.0,True,1.2124129796446184,0.808064807483172,0.40434817216144636,
2019-06-20,51.900001525878906,53.02000045776367,51.630001068115234,52.40999984741211,52.40999984741211,2970700,DVA,,False,,False,,False,,51.0,True,49.0,True,48.0,True,47.0,True,46.0,True,1.4298521720116781,0.9324222803888733,0.4974298916228048,
2019-06-21,52.58000183105469,53.54999923706055,52.31999969482422,53.09000015258789,53.09000015258789,3248900,DVA,,False,,False,,False,,51.0,True,50.0,True,49.0,True,47.0,True,46.0,True,1.63816094055246,1.0735700124215906,0.5645909281308694,93.9266952586042
2019-06-24,52.97999954223633,53.540000915527344,52.81999969482422,53.40999984741211,53.40999984741211,2357700,DVA,,False,,False,,False,,52.0,True,51.0,True,49.0,True,47.0,True,46.0,True,1.8082243566253453,1.2205008812623417,0.5877234753630036,94.24729351362144
2019-06-25,53.38999938964844,54.52000045776367,52.84000015258789,54.27000045776367,54.27000045776367,2208900,DVA,,False,,False,,False,,53.0,True,51.0,True,49.0,True,48.0,True,46.0,True,1.9894624166919783,1.3742931883482692,0.6151692283437091,95.0097152769734
2019-06-26,54.380001068115234,55.040000915527344,53.79999923706055,54.84000015258789,54.84000015258789,2214200,DVA,,False,,False,,False,,54.0,True,52.0,True,50.0,True,48.0,True,46.0,True,2.1542561725513423,1.5302857851888838,0.6239703873624585,95.44099014116583
2019-06-27,55.06999969482422,56.0099983215332,55.0,55.40999984741211,55.40999984741211,2192400,DVA,,False,,False,,False,,54.0,True,53.0,True,50.0,True,48.0,True,46.0,True,2.3042882227684203,1.6850862727047913,0.619201950063629,95.82917245001315
2019-06-28,55.439998626708984,56.38999938964844,55.060001373291016,56.2599983215332,56.2599983215332,2588400,DVA,,False,,False,,False,,55.0,True,53.0,True,51.0,True,48.0,True,46.0,True,2.4633811520960975,1.8407452485830527,0.6226359035130449,96.33088476926936
2019-07-01,56.939998626708984,57.439998626708984,55.9900016784668,56.09000015258789,56.09000015258789,2059000,DVA,,False,,False,,False,,55.0,True,54.0,True,51.0,True,49.0,True,46.0,True,2.54639278237034,1.9818747553405103,0.5645180270298298,93.89811950018102
2019-07-02,56.0,57.119998931884766,55.810001373291016,56.7400016784668,56.7400016784668,1501400,DVA,,False,,False,,False,,56.0,True,54.0,True,52.0,True,49.0,True,46.0,True,2.634263636844814,2.112352531641371,0.5219111052034431,94.47288174270842
2019-07-03,57.13999938964844,57.650001525878906,56.7400016784668,57.400001525878906,57.400001525878906,965000,DVA,,False,,False,,False,,56.0,True,55.0,True,52.0,True,49.0,True,47.0,True,2.725737785450626,2.235029582403222,0.4907082030474039,94.98901492847132
2019-07-05,57.15999984741211,58.43000030517578,56.880001068115234,58.27000045776367,58.27000045776367,1103000,DVA,,False,,False,,False,,57.0,True,56.0,True,53.0,True,50.0,True,47.0,True,2.8357446510277526,2.3551725961281282,0.4805720548996244,95.57553557203761
2019-07-08,57.81999969482422,58.08000183105469,55.45000076293945,55.5099983215332,55.5099983215332,2289400,DVA,,False,,False,,False,,56.0,False,56.0,False,53.0,True,50.0,True,47.0,True,2.669445077281722,2.418027092358847,0.2514179849228748,68.2738271581533
2019-07-09,52.560001373291016,52.849998474121094,50.68000030517578,52.54999923706055,52.54999923706055,6672000,DVA,,False,,False,,False,,55.0,False,55.0,False,53.0,False,50.0,True,47.0,True,2.2726070788358044,2.388943089654239,-0.11633601081843459,51.33675496442855
2019-07-10,52.7400016784668,55.189998626708984,52.290000915527344,54.650001525878906,54.650001525878906,3384100,DVA,,False,,False,,False,,55.0,False,55.0,False,53.0,True,50.0,True,47.0,True,2.103317011026526,2.3318178739286965,-0.22850086290217053,59.090644394626494
2019-07-11,55.689998626708984,56.70000076293945,55.25,56.40999984741211,56.40999984741211,2915700,DVA,,False,,False,,False,,55.0,True,55.0,True,54.0,True,50.0,True,47.0,True,2.0871116443919746,2.282876628021352,-0.19576498362937755,64.23420218751411
2019-07-12,56.40999984741211,57.31999969482422,56.02000045776367,56.900001525878906,56.900001525878906,2171200,DVA,,False,,False,,False,,56.0,True,55.0,True,54.0,True,51.0,True,47.0,True,2.08971883697032,2.2442450698111456,-0.15452623284082545,65.53349844135964
2019-07-15,56.900001525878906,57.52000045776367,56.13999938964844,56.95000076293945,56.95000076293945,2009300,DVA,,False,,False,,False,,56.0,True,56.0,True,54.0,True,51.0,True,47.0,True,2.0719355926650778,2.2097831743819323,-0.13784758171685452,65.67054171134049
2019-07-16,56.95000076293945,58.439998626708984,56.93000030517578,57.70000076293945,57.70000076293945,1625400,DVA,,False,,False,,False,,57.0,True,56.0,True,54.0,True,51.0,True,47.0,True,2.0942201096035404,2.1866705614262543,-0.09245045182271383,67.74246761638364
2019-07-17,55.900001525878906,57.38999938964844,55.54999923706055,56.650001525878906,56.650001525878906,1280000,DVA,,False,,False,,False,,57.0,False,56.0,True,55.0,True,51.0,True,47.0,True,2.0040531098370593,2.1501470711084156,-0.14609396127135632,62.09234663922202
2019-07-18,56.459999084472656,57.16999816894531,56.209999084472656,56.7400016784668,56.7400016784668,1530000,DVA,,False,,False,,False,,57.0,False,56.0,True,55.0,True,52.0,True,47.0,True,1.917750736325182,2.103667804151769,-0.1859170678265869,62.38196876887519
2019-07-19,56.70000076293945,56.75,55.97999954223633,56.04999923706055,56.04999923706055,1104700,DVA,,False,,False,,False,,57.0,False,56.0,True,55.0,True,52.0,True,48.0,True,1.7732372775774792,2.037581698836911,-0.2643444212594317,58.680366724536256
2019-07-22,59.310001373291016,59.88999938964844,58.400001525878906,58.79999923706055,58.79999923706055,5914700,DVA,,False,,False,,False,,57.0,True,57.0,True,55.0,True,52.0,True,48.0,True,1.8591798694124364,2.0019013329520163,-0.14272146353957993,67.06763168798886
2019-07-23,59.09000015258789,59.43000030517578,58.5,59.29999923706055,59.29999923706055,4015400,DVA,,False,,False,,False,,58.0,True,57.0,True,56.0,True,52.0,True,48.0,True,1.9452126137912558,1.9905635891198643,-0.045350975328608545,68.32650460983528
2019-07-24,59.189998626708984,59.90999984741211,58.849998474121094,59.560001373291016,59.560001373291016,2732000,DVA,,False,,False,,False,,58.0,True,58.0,True,56.0,True,53.0,True,48.0,True,2.0111904316358817,1.994688957623068,0.016501474012813766,68.99032073478567
2019-07-25,59.15999984741211,59.4900016784668,58.72999954223633,58.93000030517578,58.93000030517578,2791900,DVA,,False,,False,,False,,59.0,False,58.0,True,56.0,True,53.0,True,48.0,True,1.9897064096230679,1.993692448023068,-0.003986038400000114,65.4129449795399
2019-07-26,58.59000015258789,59.720001220703125,58.470001220703125,59.400001525878906,59.400001525878906,2103100,DVA,,False,,False,,False,,59.0,True,58.0,True,57.0,True,53.0,True,48.0,True,1.9876924565964913,1.9924924497377527,-0.004799993141261449,66.79621318782588
2019-07-29,59.400001525878906,60.0,59.2599983215332,59.65999984741211,59.65999984741211,3052700,DVA,,False,,False,,False,,59.0,True,58.0,True,57.0,True,53.0,True,48.0,True,1.9842034141299223,1.9908346426161867,-0.006631228486264407,67.56891256770288
2019-07-30,59.2400016784668,60.5099983215332,58.849998474121094,60.099998474121094,60.099998474121094,2827100,DVA,,False,,False,,False,,59.0,True,59.0,True,57.0,True,54.0,True,48.0,True,1.9939574346798565,1.991459201028921,0.0024982336509355996,68.88841601712937
2019-07-31,60.2599983215332,60.439998626708984,59.52000045776367,59.849998474121094,59.849998474121094,2704500,DVA,,False,,False,,False,,60.0,False,59.0,True,57.0,True,54.0,True,48.0,True,1.9589332919804647,1.9849540192192299,-0.02602072723876514,67.21505762847795
2019-08-01,59.849998474121094,60.599998474121094,59.06999969482422,59.34000015258789,59.34000015258789,4593200,DVA,,False,,False,,False,,60.0,False,59.0,True,58.0,True,54.0,True,49.0,True,1.8684850714300794,1.9616602296613999,-0.0931751582313205,63.809847664111764
2019-08-02,60.43000030517578,61.20000076293945,59.86000061035156,60.099998474121094,60.099998474121094,5380000,DVA,,False,,False,,False,,60.0,True,59.0,True,58.0,True,54.0,True,49.0,True,1.8369544505350675,1.9367190738361335,-0.09976462330106606,66.53097549664237
2019-08-05,59.099998474121094,59.900001525878906,57.900001525878906,58.630001068115234,58.630001068115234,3717000,DVA,,False,,False,,False,,59.0,False,59.0,False,58.0,True,55.0,True,49.0,True,1.6740522684369736,1.8841857127563018,-0.21013344431932812,57.521897340814526
2019-08-06,59.099998474121094,59.5,57.84000015258789,58.959999084472656,58.959999084472656,2979900,DVA,,False,,False,,False,,59.0,False,59.0,False,58.0,True,55.0,True,49.0,True,1.5536694630446206,1.8180824628139658,-0.2644129997693452,58.868412896886504
2019-08-07,58.150001525878906,59.790000915527344,58.029998779296875,59.75,59.75,4517200,DVA,,False,,False,,False,,59.0,True,59.0,True,58.0,True,55.0,True,49.0,True,1.5046668314198044,1.7553993365351335,-0.2507325051153291,61.97587897967578
2019-08-08,60.0,60.29999923706055,59.4900016784668,59.790000915527344,59.790000915527344,2924000,DVA,,False,,False,,False,,60.0,False,59.0,True,58.0,True,55.0,True,49.0,True,1.4523182120815221,1.6947831116444114,-0.2424648995628893,62.13188152238146
2019-08-09,59.79999923706055,60.13999938964844,59.40999984741211,59.689998626708984,59.689998626708984,2308000,DVA,,False,,False,,False,,60.0,False,59.0,True,58.0,True,55.0,True,49.0,True,1.3867763110750602,1.6331817515305413,-0.24640544045548118,61.45308304191144
2019-08-12,59.470001220703125,59.93000030517578,58.77000045776367,59.02000045776367,59.02000045776367,5006500,DVA,54.9,True,,False,,False,2506208.0,59.0,True,59.0,True,58.0,True,55.0,True,49.0,True,1.2661749528085409,1.5597803917861413,-0.2936054389776004,56.962873539344066
2019-08-13,58.79999923706055,60.0,58.70000076293945,59.38999938964844,59.38999938964844,5004300,DVA,55.18,True,,False,,False,2558054.0,59.0,True,59.0,True,59.0,True,56.0,True,49.0,True,1.1867729492707895,1.485178903283071,-0.2984059540122814,58.75514681314744
