Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,78.12999725341797,79.41999816894531,73.76100158691406,74.5999984741211,74.5999984741211,942400,EVBG,,False,,False,,False,,75.0,False,75.0,False,75.0,False,75.0,False,75.0,False,0.0,0.0,0.0,
2019-06-04,74.83000183105469,77.04000091552734,74.55000305175781,76.77999877929688,76.77999877929688,969000,EVBG,,False,,False,,False,,75.0,True,75.0,True,75.0,True,75.0,True,75.0,True,0.1739031582476258,0.03478063164952516,0.13912252659810065,
2019-06-05,78.05000305175781,80.51000213623047,77.51000213623047,80.41000366210938,80.41000366210938,743400,EVBG,,False,,False,,False,,77.0,True,76.0,True,75.0,True,75.0,True,75.0,True,0.5977433081161792,0.14737316694285596,0.4503701411733232,
2019-06-06,80.62000274658203,83.74500274658203,79.9800033569336,83.37999725341797,83.37999725341797,670600,EVBG,,False,,False,,False,,79.0,True,77.0,True,76.0,True,75.0,True,75.0,True,1.1599224777401815,0.3498830291023211,0.8100394486378604,
2019-06-07,83.9000015258789,85.55000305175781,83.54000091552734,84.75,84.75,601200,EVBG,,False,,False,,False,,81.0,True,79.0,True,77.0,True,76.0,True,75.0,True,1.6964457217286082,0.6191955676275785,1.0772501541010295,
2019-06-10,85.0,87.7699966430664,84.16000366210938,84.3499984741211,84.3499984741211,659300,EVBG,,False,,False,,False,,82.0,True,80.0,True,78.0,True,76.0,True,75.0,True,2.065557022256513,0.9084678585533655,1.1570891637031475,
2019-06-11,85.45999908447266,85.62000274658203,81.16000366210938,83.33000183105469,83.33000183105469,573400,EVBG,,False,,False,,False,,83.0,True,80.0,True,78.0,True,76.0,True,75.0,True,2.2498404226846844,1.1767423713796294,1.073098051305055,
2019-06-12,83.0,84.55999755859375,83.0,84.05999755859375,84.05999755859375,284500,EVBG,,False,,False,,False,,83.0,True,81.0,True,79.0,True,77.0,True,75.0,True,2.426816074531132,1.42675711200993,1.000058962521202,
2019-06-13,84.7300033569336,85.56999969482422,83.75,85.3499984741211,85.3499984741211,430700,EVBG,,False,,False,,False,,84.0,True,82.0,True,79.0,True,77.0,True,75.0,True,2.640722244315782,1.6695501384711005,0.9711721058446816,
2019-06-14,85.0,86.5250015258789,84.44000244140625,86.08000183105469,86.08000183105469,329800,EVBG,,False,,False,,False,,85.0,True,83.0,True,80.0,True,77.0,True,75.0,True,2.8364527335113934,1.9029306574791591,0.9335220760322342,
2019-06-17,86.7699966430664,90.0,86.62999725341797,89.4800033569336,89.4800033569336,559400,EVBG,,False,,False,,False,,86.0,True,84.0,True,81.0,True,78.0,True,75.0,True,3.2287037771562836,2.168085281414584,1.0606184957416995,
2019-06-18,91.33000183105469,92.1050033569336,88.47000122070312,88.55999755859375,88.55999755859375,527800,EVBG,,False,,False,,False,,87.0,True,85.0,True,81.0,True,78.0,True,76.0,True,3.4258378499203843,2.4196357951157443,1.00620205480464,
2019-06-19,88.47000122070312,91.44499969482422,88.47000122070312,91.31999969482422,91.31999969482422,1262900,EVBG,,False,,False,,False,,88.0,True,86.0,True,82.0,True,79.0,True,76.0,True,3.7614178454329306,2.6879922051791816,1.073425640253749,
2019-06-20,94.01000213623047,97.1500015258789,92.9000015258789,97.0199966430664,97.0199966430664,1233800,EVBG,,False,,False,,False,,91.0,True,88.0,True,84.0,True,79.0,True,76.0,True,4.436172095959989,3.037628183335343,1.3985439126246462,
2019-06-21,96.52999877929688,97.68000030517578,92.0999984741211,92.80999755859375,92.80999755859375,1061200,EVBG,,False,,False,,False,,92.0,True,89.0,True,84.0,True,80.0,True,76.0,True,4.5784306604781335,3.3457886787639017,1.2326419817142318,73.98704250484009
2019-06-24,93.0999984741211,94.29000091552734,89.16000366210938,89.69000244140625,89.69000244140625,3529200,EVBG,,False,,False,,False,,91.0,False,89.0,True,85.0,True,80.0,True,76.0,True,4.3888224534106826,3.554395433693258,0.8344270197174244,64.17372993657546
2019-06-25,90.2300033569336,90.3499984741211,87.37999725341797,87.5199966430664,87.5199966430664,649000,EVBG,,False,,False,,False,,90.0,False,89.0,False,85.0,True,81.0,True,76.0,True,4.017148068479898,3.6469459606505863,0.3702021078293116,58.37444567087257
2019-06-26,87.7300033569336,88.62999725341797,85.0999984741211,85.62999725341797,85.62999725341797,763900,EVBG,,False,,False,,False,,88.0,False,88.0,False,85.0,True,81.0,True,76.0,True,3.529401541300288,3.623437076780527,-0.09403553548023869,53.81312329973407
2019-06-27,86.27999877929688,87.84500122070312,85.47000122070312,87.2300033569336,87.2300033569336,427300,EVBG,,False,,False,,False,,88.0,False,88.0,False,85.0,True,81.0,True,77.0,True,3.2346786631203486,3.5456853940484914,-0.3110067309281428,56.88458581083366
2019-06-28,87.58999633789062,89.58000183105469,87.0,89.41999816894531,89.41999816894531,1033900,EVBG,,False,,False,,False,,89.0,True,88.0,True,86.0,True,81.0,True,77.0,True,3.141608431166958,3.464870001472185,-0.32326157030522706,60.733634935755695
2019-07-01,91.31999969482422,91.57499694824219,87.62999725341797,90.08999633789062,90.08999633789062,362300,EVBG,,False,,False,,False,,89.0,True,89.0,True,86.0,True,82.0,True,77.0,True,3.086335500165873,3.3891631012109227,-0.30282760104504947,61.855568777229216
2019-07-02,90.31999969482422,91.04000091552734,89.37999725341797,90.97000122070312,90.97000122070312,241500,EVBG,,False,,False,,False,,90.0,True,89.0,True,87.0,True,82.0,True,77.0,True,3.0780584024245456,3.3269421614536476,-0.24888375902910198,63.33729249160593
2019-07-03,91.38999938964844,93.4000015258789,91.05000305175781,93.38999938964844,93.38999938964844,276800,EVBG,,False,,False,,False,,91.0,True,90.0,True,87.0,True,83.0,True,77.0,True,3.2295441951365262,3.3074625681902234,-0.0779183730536972,67.1198420140334
2019-07-05,92.80999755859375,93.83999633789062,91.34500122070312,93.76000213623047,93.76000213623047,555000,EVBG,,False,,False,,False,,92.0,True,91.0,True,88.0,True,83.0,True,77.0,True,3.340941611431518,3.3141583768384826,0.02678323459303522,67.66907027497683
2019-07-08,93.2699966430664,94.67400360107422,92.0999984741211,94.23999786376953,94.23999786376953,347300,EVBG,,False,,False,,False,,93.0,True,91.0,True,88.0,True,83.0,True,77.0,True,3.4284356382306385,3.337013829116914,0.09142180911372444,68.40635597086711
2019-07-09,93.51000213623047,96.63999938964844,93.51000213623047,96.01000213623047,96.01000213623047,337200,EVBG,,False,,False,,False,,94.0,True,92.0,True,89.0,True,84.0,True,78.0,True,3.5991115198424524,3.389433367262022,0.20967815258043032,71.02990486466318
2019-07-10,96.73999786376953,99.25,96.05000305175781,97.31999969482422,97.31999969482422,412200,EVBG,,False,,False,,False,,95.0,True,93.0,True,90.0,True,84.0,True,78.0,True,3.796317653758422,3.470810224561302,0.3255074291971196,72.82830772341588
2019-07-11,97.87999725341797,99.3499984741211,96.86000061035156,98.36000061035156,98.36000061035156,273300,EVBG,,False,,False,,False,,96.0,True,94.0,True,91.0,True,85.0,True,78.0,True,3.9905240407858287,3.5747529878062076,0.415771052979621,74.19774649479196
2019-07-12,98.80000305175781,99.48999786376953,97.43000030517578,99.22000122070312,99.22000122070312,202500,EVBG,,False,,False,,False,,97.0,True,95.0,True,91.0,True,86.0,True,78.0,True,4.165808021866283,3.692963994618223,0.4728440272480601,75.30606834413928
2019-07-15,99.5999984741211,99.66999816894531,97.41000366210938,98.76000213623047,98.76000213623047,215800,EVBG,,False,,False,,False,,98.0,True,96.0,True,92.0,True,86.0,True,78.0,True,4.218970096921609,3.7981652150789005,0.4208048818427086,73.48776561217312
2019-07-16,99.06999969482422,99.06999969482422,95.30000305175781,96.16999816894531,96.16999816894531,264700,EVBG,,False,,False,,False,,97.0,False,96.0,True,92.0,True,86.0,True,79.0,True,4.005931860934567,3.839718544250034,0.16621331668453276,64.1026364429308
2019-07-17,96.56999969482422,98.2300033569336,96.4000015258789,98.0,98.0,284500,EVBG,,False,,False,,False,,97.0,True,96.0,True,93.0,True,87.0,True,79.0,True,3.939352968995408,3.859645429199109,0.07970753979629874,67.28205034918861
2019-07-18,98.01000213623047,98.5199966430664,96.80500030517578,97.97000122070312,97.97000122070312,463000,EVBG,,False,,False,,False,,98.0,False,96.0,True,93.0,True,87.0,True,79.0,True,3.839904043127703,3.8556971519848284,-0.015793108857125482,67.1770134360765
2019-07-19,98.4000015258789,100.08999633789062,97.48999786376953,98.08999633789062,98.08999633789062,298600,EVBG,,False,,False,,False,,98.0,True,97.0,True,94.0,True,88.0,True,79.0,True,3.727800887843159,3.830117899156495,-0.10231701131333582,67.39627104870415
2019-07-22,98.33999633789062,100.5199966430664,98.1500015258789,99.25,99.25,288500,EVBG,,False,,False,,False,,98.0,True,97.0,True,94.0,True,88.0,True,79.0,True,3.6900246236962744,3.8020992440644514,-0.11207462036817706,69.51622214964571
2019-07-23,100.06999969482422,100.06999969482422,95.87000274658203,97.11000061035156,97.11000061035156,243800,EVBG,,False,,False,,False,,98.0,False,97.0,True,95.0,True,89.0,True,80.0,True,3.44766407086054,3.7312122094236697,-0.28354813856312955,61.56341834755245
2019-07-24,96.80000305175781,99.7300033569336,96.29000091552734,99.55000305175781,99.55000305175781,283800,EVBG,,False,,False,,False,,98.0,True,98.0,True,95.0,True,89.0,True,80.0,True,3.413134897202724,3.6675967469794806,-0.25446184977675657,66.29770811948765
2019-07-25,99.47000122070312,99.63999938964844,97.61499786376953,98.91999816894531,98.91999816894531,314600,EVBG,,False,,False,,False,,99.0,False,98.0,True,95.0,True,89.0,True,80.0,True,3.2969292018652396,3.5934632379566325,-0.29653403609139284,64.10226694092086
2019-07-26,99.38999938964844,103.37000274658203,99.38999938964844,102.51000213623047,102.51000213623047,474300,EVBG,,False,,False,,False,,100.0,True,99.0,True,96.0,True,90.0,True,80.0,True,3.454695093770411,3.5657096091193887,-0.11101451534897766,70.16519239492959
2019-07-29,102.61000061035156,103.38999938964844,98.1500015258789,101.5199966430664,101.5199966430664,530100,EVBG,,False,,False,,False,,100.0,True,99.0,True,97.0,True,90.0,True,80.0,True,3.4599563077027398,3.5445589488360594,-0.08460264113331961,66.81392156186479
2019-07-30,100.6500015258789,103.58000183105469,100.6500015258789,103.2300033569336,103.2300033569336,336800,EVBG,,False,,False,,False,,101.0,True,100.0,True,97.0,True,91.0,True,81.0,True,3.561059431887543,3.5478590454463563,0.013200386441186485,69.52175906490406
2019-07-31,103.58000183105469,103.83000183105469,100.75,102.30000305175781,102.30000305175781,486200,EVBG,,False,,False,,False,,102.0,True,100.0,True,98.0,True,91.0,True,81.0,True,3.525501348919846,3.5433875061410545,-0.017886157221208343,66.35085469865277
2019-08-01,102.52999877929688,104.22000122070312,100.12999725341797,100.37000274658203,100.37000274658203,381200,EVBG,,False,,False,,False,,101.0,False,100.0,True,98.0,True,92.0,True,81.0,True,3.303505660154272,3.495411136943698,-0.19190547678942593,60.2130638168771
2019-08-02,100.37000274658203,100.77300262451172,98.16000366210938,99.48999786376953,99.48999786376953,442200,EVBG,,False,,False,,False,,101.0,False,100.0,False,98.0,True,92.0,True,81.0,True,3.0217308061089767,3.400675070776754,-0.3789442646677772,57.59683011417139
2019-08-05,96.61000061035156,97.27999877929688,92.08000183105469,94.83000183105469,94.83000183105469,835800,EVBG,,False,,False,,False,,99.0,False,99.0,False,98.0,False,92.0,True,81.0,True,2.3947937776106585,3.199498812143535,-0.8047050345328763,46.159343855702645
2019-08-06,87.76000213623047,92.68000030517578,80.5250015258789,83.63999938964844,83.63999938964844,2744300,EVBG,,False,,False,,False,,94.0,False,96.0,False,96.0,False,92.0,False,81.0,True,0.9836629334315887,2.756331636401146,-1.7726687029695571,30.49791289514927
