Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2020-07-31,11.5,12.25,10.020000457763672,10.029999732971191,10.029999732971191,2018000,FTHM,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,0.0,0.0,0.0,
2020-08-03,10.100000381469727,10.119999885559082,10.0,10.0,10.0,446700,FTHM,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.00239314109171751,-0.000478628218343502,-0.001914512873374008,
2020-08-04,10.0,10.069999694824219,8.614999771118164,8.800000190734863,8.800000190734863,411500,FTHM,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.09996731743154541,-0.020376366060983885,-0.07959095137056152,
2020-08-05,8.800000190734863,9.75,8.800000190734863,9.75,9.75,198900,FTHM,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.09949163242955805,-0.036199419334698724,-0.06329221309485933,
2020-08-06,9.6899995803833,9.694999694824219,9.369999885559082,9.6899995803833,9.6899995803833,101400,FTHM,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.10277149523298412,-0.0495138345143558,-0.05325766071862832,
2020-08-07,9.260000228881836,10.390000343322754,9.260000228881836,10.239999771118164,10.239999771118164,133000,FTHM,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,-0.06029534409177373,-0.051670136429839385,-0.008625207661934343,
2020-08-10,10.399999618530273,11.300000190734863,10.09000015258789,10.449999809265137,10.449999809265137,315300,FTHM,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,-0.009577042073779296,-0.04325151755862737,0.033674475484848074,
2020-08-11,10.65999984741211,11.6899995803833,10.5,11.529999732971191,11.529999732971191,151600,FTHM,,False,,False,,False,,11.0,True,10.0,True,10.0,True,10.0,True,10.0,True,0.11642249948466166,-0.011316714149969563,0.12773921363463123,
2020-08-12,11.619999885559082,12.0,11.300000190734863,11.859999656677246,11.859999656677246,103200,FTHM,,False,,False,,False,,11.0,True,11.0,True,10.0,True,10.0,True,10.0,True,0.2401381171325312,0.03897425210653059,0.2011638650260006,
2020-08-13,12.09000015258789,12.539999961853027,11.550000190734863,12.149999618530273,12.149999618530273,114300,FTHM,,False,,False,,False,,11.0,True,11.0,True,10.0,True,10.0,True,10.0,True,0.35746359096876645,0.10267211987897776,0.2547914710897887,
2020-08-14,12.279999732971191,14.279999732971191,12.25,13.25,13.25,178900,FTHM,,False,,False,,False,,12.0,True,11.0,True,11.0,True,10.0,True,10.0,True,0.5330609175278607,0.18874987940875435,0.34431103811910635,
2020-08-17,13.5,14.289999961853027,12.680000305175781,13.130000114440918,13.130000114440918,73200,FTHM,,False,,False,,False,,12.0,True,12.0,True,11.0,True,10.0,True,10.0,True,0.6549897617956244,0.28199785588612836,0.37299190590949605,
2020-08-18,13.149999618530273,13.979999542236328,12.112000465393066,13.5,13.5,296200,FTHM,,False,,False,,False,,13.0,True,12.0,True,11.0,True,11.0,True,10.0,True,0.7725694481833916,0.38011217434558103,0.39245727383781054,
