Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,92.0,92.0,88.0,88.75,88.75,72200,GRVY,,False,,False,,False,,89.0,False,89.0,False,89.0,False,89.0,False,89.0,False,0.0,0.0,0.0,
2019-06-04,88.55000305175781,89.5,86.13999938964844,86.83000183105469,86.83000183105469,81000,GRVY,,False,,False,,False,,88.0,False,88.0,False,89.0,False,89.0,False,89.0,False,-0.1531622470953522,-0.03063244941907044,-0.12252979767628176,
2019-06-05,85.51000213623047,85.51000213623047,75.4000015258789,78.30000305175781,78.30000305175781,144500,GRVY,,False,,False,,False,,85.0,False,87.0,False,88.0,False,88.0,False,89.0,False,-0.9518714630017655,-0.21488025213560946,-0.736991210866156,
2019-06-06,72.02999877929688,74.4800033569336,61.15999984741211,61.209999084472656,61.209999084472656,233200,GRVY,,False,,False,,False,,77.0,False,82.0,False,85.0,False,87.0,False,88.0,False,-2.930098413446885,-0.7579238843978646,-2.17217452904902,
2019-06-07,60.0,67.5,59.0,65.13999938964844,65.13999938964844,141700,GRVY,,False,,False,,False,,73.0,False,79.0,False,83.0,False,86.0,False,88.0,False,-4.133095590579941,-1.43295822563428,-2.700137364945661,
2019-06-10,66.0,66.48999786376953,61.29999923706055,62.06999969482422,62.06999969482422,113700,GRVY,,False,,False,,False,,69.0,False,76.0,False,81.0,False,85.0,False,88.0,False,-5.273414202558143,-2.2010494210190528,-3.0723647815390907,
2019-06-11,61.43000030517578,63.630001068115234,59.0099983215332,59.439998626708984,59.439998626708984,99700,GRVY,,False,,False,,False,,66.0,False,73.0,False,79.0,False,84.0,False,88.0,False,-6.316530987147885,-3.0241457342448195,-3.292385252903066,
2019-06-12,59.119998931884766,65.12000274658203,57.060001373291016,64.5199966430664,64.5199966430664,148700,GRVY,,False,,False,,False,,66.0,False,71.0,False,78.0,False,84.0,False,87.0,False,-6.656562461095405,-3.750629079614937,-2.9059333814804678,
2019-06-13,64.01000213623047,65.27999877929688,62.5,63.0,63.0,86600,GRVY,,False,,False,,False,,65.0,False,70.0,False,77.0,False,83.0,False,87.0,False,-6.96836391835194,-4.394176047362338,-2.5741878709896024,
2019-06-14,62.0,63.380001068115234,58.0099983215332,62.25,62.25,87100,GRVY,,False,,False,,False,,64.0,False,68.0,False,75.0,False,82.0,False,87.0,False,-7.193070314568871,-4.9539549008036445,-2.2391154137652265,
2019-06-17,63.09000015258789,65.5,62.86000061035156,63.88999938964844,63.88999938964844,99600,GRVY,,False,,False,,False,,64.0,False,68.0,False,74.0,False,81.0,False,87.0,False,-7.156323860982596,-5.394428692839435,-1.7618951681431607,
2019-06-18,64.0,65.69000244140625,60.11000061035156,60.29999923706055,60.29999923706055,94300,GRVY,,False,,False,,False,,63.0,False,66.0,False,73.0,False,80.0,False,86.0,False,-7.332362134749857,-5.7820153812215205,-1.5503467535283368,
2019-06-19,61.0099983215332,61.970001220703125,56.220001220703125,58.45000076293945,58.45000076293945,123900,GRVY,,False,,False,,False,,61.0,False,65.0,False,72.0,False,80.0,False,86.0,False,-7.534302402619915,-6.132472785501199,-1.4018296171187155,
