Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-05-31,38.22999954223633,38.470001220703125,38.060001373291016,38.209999084472656,37.29411315917969,259200,HACK,,False,,False,,False,,38.0,True,38.0,True,38.0,True,38.0,True,38.0,True,0.0,0.0,0.0,
2019-06-03,38.099998474121094,38.16999816894531,36.84000015258789,37.029998779296875,36.14238739013672,613600,HACK,,False,,False,,False,,38.0,False,38.0,False,38.0,False,38.0,False,38.0,False,-0.0941310784755558,-0.01882621569511116,-0.07530486278044464,
2019-06-04,37.33000183105469,38.0099983215332,37.209999084472656,37.9900016784668,37.079383850097656,263700,HACK,,False,,False,,False,,38.0,False,38.0,False,38.0,False,38.0,False,38.0,False,-0.09022635223657005,-0.03310624300340294,-0.05712010923316711,
2019-06-05,38.31999969482422,38.4900016784668,37.90999984741211,38.290000915527344,37.3721923828125,190100,HACK,,False,,False,,False,,38.0,True,38.0,True,38.0,True,38.0,True,38.0,True,-0.06220731017856451,-0.03892645643843526,-0.023280853740129254,
2019-06-06,38.27000045776367,38.4900016784668,38.060001373291016,38.470001220703125,37.54787826538086,109500,HACK,,False,,False,,False,,38.0,True,38.0,True,38.0,True,38.0,True,38.0,True,-0.025187155330741007,-0.03617859621689641,0.010991440886155404,
2019-06-07,38.5,38.939998626708984,38.400001525878906,38.66999816894531,37.743080139160156,153600,HACK,,False,,False,,False,,38.0,True,38.0,True,38.0,True,38.0,True,38.0,True,0.02005844511159438,-0.024931187951198253,0.04498963306279263,
2019-06-10,38.95000076293945,39.494998931884766,38.900001525878906,39.16999816894531,38.23108673095703,174100,HACK,,False,,False,,False,,39.0,True,38.0,True,38.0,True,38.0,True,38.0,True,0.09516473098394584,-0.0009120041641694325,0.09607673514811528,
2019-06-11,39.36000061035156,39.41999816894531,38.630001068115234,38.9900016784668,38.0554084777832,158600,HACK,,False,,False,,False,,39.0,False,39.0,False,38.0,True,38.0,True,38.0,True,0.1385654943957988,0.026983495547824216,0.11158199884797458,
2019-06-12,38.90999984741211,39.15999984741211,38.790000915527344,39.08000183105469,38.143253326416016,78800,HACK,,False,,False,,False,,39.0,True,39.0,True,38.0,True,38.0,True,38.0,True,0.17816934691185082,0.05722066582062954,0.12094868109122128,
2019-06-13,39.20000076293945,39.31999969482422,39.0880012512207,39.2599983215332,38.318939208984375,99300,HACK,,False,,False,,False,,39.0,True,39.0,True,38.0,True,38.0,True,38.0,True,0.22152628077984815,0.09008178881247328,0.13144449196737487,
2019-06-14,39.220001220703125,39.220001220703125,38.779998779296875,38.90999984741211,37.977325439453125,199600,HACK,,False,,False,,False,,39.0,False,39.0,False,39.0,False,38.0,True,38.0,True,0.22505076629320797,0.11707558430862022,0.10797518198458775,
2019-06-17,38.95000076293945,39.25,38.90999984741211,39.0,38.06516647338867,115300,HACK,,False,,False,,False,,39.0,False,39.0,False,39.0,False,38.0,True,38.0,True,0.23242693359652122,0.14014585416620043,0.0922810794303208,
2019-06-18,39.31999969482422,39.720001220703125,39.279998779296875,39.40999984741211,38.46533966064453,148200,HACK,,False,,False,,False,,39.0,True,39.0,True,39.0,True,38.0,True,38.0,True,0.26826378260382455,0.16576943985372528,0.10249434275009928,
2019-06-19,39.459999084472656,39.89899826049805,39.369998931884766,39.88999938964844,38.933834075927734,137500,HACK,,False,,False,,False,,39.0,True,39.0,True,39.0,True,38.0,True,38.0,True,0.3315745106072683,0.19893045400443388,0.1326440566028344,
2019-06-20,40.27000045776367,40.56999969482422,39.91999816894531,40.15999984741211,39.197364807128906,242900,HACK,,False,,False,,False,,40.0,True,39.0,True,39.0,True,39.0,True,38.0,True,0.3989368039859116,0.23893172400072943,0.16000507998518215,73.90223456587356
2019-06-21,40.06999969482422,40.119998931884766,39.720001220703125,39.720001220703125,38.767913818359375,147600,HACK,,False,,False,,False,,40.0,False,39.0,True,39.0,True,39.0,True,38.0,True,0.41206763565352134,0.2735589063312878,0.13850872932223351,64.19334354327954
2019-06-24,39.90999984741211,40.08000183105469,39.40999984741211,39.43000030517578,38.484867095947266,132600,HACK,,False,,False,,False,,40.0,False,39.0,True,39.0,True,39.0,True,38.0,True,0.39452542064273644,0.2977522091935776,0.09677321144915885,58.71794616273102
2019-06-25,39.47999954223633,39.619998931884766,39.060001373291016,39.060001373291016,38.12373352050781,157900,HACK,,False,,False,,False,,39.0,True,39.0,True,39.0,True,39.0,True,38.0,True,0.3467699194936955,0.3075557512536012,0.03921416824009433,52.55833838640373
2019-06-26,39.290000915527344,39.505001068115234,38.93000030517578,38.970001220703125,38.035892486572266,98800,HACK,,False,,False,,False,,39.0,False,39.0,False,39.0,False,39.0,False,38.0,True,0.2982233475095839,0.3056892705047977,-0.007465922995213814,51.152685464718736
2019-06-27,39.150001525878906,39.54999923706055,39.071998596191406,39.470001220703125,38.52390670776367,180900,HACK,,False,,False,,False,,39.0,True,39.0,True,39.0,True,39.0,True,38.0,True,0.2966757672085407,0.3038865698455463,-0.0072108026370055756,57.89061966380005
2019-06-28,39.630001068115234,39.84000015258789,39.474998474121094,39.77000045776367,38.836395263671875,127300,HACK,,False,,False,,False,,39.0,True,39.0,True,39.0,True,39.0,True,38.0,True,0.3160139181660142,0.3063120395096399,0.009701878656374285,61.336659374311026
