Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,19.010000228881836,19.170000076293945,17.739999771118164,18.299999237060547,18.299999237060547,2274000,HOME,,False,,False,,False,,18.0,True,18.0,True,18.0,True,18.0,True,18.0,True,0.0,0.0,0.0,
2019-06-04,18.6200008392334,19.290000915527344,18.5,19.030000686645508,19.030000686645508,2433200,HOME,,False,,False,,False,,19.0,True,18.0,True,18.0,True,18.0,True,18.0,True,0.05823373387002562,0.011646746774005123,0.046586987096020493,
2019-06-05,19.239999771118164,19.239999771118164,17.399999618530273,17.510000228881836,17.510000228881836,3095200,HOME,,False,,False,,False,,18.0,False,18.0,False,18.0,False,18.0,False,18.0,False,-0.01805877592657268,0.005705642233889563,-0.023764418160462243,
2019-06-06,9.9399995803833,10.470000267028809,7.440000057220459,7.5,7.5,44032100,HOME,,False,,False,,False,,15.0,False,16.0,False,17.0,False,18.0,False,18.0,False,-0.8761448485734391,-0.17066445592757618,-0.7054803926458629,
2019-06-07,7.849999904632568,7.96999979019165,7.465000152587891,7.610000133514404,7.610000133514404,17459600,HOME,,False,,False,,False,,12.0,False,15.0,False,16.0,False,17.0,False,18.0,False,-1.5296750105255512,-0.4424665668471712,-1.08720844367838,
2019-06-10,7.559999942779541,8.234999656677246,7.550000190734863,7.989999771118164,7.989999771118164,6475400,HOME,,False,,False,,False,,11.0,False,14.0,False,16.0,False,17.0,False,18.0,False,-1.993954510929603,-0.7527641556636576,-1.2411903552659456,
2019-06-11,8.029999732971191,8.25,7.659999847412109,7.730000019073486,7.730000019073486,6624900,HOME,,False,,False,,False,,10.0,False,12.0,False,15.0,False,17.0,False,18.0,False,-2.3557238488915626,-1.0733560943092386,-1.282367754582324,
2019-06-12,7.789999961853027,7.795000076293945,7.519999980926514,7.78000020980835,7.78000020980835,4057600,HOME,,False,,False,,False,,9.0,False,12.0,False,14.0,False,16.0,False,18.0,False,-2.6083268893570786,-1.3803502533188068,-1.2279766360382718,
2019-06-13,7.880000114440918,8.239999771118164,7.619999885559082,8.210000038146973,8.210000038146973,3202800,HOME,,False,,False,,False,,9.0,False,11.0,False,14.0,False,16.0,False,18.0,False,-2.7422087508303186,-1.6527219528211092,-1.0894867980092093,
2019-06-14,8.130000114440918,8.199999809265137,7.639999866485596,7.690000057220459,7.690000057220459,3067600,HOME,,False,,False,,False,,8.0,False,10.0,False,13.0,False,16.0,False,18.0,False,-2.857333184926505,-1.8936441992421884,-0.9636889856843165,
2019-06-17,7.679999828338623,7.929999828338623,7.570000171661377,7.789999961853027,7.789999961853027,2725300,HOME,,False,,False,,False,,8.0,False,10.0,False,13.0,False,15.0,False,17.0,False,-2.9069909892200485,-2.0963135572377603,-0.8106774319822883,
2019-06-18,7.760000228881836,8.053999900817871,7.650000095367432,7.889999866485596,7.889999866485596,2391000,HOME,,False,,False,,False,,8.0,False,10.0,False,12.0,False,15.0,False,17.0,False,-2.904791373533815,-2.258009120496971,-0.6467822530368439,
2019-06-19,7.860000133514404,7.949999809265137,7.550000190734863,7.679999828338623,7.679999828338623,3675500,HOME,,False,,False,,False,,8.0,False,9.0,False,12.0,False,15.0,False,17.0,False,-2.8867171321100713,-2.383750722819591,-0.5029664092904804,
2019-06-20,7.699999809265137,7.789999961853027,7.409999847412109,7.480000019073486,7.480000019073486,5756600,HOME,,False,,False,,False,,8.0,False,9.0,False,11.0,False,15.0,False,17.0,False,-2.855613741054384,-2.4781233264665494,-0.3774904145878346,
2019-06-21,7.460000038146973,7.710000038146973,7.364999771118164,7.400000095367432,7.400000095367432,6154300,HOME,,False,,False,,False,,8.0,False,9.0,False,11.0,False,14.0,False,17.0,False,-2.805084140938254,-2.5435154893608902,-0.26156865157736364,14.103846976531713
2019-06-24,7.489999771118164,7.53000020980835,6.670000076293945,6.800000190734863,6.800000190734863,6315700,HOME,,False,,False,,False,,7.0,False,8.0,False,11.0,False,14.0,False,17.0,False,-2.7813918923172363,-2.5910907699521593,-0.190301122365077,12.91040649128341
2019-06-25,6.78000020980835,6.985000133514404,6.585000038146973,6.610000133514404,6.610000133514404,3820300,HOME,,False,,False,,False,,7.0,False,8.0,False,10.0,False,14.0,False,17.0,False,-2.74628951528625,-2.622130519018978,-0.12415899626727223,12.548300813892865
2019-06-26,6.650000095367432,6.800000190734863,6.519999980926514,6.610000133514404,6.610000133514404,2608900,HOME,,False,,False,,False,,7.0,False,8.0,False,10.0,False,13.0,False,17.0,False,-2.6874909063270866,-2.6352025964805996,-0.052288309846487024,12.548300813892865
2019-06-27,6.610000133514404,6.900000095367432,6.570000171661377,6.739999771118164,6.739999771118164,2452300,HOME,,False,,False,,False,,7.0,False,8.0,False,10.0,False,13.0,False,17.0,False,-2.6004266016490725,-2.6282473975142944,0.027820795865221903,14.452277585909684
2019-06-28,6.690000057220459,6.789999961853027,6.369999885559082,6.659999847412109,6.659999847412109,6250300,HOME,,False,,False,,False,,7.0,False,7.0,False,9.0,False,13.0,False,17.0,False,-2.508961096437446,-2.6043901372989247,0.09542904086147885,14.246716785975153
2019-07-01,6.800000190734863,7.099999904632568,6.75,7.079999923706055,7.079999923706055,4147600,HOME,,False,,False,,False,,7.0,True,7.0,True,9.0,False,13.0,False,17.0,False,-2.3752036592432093,-2.558552841687782,0.18334918244457254,20.629466079166633
2019-07-02,7.03000020980835,7.099999904632568,6.869999885559082,7.010000228881836,7.010000228881836,2372400,HOME,,False,,False,,False,,7.0,True,7.0,True,9.0,False,12.0,False,16.0,False,-2.248924119612698,-2.496627097272765,0.247702977660067,20.35750111643749
2019-07-03,7.0,7.059999942779541,6.889999866485596,6.960000038146973,6.960000038146973,1552600,HOME,,False,,False,,False,,7.0,False,7.0,False,9.0,False,12.0,False,16.0,False,-2.12834701267177,-2.4229710803525664,0.2946240676807963,20.153126200320656
2019-07-05,6.989999771118164,7.190000057220459,6.945000171661377,7.130000114440918,7.130000114440918,1503300,HOME,,False,,False,,False,,7.0,True,7.0,True,9.0,False,12.0,False,16.0,False,-1.9960618428835284,-2.337589232858759,0.34152738997523047,22.984161667608916
2019-07-08,7.070000171661377,7.300000190734863,6.929999828338623,6.980000019073486,6.980000019073486,3102500,HOME,,False,,False,,False,,7.0,False,7.0,False,9.0,False,12.0,False,16.0,False,-1.8816382919062846,-2.246399044668264,0.3647607527619794,22.235039913785243
2019-07-09,6.989999771118164,7.019999980926514,6.699999809265137,6.78000020980835,6.78000020980835,2411900,HOME,,False,,False,,False,,7.0,False,7.0,False,8.0,False,12.0,False,16.0,False,-1.7865014399776715,-2.154419523730146,0.36791808375247426,21.240961501792697
2019-07-10,6.820000171661377,6.949999809265137,6.724999904632568,6.949999809265137,6.949999809265137,1559200,HOME,,False,,False,,False,,7.0,False,7.0,False,8.0,False,11.0,False,16.0,False,-1.6780438079974163,-2.0591443805836,0.3811005725861838,24.337431039366137
2019-07-11,6.949999809265137,6.989999771118164,6.539999961853027,6.570000171661377,6.570000171661377,2583200,HOME,,False,,False,,False,,7.0,False,7.0,False,8.0,False,11.0,False,16.0,False,-1.6042602348531023,-1.9681675514375006,0.36390731658439823,22.233222458015348
2019-07-12,6.599999904632568,6.820000171661377,6.550000190734863,6.75,6.75,1661000,HOME,,False,,False,,False,,7.0,False,7.0,False,8.0,False,11.0,False,16.0,False,-1.5138114634924742,-1.8772963338484954,0.3634848703560212,25.51823915042985
2019-07-15,6.78000020980835,6.840000152587891,6.389999866485596,6.429999828338623,6.429999828338623,3098000,HOME,,False,,False,,False,,7.0,False,7.0,False,8.0,False,11.0,False,16.0,False,-1.451222708017763,-1.792081608682349,0.3408589006645859,23.608904246015328
2019-07-16,6.429999828338623,6.769999980926514,6.429999828338623,6.630000114440918,6.630000114440918,2177000,HOME,,False,,False,,False,,7.0,False,7.0,False,8.0,False,11.0,False,16.0,False,-1.3696933444893276,-1.7076039558437448,0.33791061135441725,27.271597479428678
2019-07-17,6.639999866485596,6.639999866485596,6.139999866485596,6.179999828338623,6.179999828338623,3424000,HOME,,False,,False,,False,,6.0,True,7.0,False,8.0,False,11.0,False,15.0,False,-1.326105480280173,-1.6313042607310306,0.3051987804508576,24.433013789988536
2019-07-18,6.199999809265137,6.309999942779541,5.820000171661377,5.949999809265137,5.949999809265137,3691300,HOME,,False,,False,,False,,6.0,False,7.0,False,7.0,False,10.0,False,15.0,False,-1.2951907109223946,-1.5640815507693036,0.268890839846909,23.10905901020837
2019-07-19,6.03000020980835,6.320000171661377,5.949999809265137,6.019999980926514,6.019999980926514,3525900,HOME,,False,,False,,False,,6.0,True,6.0,True,7.0,False,10.0,False,15.0,False,-1.2506256703993248,-1.501390374695308,0.2507647042959831,24.450840101793574
2019-07-22,6.070000171661377,6.190000057220459,5.670000076293945,5.739999771118164,5.739999771118164,4051000,HOME,,False,,False,,False,,6.0,False,6.0,False,7.0,False,10.0,False,15.0,False,-1.2237940950408985,-1.4458711187644262,0.22207702372352767,22.741349712598165
2019-07-23,5.75,5.75,5.159999847412109,5.349999904632568,5.349999904632568,5004900,HOME,,False,,False,,False,,6.0,False,6.0,False,7.0,False,10.0,False,15.0,False,-1.2199369345219981,-1.4006842819159406,0.1807473473939425,20.582772730677448
2019-07-24,5.369999885559082,6.545000076293945,5.369999885559082,6.150000095367432,6.150000095367432,11020500,HOME,,False,,False,,False,,6.0,True,6.0,True,7.0,False,10.0,False,15.0,False,-1.1391948484212513,-1.3483863952170028,0.20919154679575147,34.34868637423013
2019-07-25,6.199999809265137,6.300000190734863,5.980000019073486,6.039999961853027,6.039999961853027,3932300,HOME,,False,,False,,False,,6.0,True,6.0,True,7.0,False,10.0,False,15.0,False,-1.0717280412047652,-1.2930547244145552,0.22132668320979,33.48911528472145
2019-07-26,6.050000190734863,6.179999828338623,5.849999904632568,6.110000133514404,6.110000133514404,2932900,HOME,,False,,False,,False,,6.0,True,6.0,True,7.0,False,9.0,False,15.0,False,-1.0010719473133936,-1.2346581689943228,0.23358622168092924,34.61053967297681
2019-07-29,6.110000133514404,6.190000057220459,5.853000164031982,6.070000171661377,6.070000171661377,2082200,HOME,,False,,False,,False,,6.0,True,6.0,True,7.0,False,9.0,False,15.0,False,-0.9374972616225223,-1.1752259875199629,0.23772872589744054,34.25511476932962
2019-07-30,6.059999942779541,6.130000114440918,5.880000114440918,6.050000190734863,6.050000190734863,1992600,HOME,,False,,False,,False,,6.0,True,6.0,True,7.0,False,9.0,False,15.0,False,-0.8785997455383701,-1.1159007391236444,0.23730099358527434,34.06673913152454
2019-07-31,6.039999961853027,6.230000019073486,5.949999809265137,5.989999771118164,5.989999771118164,2056200,HOME,,False,,False,,False,,6.0,False,6.0,False,7.0,False,9.0,False,15.0,False,-0.8272287935268956,-1.0581663500042948,0.23093755647739922,33.47204864311675
