Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2020-09-18,10.25,10.25,9.819999694824219,9.890000343322754,9.890000343322754,564300,LCID,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,0.0,0.0,0.0,
2020-09-21,9.899999618530273,9.960000038146973,9.859999656677246,9.859999656677246,9.859999656677246,762800,LCID,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.0023932171683025416,-0.00047864343366050833,-0.0019145737346420333,
2020-09-22,9.960000038146973,9.960000038146973,9.850000381469727,9.880000114440918,9.880000114440918,1280800,LCID,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.002645493621942663,-0.0009120134713169392,-0.0017334801506257236,
2020-09-23,9.899999618530273,9.904999732971191,9.789999961853027,9.850000381469727,9.850000381469727,192600,LCID,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.005206139130365273,-0.001770838603126606,-0.0034353005272386664,
2020-09-24,9.850000381469727,9.850000381469727,9.75,9.770000457763672,9.770000457763672,605500,LCID,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.013534773951061396,-0.004123625672713564,-0.009411148278347832,
2020-09-25,9.770000457763672,9.850000381469727,9.770000457763672,9.8100004196167,9.8100004196167,692500,LCID,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.01671493505648236,-0.006641887549467324,-0.010073047507015036,
2020-09-28,9.899999618530273,9.9399995803833,9.829999923706055,9.829999923706055,9.829999923706055,72300,LCID,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.017420628644124747,-0.008797635768398808,-0.00862299287572594,
2020-09-29,9.880000114440918,9.880000114440918,9.760000228881836,9.779999732971191,9.779999732971191,189600,LCID,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.02176361600196408,-0.011390831815111864,-0.010372784186852217,
2020-09-30,9.850000381469727,9.850000381469727,9.770000457763672,9.779999732971191,9.779999732971191,546200,LCID,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.024918223008794982,-0.014096310053848489,-0.010821912954946493,
2020-10-01,9.850000381469727,9.850000381469727,9.739999771118164,9.760000228881836,9.760000228881836,1068500,LCID,,False,,False,,False,,10.0,False,10.0,False,10.0,False,10.0,False,10.0,False,-0.028701214887272286,-0.01701729102053325,-0.011683923866739037,
