Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2020-11-20,31.950000762939453,32.459999084472656,29.399999618530273,29.850000381469727,29.850000381469727,20259700,MRVI,,False,,False,,False,,30.0,False,30.0,False,30.0,False,30.0,False,30.0,False,0.0,0.0,0.0,
2020-11-23,31.110000610351562,31.25,28.010000228881836,29.0,29.0,3617600,MRVI,,False,,False,,False,,30.0,False,30.0,False,30.0,False,30.0,False,30.0,False,-0.06780629823689921,-0.013561259647379843,-0.054245038589519366,
2020-11-24,29.139999389648438,29.700000762939453,25.559999465942383,26.290000915527344,26.290000915527344,3392900,MRVI,,False,,False,,False,,28.0,False,29.0,False,29.0,False,30.0,False,30.0,False,-0.33634043267403513,-0.0781170942527109,-0.2582233384213242,
2020-11-25,26.75,27.65999984741211,26.040000915527344,26.959999084472656,26.959999084472656,2086300,MRVI,,False,,False,,False,,28.0,False,29.0,False,29.0,False,30.0,False,30.0,False,-0.48945033725821574,-0.16038374285381188,-0.3290665944044039,
2020-11-27,27.40999984741211,30.270000457763672,27.40999984741211,29.15999984741211,29.15999984741211,5155400,MRVI,,False,,False,,False,,28.0,True,29.0,True,29.0,True,30.0,False,30.0,False,-0.4283318217291914,-0.21397335862888778,-0.2143584631003036,
2020-11-30,29.15999984741211,29.5,27.729999542236328,28.149999618530273,28.149999618530273,1694400,MRVI,,False,,False,,False,,28.0,True,29.0,False,29.0,False,30.0,False,30.0,False,-0.45613548939669357,-0.2624057847824489,-0.19372970461424466,
2020-12-01,28.290000915527344,30.200000762939453,26.5,27.790000915527344,27.790000915527344,1523600,MRVI,,False,,False,,False,,28.0,False,29.0,False,29.0,False,29.0,False,30.0,False,-0.5014387097244928,-0.3102123697708577,-0.19122633995363508,
2020-12-02,27.190000534057617,29.010000228881836,27.15999984741211,28.1200008392334,28.1200008392334,843000,MRVI,,False,,False,,False,,28.0,True,28.0,True,29.0,False,29.0,False,30.0,False,-0.5048935042757137,-0.3491485966718289,-0.15574490760388476,
2020-12-03,28.0,28.59000015258789,27.40999984741211,27.68000030517578,27.68000030517578,1158600,MRVI,,False,,False,,False,,28.0,False,28.0,False,29.0,False,29.0,False,30.0,False,-0.5369462377175829,-0.3867081248809797,-0.15023811283660315,
2020-12-04,27.68000030517578,27.88599967956543,27.399999618530273,27.6200008392334,27.6200008392334,232100,MRVI,,False,,False,,False,,28.0,False,28.0,False,29.0,False,29.0,False,30.0,False,-0.5607260149028512,-0.42151170288535406,-0.13921431201749718,
2020-12-07,27.479999542236328,27.76300048828125,24.75,26.81999969482422,26.81999969482422,1338600,MRVI,,False,,False,,False,,28.0,False,28.0,False,29.0,False,29.0,False,30.0,False,-0.636784609517651,-0.46456628421181345,-0.17221832530583758,
2020-12-08,26.459999084472656,26.530000686645508,25.079999923706055,25.600000381469727,25.600000381469727,1322000,MRVI,,False,,False,,False,,27.0,False,28.0,False,28.0,False,29.0,False,30.0,False,-0.7864397544034745,-0.5289409782501457,-0.2574987761533287,
2020-12-09,25.530000686645508,25.615999221801758,23.6200008392334,24.5,24.5,952400,MRVI,,False,,False,,False,,26.0,False,27.0,False,28.0,False,29.0,False,30.0,False,-0.9824779780705413,-0.6196483782142249,-0.36282959985631635,
2020-12-10,24.299999237060547,25.690000534057617,23.90999984741211,25.540000915527344,25.540000915527344,1735700,MRVI,,False,,False,,False,,26.0,False,27.0,False,28.0,False,29.0,False,30.0,False,-1.0419098127183943,-0.7041006651150589,-0.33780914760333547,
2020-12-11,25.09000015258789,26.360000610351562,24.90999984741211,25.170000076293945,25.170000076293945,515500,MRVI,,False,,False,,False,,26.0,False,26.0,False,27.0,False,29.0,False,29.0,False,-1.1061153362962344,-0.784503599351294,-0.3216117369449404,31.83276453128724
2020-12-14,25.739999771118164,26.530000686645508,25.15999984741211,25.729999542236328,25.729999542236328,1333600,MRVI,,False,,False,,False,,26.0,False,26.0,False,27.0,False,28.0,False,29.0,False,-1.0991411841376433,-0.8474311163085639,-0.25171006782907934,36.68111678656253
2020-12-15,26.84000015258789,27.489999771118164,26.450000762939453,26.6200008392334,26.6200008392334,1688800,MRVI,,False,,False,,False,,26.0,True,26.0,True,27.0,False,28.0,False,29.0,False,-1.0101540248895482,-0.8799756980247608,-0.13017832686478736,43.55259502645895
2020-12-16,27.270000457763672,28.229999542236328,26.799999237060547,27.459999084472656,27.459999084472656,1569100,MRVI,,False,,False,,False,,26.0,True,27.0,True,27.0,True,28.0,False,29.0,False,-0.8619146067713572,-0.8763634797740801,0.014448873002722906,49.160383430690885
2020-12-17,27.639999389648438,30.260000228881836,27.639999389648438,29.549999237060547,29.549999237060547,1385500,MRVI,,False,,False,,False,,28.0,True,27.0,True,27.0,True,28.0,True,29.0,True,-0.5692265649421593,-0.814936096807696,0.24570953186553668,59.848516564596814
2020-12-18,29.770000457763672,30.040000915527344,29.09000015258789,29.989999771118164,29.989999771118164,1328000,MRVI,,False,,False,,False,,28.0,True,28.0,True,28.0,True,28.0,True,29.0,True,-0.29832590193244357,-0.7116140578326455,0.41328815590020196,61.67523117124683
2020-12-21,29.15999984741211,30.350000381469727,28.510000228881836,29.530000686645508,29.530000686645508,2162300,MRVI,,False,,False,,False,,29.0,True,28.0,True,28.0,True,29.0,True,29.0,True,-0.11937715102028434,-0.5931666764701734,0.47378952544988906,58.67002793276743
2020-12-22,29.530000686645508,31.190000534057617,29.399999618530273,30.860000610351562,30.860000610351562,1660200,MRVI,,False,,False,,False,,29.0,True,28.0,True,28.0,True,29.0,True,29.0,True,0.12828214518682302,-0.4488769121387742,0.5771590573255971,64.11456119546531
2020-12-23,31.0,31.0,29.760000228881836,30.170000076293945,30.170000076293945,1243500,MRVI,,False,,False,,False,,30.0,True,29.0,True,28.0,True,29.0,True,29.0,True,0.2658125238836675,-0.3059390249342859,0.5717515488179534,59.719224043747985
2020-12-24,30.100000381469727,30.100000381469727,29.450000762939453,29.709999084472656,29.709999084472656,386800,MRVI,,False,,False,,False,,30.0,False,29.0,True,28.0,True,29.0,True,29.0,True,0.3338398067187214,-0.1779832586036844,0.5118230653224058,56.91780739094142
2020-12-28,30.040000915527344,30.219999313354492,28.610000610351562,28.81999969482422,28.81999969482422,842400,MRVI,,False,,False,,False,,29.0,False,29.0,False,28.0,True,29.0,False,29.0,False,0.31233599088569264,-0.07991940870580902,0.3922553995915017,51.84991672232211
2020-12-29,28.979999542236328,28.979999542236328,26.760000228881836,27.0,27.0,848600,MRVI,,False,,False,,False,,29.0,False,29.0,False,28.0,False,29.0,False,29.0,False,0.14674372657599832,-0.03458678164944755,0.18133050822544589,43.349676062957094
2020-12-30,27.239999771118164,28.59000015258789,27.239999771118164,27.969999313354492,27.969999313354492,1088000,MRVI,,False,,False,,False,,28.0,False,28.0,False,28.0,False,29.0,False,29.0,False,0.09271276698185105,-0.00912687192318783,0.10183963890503887,48.221764879960965
2020-12-31,28.0,28.510000228881836,27.610000610351562,28.049999237060547,28.049999237060547,669000,MRVI,,False,,False,,False,,28.0,True,28.0,True,28.0,True,29.0,False,29.0,False,0.05570602312844031,0.003839707087137798,0.05186631604130251,48.61428151030778
2021-01-04,28.850000381469727,29.440000534057617,27.350000381469727,27.5,27.5,1609900,MRVI,,False,,False,,False,,28.0,False,28.0,False,28.0,False,29.0,False,29.0,False,-0.017797273993775065,-0.00048768912904477435,-0.01730958486473029,46.030737019457554
2021-01-05,27.459999084472656,27.889999389648438,26.639999389648438,27.0,27.0,770000,MRVI,,False,,False,,False,,28.0,False,28.0,False,28.0,False,28.0,False,29.0,False,-0.11506854924344267,-0.023403861151924357,-0.09166468809151831,43.75425129741511
2021-01-06,26.719999313354492,26.954999923706055,25.31999969482422,25.799999237060547,25.799999237060547,1418600,MRVI,,False,,False,,False,,27.0,False,28.0,False,28.0,False,28.0,False,29.0,False,-0.28569347191862704,-0.0758617833052649,-0.20983168861336216,38.79527494358354
2021-01-07,26.0,26.43000030517578,25.68000030517578,25.90999984741211,25.90999984741211,1107100,MRVI,,False,,False,,False,,27.0,False,27.0,False,28.0,False,28.0,False,29.0,False,-0.40734322336637163,-0.14215807131748626,-0.2651851520488854,39.47248420134013
