Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,62.98115539550781,63.22672653198242,60.61393356323242,61.32781219482422,61.32781219482422,3580795,MTCH,,False,,False,,False,,61.0,True,61.0,True,61.0,True,61.0,True,61.0,True,0.0,0.0,0.0,
2019-06-04,61.97030258178711,63.71216583251953,61.42490005493164,63.66933059692383,63.66933059692383,2669224,MTCH,,False,,False,,False,,62.0,True,62.0,True,62.0,True,61.0,True,61.0,True,0.18678779276008584,0.03735755855201717,0.14943023420806867,
2019-06-05,64.19188690185547,65.14848327636719,63.58366775512695,64.98572540283203,64.98572540283203,2707046,MTCH,,False,,False,,False,,63.0,True,62.0,True,62.0,True,62.0,True,61.0,True,0.4360144206900358,0.1170889309796209,0.3189254897104149,
2019-06-06,65.56253814697266,65.65962219238281,64.04340362548828,64.5631103515625,64.5631103515625,1658897,MTCH,,False,,False,,False,,64.0,True,63.0,True,62.0,True,62.0,True,61.0,True,0.5925957413807197,0.21219029305984066,0.380405448320879,
2019-06-07,64.62593078613281,65.6710433959961,64.62593078613281,65.15705108642578,65.15705108642578,1837499,MTCH,,False,,False,,False,,64.0,True,63.0,True,62.0,True,62.0,True,61.0,True,0.7559000741459201,0.32093224927705655,0.43496782486886354,
2019-06-10,65.55111694335938,66.59052276611328,65.26556396484375,65.41976165771484,65.41976165771484,2147076,MTCH,,False,,False,,False,,65.0,True,64.0,True,63.0,True,62.0,True,61.0,True,0.8961877869947514,0.4359833568205956,0.46020443017415585,
2019-06-11,66.13648986816406,66.26213836669922,64.20331573486328,64.95145416259766,64.95145416259766,1807382,MTCH,,False,,False,,False,,65.0,False,64.0,True,63.0,True,62.0,True,62.0,True,0.9585289836391127,0.540492482184299,0.41803650145481364,
2019-06-12,65.10565185546875,65.51970672607422,64.6373519897461,65.45687866210938,65.45687866210938,1046748,MTCH,,False,,False,,False,,65.0,True,64.0,True,63.0,True,62.0,True,62.0,True,1.0367671577957225,0.6397474173065838,0.3970197404891387,
2019-06-13,65.70531463623047,66.48486328125,65.22273254394531,65.89948272705078,65.89948272705078,1492903,MTCH,,False,,False,,False,,65.0,True,64.0,True,63.0,True,62.0,True,62.0,True,1.1215573090214832,0.7361093956495637,0.3854479133719195,
2019-06-14,65.8794937133789,66.39063262939453,64.6373519897461,65.2255859375,65.2255859375,1605317,MTCH,,False,,False,,False,,65.0,True,65.0,True,64.0,True,62.0,True,62.0,True,1.1214489108550367,0.8131772986906584,0.3082716121643784,
