Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,135.91000366210938,137.47000122070312,132.60000610351562,133.77999877929688,133.32916259765625,11966100,NVDA,,False,,False,,False,,134.0,False,134.0,False,134.0,False,134.0,False,134.0,False,0.0,0.0,0.0,
2019-06-04,136.36000061035156,143.2100067138672,135.47000122070312,143.0,142.51809692382812,16045900,NVDA,,False,,False,,False,,137.0,True,135.0,True,135.0,True,134.0,True,134.0,True,0.7354986728766164,0.1470997345753233,0.5883989383012931,
2019-06-05,145.97000122070312,146.19000244140625,139.82000732421875,141.27999877929688,140.80389404296875,12790400,NVDA,,False,,False,,False,,138.0,True,137.0,True,135.0,True,134.0,True,134.0,True,1.1661542460101373,0.35091063686228613,0.8152436091478512,
2019-06-06,141.4499969482422,144.77000427246094,141.35000610351562,143.77999877929688,143.29547119140625,10203500,NVDA,,False,,False,,False,,140.0,True,138.0,True,136.0,True,135.0,True,134.0,True,1.6897031509323313,0.6186691396762951,1.0710340112560361,
2019-06-07,144.02000427246094,146.8800048828125,143.25,145.5,145.00965881347656,8721400,NVDA,,False,,False,,False,,142.0,True,139.0,True,137.0,True,135.0,True,134.0,True,2.2178432376262265,0.9385039592662814,1.279339278359945,
2019-06-10,147.75999450683594,151.19000244140625,147.75999450683594,148.42999267578125,147.92977905273438,10069500,NVDA,,False,,False,,False,,144.0,True,141.0,True,138.0,True,136.0,True,134.0,True,2.8400852484871564,1.3188202171104564,1.5212650313767,
2019-06-11,150.83999633789062,152.36000061035156,149.16000366210938,150.75,150.24195861816406,9596800,NVDA,,False,,False,,False,,146.0,True,143.0,True,139.0,True,136.0,True,134.0,True,3.48030296093998,1.7511167658763613,1.7291861950636187,
2019-06-12,149.0,149.25,145.58999633789062,146.1999969482422,145.70729064941406,8950400,NVDA,,False,,False,,False,,146.0,True,143.0,True,140.0,True,137.0,True,135.0,True,3.579273256186525,2.1167480639383944,1.4625251922481306,
2019-06-13,147.08999633789062,149.0,146.3800048828125,148.25999450683594,147.76034545898438,7702000,NVDA,,False,,False,,False,,147.0,True,144.0,True,141.0,True,137.0,True,135.0,True,3.7803549365531524,2.449469438461346,1.3308854980918063,
2019-06-14,144.50999450683594,145.49000549316406,142.83999633789062,144.63999938964844,144.1525421142578,9860700,NVDA,,False,,False,,False,,146.0,False,144.0,True,141.0,True,137.0,True,135.0,True,3.60604205642025,2.680783962053127,0.9252580943671234,
2019-06-17,144.57000732421875,146.52000427246094,143.64999389648438,145.02999877929688,144.54124450683594,6901000,NVDA,,False,,False,,False,,146.0,False,144.0,True,141.0,True,138.0,True,135.0,True,3.4594887021408454,2.8365249100706706,0.6229637920701747,
2019-06-18,147.5,155.11000061035156,147.05999755859375,152.8800048828125,152.36480712890625,14548000,NVDA,,False,,False,,False,,148.0,True,146.0,True,142.0,True,138.0,True,135.0,True,3.931454638502771,3.055510855757091,0.8759437827456802,
2019-06-19,154.3000030517578,154.75999450683594,152.07000732421875,153.1199951171875,152.60398864746094,8291100,NVDA,,False,,False,,False,,150.0,True,147.0,True,143.0,True,139.0,True,135.0,True,4.275570138525609,3.2995227123107944,0.9760474262148144,
2019-06-20,156.77000427246094,157.3300018310547,153.52000427246094,154.10000610351562,153.58067321777344,8754200,NVDA,,False,,False,,False,,151.0,True,149.0,True,144.0,True,140.0,True,135.0,True,4.574629368067974,3.5545440434622306,1.0200853246057435,
2019-06-21,153.5,155.47999572753906,151.5,151.75999450683594,151.24856567382812,10860700,NVDA,,False,,False,,False,,151.0,True,149.0,True,145.0,True,140.0,True,136.0,True,4.570134912070387,3.7576622171838623,0.8124726948865244,67.62686055743488
2019-06-24,152.6199951171875,153.85000610351562,150.72000122070312,152.66000366210938,152.14552307128906,7073700,NVDA,,False,,False,,False,,152.0,True,150.0,True,146.0,True,140.0,True,136.0,True,4.586327907227172,3.9233953551925245,0.6629325520346478,68.81239437811973
2019-06-25,152.86000061035156,155.8800048828125,151.3699951171875,151.47999572753906,150.96949768066406,7796700,NVDA,,False,,False,,False,,152.0,False,150.0,True,146.0,True,141.0,True,136.0,True,4.452617194609644,4.029239723075949,0.4233774715336951,65.42922612123297
2019-06-26,156.61000061035156,161.72000122070312,156.08999633789062,159.25999450683594,158.72328186035156,14601800,NVDA,,False,,False,,False,,154.0,True,152.0,True,147.0,True,142.0,True,136.0,True,4.917742696239401,4.206940317708639,0.7108023785307616,74.37472776952583
2019-06-27,162.7100067138672,164.0,161.25999450683594,163.22999572753906,162.67991638183594,11136000,NVDA,,False,,False,,False,,157.0,True,154.0,True,149.0,True,142.0,True,136.0,True,5.542809865307532,4.4741142272284185,1.068695638079114,77.56493391012063
2019-06-28,165.0,165.3699951171875,162.35000610351562,164.22999572753906,163.67652893066406,9941700,NVDA,,False,,False,,False,,160.0,True,156.0,True,150.0,True,143.0,True,137.0,True,6.049141010699287,4.789119583922592,1.260021426776695,78.29783825742936
2019-07-01,172.57000732421875,173.9499969482422,164.66000366210938,166.1699981689453,165.61000061035156,17788300,NVDA,,False,,False,,False,,162.0,True,158.0,True,152.0,True,144.0,True,137.0,True,6.531661151153145,5.137627897368703,1.3940332537844418,79.68439206357677
2019-07-02,165.5,166.35000610351562,161.6999969482422,162.22999572753906,161.6832733154297,10005700,NVDA,,False,,False,,False,,162.0,True,158.0,True,153.0,True,145.0,True,137.0,True,6.520966922266638,5.41429570234829,1.106671219918348,69.9146950147142
2019-07-03,163.1699981689453,163.39999389648438,160.33999633789062,162.75,162.2015380859375,6165900,NVDA,,False,,False,,False,,162.0,True,159.0,True,154.0,True,146.0,True,138.0,True,6.479757061856532,5.627387974249938,0.8523690876065935,70.42998824237328
2019-07-05,160.39999389648438,160.5800018310547,157.67999267578125,160.22999572753906,159.69003295898438,9913800,NVDA,,False,,False,,False,,162.0,False,159.0,True,154.0,True,146.0,True,138.0,True,6.172600767015751,5.736430532803102,0.4361702342126499,64.6509694540683
2019-07-08,157.8300018310547,158.58999633789062,156.0,157.2100067138672,156.6802215576172,8244700,NVDA,,False,,False,,False,,160.0,False,159.0,False,154.0,True,147.0,True,138.0,True,5.620697415072499,5.713283909256981,-0.0925864941844825,58.46018806937821
2019-07-09,155.50999450683594,158.44000244140625,155.0,157.30999755859375,156.77989196777344,8571500,NVDA,,False,,False,,False,,159.0,False,159.0,False,155.0,True,147.0,True,138.0,True,5.132217449852135,5.597070617376013,-0.46485316752387806,58.60153754307183
