Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-10-25,13.5,16.0,13.289999961853027,15.9399995803833,15.9399995803833,4973400,PGNY,,False,,False,,False,,16.0,False,16.0,False,16.0,False,16.0,False,16.0,False,0.0,0.0,0.0,
2019-10-28,15.899999618530273,18.149999618530273,15.861000061035156,17.209999084472656,17.209999084472656,1163500,PGNY,,False,,False,,False,,16.0,True,16.0,True,16.0,True,16.0,True,16.0,True,0.10131050175071366,0.020262100350142732,0.08104840140057093,
2019-10-29,17.229999542236328,17.25,16.110000610351562,16.43000030517578,16.43000030517578,546100,PGNY,,False,,False,,False,,16.0,True,16.0,True,16.0,True,16.0,True,16.0,True,0.1173081660075006,0.039671313481614304,0.0776368525258863,
2019-10-30,16.389999389648438,16.899999618530273,16.0,16.209999084472656,16.209999084472656,349100,PGNY,,False,,False,,False,,16.0,True,16.0,True,16.0,True,16.0,True,16.0,True,0.11095514842031662,0.05392808046935477,0.05702706795096185,
2019-10-31,16.200000762939453,17.3799991607666,16.1200008392334,16.43000030517578,16.43000030517578,1200300,PGNY,,False,,False,,False,,16.0,True,16.0,True,16.0,True,16.0,True,16.0,True,0.12226322178080196,0.0675951087316442,0.05466811304915775,
2019-11-01,16.459999084472656,18.700000762939453,16.215999603271484,18.3799991607666,18.3799991607666,557500,PGNY,,False,,False,,False,,17.0,True,17.0,True,16.0,True,16.0,True,16.0,True,0.2852849746114394,0.11113308190760325,0.1741518927038362,
2019-11-04,18.899999618530273,19.850000381469727,18.700000762939453,19.049999237060547,19.049999237060547,725200,PGNY,,False,,False,,False,,18.0,True,17.0,True,17.0,True,16.0,True,16.0,True,0.4632047588456558,0.1815474172952138,0.28165734155044203,
2019-11-05,19.200000762939453,19.8799991607666,19.200000762939453,19.790000915527344,19.790000915527344,342300,PGNY,,False,,False,,False,,18.0,True,18.0,True,17.0,True,16.0,True,16.0,True,0.6563533874100358,0.27650861131817817,0.3798447760918576,
2019-11-06,19.8799991607666,20.23699951171875,19.209999084472656,19.899999618530273,19.899999618530273,521600,PGNY,,False,,False,,False,,19.0,True,18.0,True,17.0,True,17.0,True,16.0,True,0.808975675129826,0.38300202408050776,0.4259736510493183,
2019-11-07,19.989999771118164,21.040000915527344,19.610000610351562,20.920000076293945,20.920000076293945,431500,PGNY,,False,,False,,False,,20.0,True,19.0,True,17.0,True,17.0,True,16.0,True,1.0007000034483617,0.5065416199540786,0.4941583834942831,
2019-11-08,20.850000381469727,21.78499984741211,19.440000534057617,21.75,21.75,302100,PGNY,,False,,False,,False,,20.0,True,19.0,True,18.0,True,17.0,True,16.0,True,1.2057182032705072,0.6463769366173644,0.5593412666531428,
2019-11-11,21.639999389648438,22.75,20.760000228881836,21.989999771118164,21.989999771118164,376000,PGNY,,False,,False,,False,,21.0,True,20.0,True,18.0,True,17.0,True,16.0,True,1.37174990050503,0.7914515293948976,0.5802983711101324,
2019-11-12,22.149999618530273,22.4950008392334,20.190000534057617,20.809999465942383,20.809999465942383,365400,PGNY,,False,,False,,False,,21.0,False,20.0,True,18.0,True,17.0,True,16.0,True,1.3920681586034647,0.911574855236611,0.4804933033668537,
2019-11-13,20.739999771118164,21.655000686645508,20.200000762939453,20.5,20.5,422400,PGNY,,False,,False,,False,,21.0,False,20.0,True,19.0,True,17.0,True,16.0,True,1.3673936950600698,1.0027386232013027,0.3646550718587671,
2019-11-14,20.420000076293945,21.0,19.270000457763672,20.559999465942383,20.559999465942383,353400,PGNY,,False,,False,,False,,21.0,False,20.0,True,19.0,True,17.0,True,16.0,True,1.3372652984552644,1.0696439582520951,0.2676213402031693,70.12620934922629
2019-11-15,22.40999984741211,23.989999771118164,21.30500030517578,23.760000228881836,23.760000228881836,1284900,PGNY,,False,,False,,False,,22.0,True,21.0,True,19.0,True,18.0,True,16.0,True,1.5536916548716846,1.166453497576013,0.38723815729567157,81.29885829593219
2019-11-18,24.0,25.950000762939453,23.020000457763672,24.920000076293945,24.920000076293945,917900,PGNY,,False,,False,,False,,23.0,True,22.0,True,20.0,True,18.0,True,17.0,True,1.7980861765883986,1.2927800333784902,0.5053061432099084,83.68140353947544
2019-11-19,25.5,29.290000915527344,24.25,26.81999969482422,26.81999969482422,1191000,PGNY,,False,,False,,False,,24.0,True,22.0,True,20.0,True,18.0,True,17.0,True,2.120639276544498,1.4583518820116919,0.6622873945328063,86.67571635899664
2019-11-20,26.34000015258789,28.700000762939453,25.030000686645508,26.559999465942383,26.559999465942383,1022900,PGNY,,False,,False,,False,,25.0,True,23.0,True,21.0,True,19.0,True,17.0,True,2.3284442308836937,1.6323703517860924,0.6960738790976013,84.39364607017977
2019-11-21,26.5,28.719999313354492,26.270000457763672,27.0,27.0,783100,PGNY,,False,,False,,False,,26.0,True,24.0,True,22.0,True,19.0,True,17.0,True,2.499819161007217,1.8058601136303174,0.6939590473768995,85.10821242911166
2019-11-22,27.25,28.1299991607666,25.56999969482422,25.68000030517578,25.68000030517578,466900,PGNY,,False,,False,,False,,26.0,False,24.0,True,22.0,True,19.0,True,17.0,True,2.500300180052413,1.9447481269147366,0.5555520531376765,74.1408106177539
2019-11-25,25.729999542236328,26.530000686645508,25.18000030517578,25.719999313354492,25.719999313354492,481100,PGNY,,False,,False,,False,,26.0,False,24.0,True,22.0,True,20.0,True,17.0,True,2.475374401551619,2.050873381842113,0.4245010197095058,74.24909972621622
2019-11-26,25.790000915527344,25.989999771118164,25.1299991607666,25.760000228881836,25.760000228881836,445000,PGNY,,False,,False,,False,,26.0,False,25.0,True,23.0,True,20.0,True,17.0,True,2.4308272190468934,2.1268641492830693,0.30396306976382403,74.36471452342337
2019-11-27,25.760000228881836,27.399999618530273,25.559999465942383,26.989999771118164,26.989999771118164,634400,PGNY,,False,,False,,False,,26.0,True,25.0,True,23.0,True,20.0,True,17.0,True,2.46634346724527,2.1947600128755096,0.2715834543697606,77.68275239314762
2019-11-29,27.229999542236328,27.889999389648438,26.639999389648438,26.639999389648438,26.639999389648438,192000,PGNY,,False,,False,,False,,26.0,True,25.0,True,23.0,True,20.0,True,17.0,True,2.438142851018547,2.243436580504117,0.19470627051443,74.71912756880405
2019-12-02,27.559999465942383,28.969999313354492,27.059999465942383,28.540000915527344,28.540000915527344,1230800,PGNY,,False,,False,,False,,27.0,True,26.0,True,24.0,True,21.0,True,17.0,True,2.5398303206999913,2.302715328543292,0.23711499215669907,79.32935858057422
2019-12-03,27.690000534057617,29.198999404907227,27.5,27.719999313354492,27.719999313354492,548100,PGNY,,False,,False,,False,,27.0,True,26.0,True,24.0,True,21.0,True,18.0,True,2.52514282217793,2.34720082727022,0.17794199490771012,73.13098841804378
2019-12-04,28.149999618530273,29.040000915527344,25.110000610351562,26.34000015258789,26.34000015258789,1538700,PGNY,,False,,False,,False,,27.0,False,26.0,True,24.0,True,21.0,True,18.0,True,2.3747735632498888,2.352715374466154,0.022058188783734778,64.05954822090166
2019-12-05,27.6200008392334,27.90999984741211,24.170000076293945,27.860000610351562,27.860000610351562,1440200,PGNY,,False,,False,,False,,27.0,True,27.0,True,25.0,True,21.0,True,18.0,True,2.351153541481146,2.3524030078691527,-0.0012494663880064927,68.66945670950099
2019-12-06,27.56999969482422,32.0,26.43000030517578,30.489999771118164,30.489999771118164,2537900,PGNY,,False,,False,,False,,28.0,True,27.0,True,25.0,True,22.0,True,18.0,True,2.5156545567208504,2.385053317639492,0.13060123908135823,74.71312374991406
2019-12-09,31.469999313354492,31.5,25.520000457763672,27.809999465942383,27.809999465942383,1901900,PGNY,,False,,False,,False,,28.0,False,27.0,True,25.0,True,22.0,True,18.0,True,2.4020794923878377,2.3884585525891615,0.01362093979867618,61.66035752968471
2019-12-10,28.0,28.780000686645508,27.020000457763672,27.329999923706055,27.329999923706055,743700,PGNY,,False,,False,,False,,28.0,False,27.0,True,26.0,True,22.0,True,18.0,True,2.2474314928330017,2.36025314063793,-0.1128216478049282,59.65029788260002
2019-12-11,27.299999237060547,27.56999969482422,25.350000381469727,26.459999084472656,26.459999084472656,1062200,PGNY,,False,,False,,False,,27.0,False,27.0,False,26.0,True,22.0,True,18.0,True,2.0312549989656326,2.2944535123034706,-0.26319851333783806,56.081777295501475
2019-12-12,26.440000534057617,27.149999618530273,25.049999237060547,25.15999984741211,25.15999984741211,656400,PGNY,,False,,False,,False,,27.0,False,27.0,False,26.0,False,22.0,True,18.0,True,1.7350341031049972,2.182569630463776,-0.44753552735877866,51.15697754012026
2019-12-13,25.270000457763672,26.40999984741211,25.200000762939453,25.989999771118164,25.989999771118164,671100,PGNY,,False,,False,,False,,26.0,False,27.0,False,26.0,False,23.0,True,18.0,True,1.5493905563519306,2.055933815641407,-0.5065432592894763,53.93814941435666
2019-12-16,26.219999313354492,26.700000762939453,24.31999969482422,24.90999984741211,24.90999984741211,1044800,PGNY,,False,,False,,False,,26.0,False,26.0,False,26.0,False,23.0,True,18.0,True,1.3001326206075738,1.9047735766346403,-0.6046409560270665,49.952382815488924
2019-12-17,24.8799991607666,25.760000228881836,24.600000381469727,25.489999771118164,25.489999771118164,646300,PGNY,,False,,False,,False,,26.0,False,26.0,False,26.0,False,23.0,True,18.0,True,1.1362965381336139,1.7510781689344352,-0.6147816308008214,52.00360785528758
2019-12-18,25.469999313354492,25.799999237060547,24.260000228881836,24.459999084472656,24.459999084472656,657400,PGNY,,False,,False,,False,,25.0,False,26.0,False,25.0,False,23.0,True,18.0,True,0.9128203898175258,1.5834266131110535,-0.6706062232935277,48.22367190185942
2019-12-19,24.540000915527344,24.982999801635742,22.899999618530273,23.84000015258789,23.84000015258789,967100,PGNY,,False,,False,,False,,25.0,False,26.0,False,25.0,False,23.0,True,19.0,True,0.6778711236096413,1.4023155152107711,-0.7244443916011298,46.05370241342279
2019-12-20,23.84000015258789,24.639999389648438,23.100000381469727,23.540000915527344,23.540000915527344,2407400,PGNY,,False,,False,,False,,24.0,False,25.0,False,25.0,False,23.0,True,19.0,True,0.4621374730703174,1.2142799067826804,-0.752142433712363,44.99857239334865
2019-12-23,23.530000686645508,25.899999618530273,23.1299991607666,25.700000762939453,25.700000762939453,873400,PGNY,,False,,False,,False,,25.0,True,25.0,True,25.0,True,23.0,True,19.0,True,0.46015653841773485,1.0634552331096914,-0.6032986946919565,53.29551799260412
2019-12-24,25.6299991607666,25.989999771118164,25.40999984741211,25.649999618530273,25.649999618530273,265400,PGNY,,False,,False,,False,,25.0,True,25.0,True,25.0,True,23.0,True,19.0,True,0.44937187965252434,0.9406385624182579,-0.4912666827657336,53.0958466500324
2019-12-26,25.559999465942383,26.836999893188477,24.790000915527344,26.270000457763672,26.270000457763672,721300,PGNY,,False,,False,,False,,25.0,True,25.0,True,25.0,True,23.0,True,19.0,True,0.4852600700214502,0.8495628639388965,-0.36430279391744624,55.3306126870663
2019-12-27,26.559999465942383,27.989999771118164,26.34000015258789,27.950000762939453,27.950000762939453,576200,PGNY,,False,,False,,False,,26.0,True,26.0,True,26.0,True,23.0,True,19.0,True,0.6418646871618776,0.8080232285834927,-0.16615854142161512,60.7831124016077
2019-12-30,28.1299991607666,28.649999618530273,26.84000015258789,28.204999923706055,28.204999923706055,547700,PGNY,,False,,False,,False,,27.0,True,26.0,True,26.0,True,24.0,True,19.0,True,0.777587728376794,0.801936128542153,-0.024348400165358997,61.55028460556434
2019-12-31,28.139999389648438,28.450000762939453,27.34000015258789,27.450000762939453,27.450000762939453,343100,PGNY,,False,,False,,False,,27.0,True,27.0,True,26.0,True,24.0,True,19.0,True,0.8148341925338585,0.8045157413404942,0.010318451193364275,57.936483325525856
2020-01-02,27.399999618530273,27.649999618530273,25.350000381469727,25.959999084472656,25.959999084472656,654300,PGNY,,False,,False,,False,,27.0,False,26.0,False,26.0,False,24.0,True,19.0,True,0.7158695027218585,0.7867864936167671,-0.07091699089490866,51.508982447700475
2020-01-03,25.520000457763672,26.649999618530273,25.209999084472656,25.90999984741211,25.90999984741211,401900,PGNY,,False,,False,,False,,26.0,False,26.0,False,26.0,False,24.0,True,19.0,True,0.6261864646965485,0.7546664878327235,-0.12848002313617501,51.30330028931503
2020-01-06,25.670000076293945,28.0,25.3799991607666,27.969999313354492,27.969999313354492,366500,PGNY,,False,,False,,False,,27.0,True,27.0,True,26.0,True,24.0,True,19.0,True,0.7131163898550668,0.7463564682371923,-0.033240078382125504,58.63256858388577
2020-01-07,27.829999923706055,30.0,27.270000457763672,29.31999969482422,29.31999969482422,1126800,PGNY,24.24,True,,False,,False,879592.0,28.0,True,27.0,True,26.0,True,24.0,True,19.0,True,0.8807895366936016,0.7732430819284741,0.10754645476512747,62.60474936526204
2020-01-08,29.489999771118164,30.670000076293945,28.530000686645508,29.389999389648438,29.389999389648438,844400,PGNY,24.51,True,,False,,False,797012.0,28.0,True,28.0,True,27.0,True,25.0,True,19.0,True,1.0077039204226637,0.820135249627312,0.18756867079535167,62.80418897773799
