Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,43.59000015258789,44.15999984741211,41.59000015258789,41.84000015258789,41.84000015258789,3262600,PLAN,,False,,False,,False,,42.0,False,42.0,False,42.0,False,42.0,False,42.0,False,0.0,0.0,0.0,
2019-06-04,42.5,43.400001525878906,40.2599983215332,42.869998931884766,42.869998931884766,2315600,PLAN,,False,,False,,False,,42.0,True,42.0,True,42.0,True,42.0,True,42.0,True,0.08216514478721137,0.016433028957442277,0.0657321158297691,
2019-06-05,43.900001525878906,44.68000030517578,43.400001525878906,44.630001068115234,44.630001068115234,3117200,PLAN,,False,,False,,False,,43.0,True,43.0,True,42.0,True,42.0,True,42.0,True,0.286002221857828,0.07034686753751943,0.21565535432030855,
2019-06-06,43.29999923706055,47.720001220703125,43.279998779296875,47.380001068115234,47.380001068115234,4353500,PLAN,,False,,False,,False,,44.0,True,43.0,True,43.0,True,42.0,True,42.0,True,0.661817570310788,0.18864100809217316,0.47317656221861487,
2019-06-07,47.029998779296875,48.40999984741211,46.27000045776367,48.0099983215332,48.0099983215332,4795500,PLAN,,False,,False,,False,,46.0,True,44.0,True,43.0,True,42.0,True,42.0,True,0.9989739054647018,0.35070758756667886,0.6482663178980229,
2019-06-10,48.5,50.65999984741211,48.27000045776367,48.310001373291016,48.310001373291016,2864000,PLAN,,False,,False,,False,,47.0,True,45.0,True,44.0,True,43.0,True,42.0,True,1.2756752786689418,0.5357011257871315,0.7399741528818103,
2019-06-11,46.86000061035156,48.06999969482422,46.220001220703125,47.11000061035156,47.11000061035156,2911100,PLAN,,False,,False,,False,,47.0,True,45.0,True,44.0,True,43.0,True,42.0,True,1.382199937227874,0.70500088807528,0.6771990491525939,
2019-06-12,46.599998474121094,47.45000076293945,46.099998474121094,46.75,46.75,1982500,PLAN,,False,,False,,False,,47.0,False,46.0,True,44.0,True,43.0,True,42.0,True,1.4211898639086442,0.8482386832419528,0.5729511806666914,
2019-06-13,47.54999923706055,49.709999084472656,47.45000076293945,48.47999954223633,48.47999954223633,3257600,PLAN,,False,,False,,False,,47.0,True,46.0,True,45.0,True,43.0,True,42.0,True,1.573547292866472,0.9933004051668568,0.5802468876996152,
2019-06-14,47.29999923706055,48.86000061035156,46.380001068115234,48.4900016784668,48.4900016784668,2998500,PLAN,,False,,False,,False,,48.0,True,47.0,True,45.0,True,43.0,True,42.0,True,1.6757813772151522,1.129796599576516,0.5459847776386362,
2019-06-17,48.70000076293945,49.709999084472656,47.5,49.560001373291016,49.560001373291016,2207700,PLAN,,False,,False,,False,,48.0,True,47.0,True,45.0,True,44.0,True,42.0,True,1.822138183887816,1.268264916438776,0.5538732674490399,
2019-06-18,50.0,52.349998474121094,49.900001525878906,50.68000030517578,50.68000030517578,3662700,PLAN,,False,,False,,False,,49.0,True,48.0,True,46.0,True,44.0,True,42.0,True,2.00538473429296,1.4156888800096128,0.5896958542833473,
2019-06-19,50.0,51.150001525878906,49.5099983215332,51.060001373291016,51.060001373291016,3753700,PLAN,,False,,False,,False,,50.0,True,48.0,True,46.0,True,44.0,True,43.0,True,2.1564140571746364,1.5638339154426175,0.5925801417320189,
2019-06-20,51.900001525878906,53.0,50.869998931884766,51.349998474121094,51.349998474121094,3405400,PLAN,,False,,False,,False,,50.0,True,49.0,True,47.0,True,44.0,True,43.0,True,2.273301026938178,1.7057273377417297,0.5675736891964482,
2019-06-21,50.93000030517578,51.029998779296875,49.900001525878906,50.86000061035156,50.86000061035156,2908300,PLAN,,False,,False,,False,,50.0,True,49.0,True,47.0,True,45.0,True,43.0,True,2.2998844240654535,1.8245587550064746,0.4753256690589789,81.9108823900028
2019-06-24,50.97999954223633,51.099998474121094,48.709999084472656,50.529998779296875,50.529998779296875,2822000,PLAN,,False,,False,,False,,50.0,True,49.0,True,47.0,True,45.0,True,43.0,True,2.268177430459204,1.9132824900970204,0.3548949403621835,78.23334886225263
2019-06-25,49.97999954223633,50.45000076293945,48.88999938964844,49.529998779296875,49.529998779296875,3074400,PLAN,,False,,False,,False,,50.0,False,49.0,True,48.0,True,45.0,True,43.0,True,2.1377155131841263,1.9581690947144417,0.17954641846968467,68.23575738574267
2019-06-26,49.790000915527344,50.81999969482422,49.029998779296875,49.33000183105469,49.33000183105469,2200700,PLAN,,False,,False,,False,,50.0,False,49.0,True,48.0,True,45.0,True,43.0,True,1.995186157474258,1.965572507266405,0.029613650207853004,66.40794523381226
