Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,31.799999237060547,32.0099983215332,29.454999923706055,29.760000228881836,29.760000228881836,2320300,PS,,False,,False,,False,,30.0,False,30.0,False,30.0,False,30.0,False,30.0,False,0.0,0.0,0.0,
2019-06-04,30.350000381469727,30.7549991607666,29.309999465942383,30.440000534057617,30.440000534057617,2609700,PS,,False,,False,,False,,30.0,True,30.0,True,30.0,True,30.0,True,30.0,True,0.05424503858952079,0.010849007717904159,0.04339603087161663,
2019-06-05,30.760000228881836,30.8700008392334,29.739999771118164,30.049999237060547,30.049999237060547,2548000,PS,,False,,False,,False,,30.0,True,30.0,True,30.0,True,30.0,True,30.0,True,0.06501532104491048,0.021682270383305426,0.04333305066160505,
2019-06-06,30.0,31.09000015258789,29.908000946044922,30.90999984741211,30.90999984741211,1718800,PS,,False,,False,,False,,30.0,True,30.0,True,30.0,True,30.0,True,30.0,True,0.14131669848335804,0.04560915600331595,0.0957075424800421,
2019-06-07,31.0,32.119998931884766,30.59000015258789,31.18000030517578,31.18000030517578,1428700,PS,,False,,False,,False,,31.0,True,30.0,True,30.0,True,30.0,True,30.0,True,0.22102503130108886,0.08069233106287053,0.1403327002382183,
2019-06-10,31.600000381469727,32.59000015258789,30.940000534057617,31.1200008392334,31.1200008392334,2234200,PS,,False,,False,,False,,31.0,True,30.0,True,30.0,True,30.0,True,30.0,True,0.27616949384606215,0.11978776361950887,0.15638173022655327,
2019-06-11,31.540000915527344,31.635000228881836,30.600000381469727,30.969999313354492,30.969999313354492,956100,PS,,False,,False,,False,,31.0,False,31.0,False,30.0,True,30.0,True,30.0,True,0.3042606804553891,0.15668234698668493,0.1475783334687042,
2019-06-12,30.65999984741211,31.0,29.690000534057617,29.780000686645508,29.780000686645508,1571900,PS,,False,,False,,False,,30.0,False,30.0,False,30.0,False,30.0,False,30.0,False,0.22787342133257127,0.1709205618558622,0.056952859476709056,
2019-06-13,29.899999618530273,30.385000228881836,28.6299991607666,30.360000610351562,30.360000610351562,2585000,PS,,False,,False,,False,,30.0,True,30.0,True,30.0,True,30.0,True,30.0,True,0.2116968057190789,0.17907581062850556,0.03262099509057334,
2019-06-14,30.040000915527344,30.43000030517578,29.360000610351562,29.989999771118164,29.989999771118164,1630800,PS,,False,,False,,False,,30.0,False,30.0,False,30.0,False,30.0,False,30.0,False,0.1670945834537747,0.1766795651935594,-0.009584981739784698,
2019-06-17,30.139999389648438,32.444000244140625,30.139999389648438,31.200000762939453,31.200000762939453,2080800,PS,,False,,False,,False,,31.0,True,30.0,True,30.0,True,30.0,True,30.0,True,0.22676990628631444,0.18669763341211043,0.04007227287420401,
2019-06-18,31.510000228881836,32.310001373291016,31.40999984741211,31.93000030517578,31.93000030517578,1578500,PS,,False,,False,,False,,31.0,True,31.0,True,30.0,True,30.0,True,30.0,True,0.32917338587726164,0.21519278390514068,0.11398060197212095,
2019-06-19,32.279998779296875,32.7400016784668,31.920000076293945,32.31999969482422,32.31999969482422,2343400,PS,,False,,False,,False,,31.0,True,31.0,True,31.0,True,30.0,True,30.0,True,0.4367638310457984,0.2595069933332722,0.1772568377125262,
2019-06-20,32.83000183105469,33.150001525878906,32.5,32.709999084472656,32.709999084472656,2585700,PS,,False,,False,,False,,32.0,True,31.0,True,31.0,True,30.0,True,30.0,True,0.5471920361948648,0.31704400190559073,0.23014803428927405,
2019-06-21,32.77000045776367,32.849998474121094,31.8700008392334,31.940000534057617,31.940000534057617,4202000,PS,,False,,False,,False,,32.0,False,31.0,True,31.0,True,30.0,True,30.0,True,0.5660496682734717,0.36684513517916695,0.19920453309430475,62.33666651765826
2019-06-24,31.90999984741211,32.0,30.165000915527344,30.280000686645508,30.280000686645508,1583800,PS,,False,,False,,False,,31.0,False,31.0,False,31.0,False,30.0,True,30.0,True,0.44195181762100333,0.38186647166753424,0.060085345953469094,46.681908582624295
2019-06-25,30.239999771118164,30.764999389648438,29.280000686645508,29.3700008392334,29.3700008392334,2025700,PS,,False,,False,,False,,31.0,False,31.0,False,31.0,False,30.0,False,30.0,False,0.2670950884829679,0.358912195030621,-0.09181710654765307,40.65451536339553
2019-06-26,29.559999465942383,29.8799991607666,28.5,29.06999969482422,29.06999969482422,2581500,PS,,False,,False,,False,,30.0,False,31.0,False,31.0,False,30.0,False,30.0,False,0.10312354172983618,0.30775446437046405,-0.20463092264062788,38.87258542976583
2019-06-27,29.18000030517578,29.950000762939453,29.1200008392334,29.829999923706055,29.829999923706055,3194500,PS,,False,,False,,False,,30.0,False,30.0,False,30.0,False,30.0,False,30.0,False,0.03410740749809804,0.2530250529959909,-0.21891764549789283,45.401460462557694
2019-06-28,29.850000381469727,30.700000762939453,29.584999084472656,30.31999969482422,30.31999969482422,2234500,PS,,False,,False,,False,,30.0,True,30.0,True,30.0,True,30.0,True,30.0,True,0.018734550083820523,0.20616695241355681,-0.1874324023297363,49.17093882191097
2019-07-01,31.010000228881836,31.200000762939453,30.1299991607666,30.979999542236328,30.979999542236328,1623900,PS,,False,,False,,False,,30.0,True,31.0,False,31.0,False,30.0,True,30.0,True,0.05912634990797727,0.1767588319124409,-0.11763248200446363,53.79788770092711
2019-07-02,31.139999389648438,31.510000228881836,30.729999542236328,31.219999313354492,31.219999313354492,840400,PS,,False,,False,,False,,31.0,True,31.0,True,31.0,True,30.0,True,30.0,True,0.10924382325076465,0.16325583018010564,-0.054012006929340994,55.38820571935372
2019-07-03,31.440000534057617,31.670000076293945,30.84000015258789,31.56999969482422,31.56999969482422,1375900,PS,,False,,False,,False,,31.0,True,31.0,True,31.0,True,30.0,True,30.0,True,0.17518496443998544,0.1656416570320816,0.009543307407903823,57.6761712144923
