Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,1335.0,1367.25,1321.199951171875,1360.199951171875,1347.71875,8483610,RELIANCE.NS,,False,,False,,False,,1360.0,True,1360.0,True,1360.0,True,1360.0,True,1360.0,True,0.0,0.0,0.0,
2019-06-04,1357.449951171875,1374.25,1348.0999755859375,1351.6500244140625,1339.247314453125,7059911,RELIANCE.NS,,False,,False,,False,,1357.0,False,1359.0,False,1359.0,False,1360.0,False,1360.0,False,-0.6820454393696309,-0.1364090878739262,-0.5456363514957048,
2019-06-06,1361.9000244140625,1361.9000244140625,1321.0999755859375,1327.3499755859375,1315.170166015625,7664319,RELIANCE.NS,,False,,False,,False,,1347.0,False,1353.0,False,1357.0,False,1359.0,False,1360.0,False,-3.14710436032874,-0.738548142364889,-2.408556217963851,
2019-06-07,1325.949951171875,1327.25,1305.5999755859375,1314.9000244140625,1302.8345947265625,6730595,RELIANCE.NS,,False,,False,,False,,1337.0,False,1346.0,False,1353.0,False,1357.0,False,1359.0,False,-6.03571239062785,-1.7979809920174814,-4.237731398610369,
2019-06-10,1320.9000244140625,1327.0,1310.0999755859375,1319.1500244140625,1307.0455322265625,5380148,RELIANCE.NS,,False,,False,,False,,1331.0,False,1341.0,False,1350.0,False,1355.0,False,1359.0,False,-7.891052444102797,-3.016595282434545,-4.874457161668253,
2019-06-11,1321.8499755859375,1334.5,1318.0,1329.1500244140625,1316.9537353515625,5253790,RELIANCE.NS,,False,,False,,False,,1330.0,False,1339.0,False,1348.0,False,1354.0,False,1359.0,False,-8.45701912481286,-4.104680050910208,-4.352339073902652,
2019-06-12,1334.699951171875,1338.4000244140625,1325.0,1332.1500244140625,1319.92626953125,4707716,RELIANCE.NS,,False,,False,,False,,1331.0,True,1338.0,False,1346.0,False,1353.0,False,1358.0,False,-8.564747787764645,-4.996693598281095,-3.56805418948355,
2019-06-13,1330.0,1334.699951171875,1308.6500244140625,1327.25,1315.0711669921875,7171189,RELIANCE.NS,,False,,False,,False,,1330.0,False,1336.0,False,1345.0,False,1352.0,False,1358.0,False,-8.942431761423904,-5.785841230909657,-3.156590530514247,
2019-06-14,1321.9000244140625,1325.0,1309.4000244140625,1317.550048828125,1305.460205078125,6831331,RELIANCE.NS,,False,,False,,False,,1326.0,False,1332.0,False,1342.0,False,1351.0,False,1358.0,False,-9.910215232999462,-6.610716031327619,-3.2994992016718436,
2019-06-17,1320.0,1320.0,1278.5,1282.300048828125,1270.53369140625,6815554,RELIANCE.NS,,False,,False,,False,,1311.0,False,1323.0,False,1337.0,False,1348.0,False,1357.0,False,-13.367479032860729,-7.962068631634241,-5.405410401226487,
2019-06-18,1278.9000244140625,1287.949951171875,1269.0999755859375,1281.0,1269.2454833984375,7679193,RELIANCE.NS,,False,,False,,False,,1301.0,False,1316.0,False,1332.0,False,1346.0,False,1356.0,False,-16.02753315256996,-9.575161535821385,-6.452371616748573,
2019-06-19,1286.9000244140625,1302.0,1262.5999755859375,1277.3499755859375,1265.6290283203125,6625604,RELIANCE.NS,,False,,False,,False,,1293.0,False,1309.0,False,1327.0,False,1343.0,False,1355.0,False,-18.220141226368924,-11.304157473930893,-6.915983752438031,
2019-06-20,1280.0,1300.0,1278.0,1296.75,1284.85107421875,4914012,RELIANCE.NS,,False,,False,,False,,1294.0,True,1307.0,False,1324.0,False,1341.0,False,1355.0,False,-18.182779322652777,-12.67988184367527,-5.502897478977507,
2019-06-21,1295.949951171875,1296.0,1275.550048828125,1279.5,1267.75927734375,10623098,RELIANCE.NS,,False,,False,,False,,1289.0,False,1302.0,False,1320.0,False,1339.0,False,1354.0,False,-19.322364391562814,-14.00837835325278,-5.313986038310034,
2019-06-24,1272.1500244140625,1276.449951171875,1257.0999755859375,1262.4000244140625,1250.816162109375,5150998,RELIANCE.NS,,False,,False,,False,,1280.0,False,1294.0,False,1315.0,False,1336.0,False,1353.0,False,-21.359104428002183,-15.478523568202661,-5.880580859799522,22.254839779268707
2019-06-25,1258.9000244140625,1298.0,1254.25,1295.8499755859375,1283.959228515625,6842363,RELIANCE.NS,,False,,False,,False,,1286.0,True,1295.0,True,1313.0,False,1334.0,False,1353.0,False,-20.043060153063152,-16.39143088517476,-3.651629267888392,40.826276317765185
2019-06-26,1291.0,1304.5999755859375,1286.3499755859375,1294.1500244140625,1282.27490234375,5299942,RELIANCE.NS,,False,,False,,False,,1288.0,True,1295.0,False,1311.0,False,1333.0,False,1352.0,False,-18.919169032242507,-16.89697851458831,-2.0221905176541988,40.29941475311941
2019-06-27,1293.1500244140625,1296.9000244140625,1271.0,1274.1500244140625,1262.4583740234375,11385972,RELIANCE.NS,,False,,False,,False,,1284.0,False,1291.0,False,1308.0,False,1330.0,False,1351.0,False,-19.418466085363434,-17.401276028743336,-2.017190056620098,34.636175494235246
2019-06-28,1277.0999755859375,1282.8499755859375,1248.6500244140625,1253.0999755859375,1241.6014404296875,8659721,RELIANCE.NS,,False,,False,,False,,1273.0,False,1284.0,False,1303.0,False,1327.0,False,1350.0,False,-21.26756634876574,-18.17453409274782,-3.0930322560179206,29.877196295452165
2019-07-01,1258.050048828125,1272.6500244140625,1246.449951171875,1268.8499755859375,1257.20703125,6162080,RELIANCE.NS,,False,,False,,False,,1272.0,False,1281.0,False,1300.0,False,1325.0,False,1349.0,False,-21.21751594147395,-18.783130462493048,-2.4343854789809,36.86681824083199
2019-07-02,1273.949951171875,1281.0,1263.300048828125,1278.5,1266.7685546875,4638751,RELIANCE.NS,,False,,False,,False,,1274.0,True,1281.0,False,1298.0,False,1323.0,False,1349.0,False,-20.166705088582603,-19.05984538771096,-1.1068597008716416,40.762838373890126
2019-07-03,1282.9000244140625,1286.5,1275.050048828125,1282.550048828125,1270.7813720703125,4026032,RELIANCE.NS,,False,,False,,False,,1277.0,True,1281.0,True,1297.0,False,1322.0,False,1348.0,False,-18.790519413121274,-19.005980192793025,0.21546077967175137,42.37024883368314
2019-07-04,1281.4000244140625,1291.0,1280.0,1284.0,1272.218017578125,4275148,RELIANCE.NS,,False,,False,,False,,1279.0,True,1282.0,True,1295.0,False,1320.0,False,1347.0,False,-17.382508668913715,-18.681285888017165,1.2987772191034495,42.96692288923887
2019-07-05,1285.0999755859375,1290.5,1260.0,1263.3499755859375,1251.7574462890625,4995344,RELIANCE.NS,,False,,False,,False,,1274.0,False,1278.0,False,1292.0,False,1318.0,False,1347.0,False,-17.728570475925153,-18.490742805598764,0.7621723296736107,37.07890424064285
2019-07-08,1258.0,1268.0999755859375,1248.199951171875,1252.050048828125,1240.561279296875,6404544,RELIANCE.NS,,False,,False,,False,,1267.0,False,1274.0,False,1289.0,False,1315.0,False,1346.0,False,-18.699085188868594,-18.53241128225273,-0.16667390661586268,34.308303711468156
2019-07-09,1248.949951171875,1283.5,1245.5,1280.0999755859375,1268.353759765625,8016757,RELIANCE.NS,,False,,False,,False,,1271.0,True,1275.0,True,1288.0,False,1314.0,False,1345.0,False,-17.00876398113428,-18.22768182202904,1.2189178408947612,45.245533983613754
2019-07-10,1280.050048828125,1289.3499755859375,1268.699951171875,1278.8499755859375,1267.115234375,5494315,RELIANCE.NS,,False,,False,,False,,1274.0,True,1275.0,True,1287.0,False,1313.0,False,1344.0,False,-15.590321280132912,-17.700209713649816,2.109888433516904,44.88687704663117
2019-07-11,1287.0,1289.800048828125,1279.300048828125,1281.550048828125,1269.79052734375,3935460,RELIANCE.NS,,False,,False,,False,,1276.0,True,1277.0,True,1287.0,False,1311.0,False,1344.0,False,-14.085947836608284,-16.97735733824151,2.891409501633227,45.884745826335276
2019-07-12,1283.0,1300.0,1278.050048828125,1280.5,1268.7501220703125,7174054,RELIANCE.NS,,False,,False,,False,,1278.0,True,1277.0,True,1286.0,False,1310.0,False,1343.0,False,-12.830548631114652,-16.14799559681614,3.317446965701489,45.53942356491961
2019-07-15,1285.0,1289.5,1270.3499755859375,1276.0999755859375,1264.3905029296875,4873164,RELIANCE.NS,,False,,False,,False,,1277.0,False,1277.0,False,1285.0,False,1309.0,False,1342.0,False,-12.05175577515638,-15.328747632484191,3.276991857327811,44.04363677509271
2019-07-16,1279.949951171875,1294.9000244140625,1277.050048828125,1293.0,1281.135498046875,4604019,RELIANCE.NS,,False,,False,,False,,1282.0,True,1280.0,True,1286.0,True,1308.0,False,1342.0,False,-9.95609839030476,-14.254217784048306,4.298119393743546,50.73666833978558
2019-07-17,1294.300048828125,1297.0,1280.0,1281.8499755859375,1270.087646484375,4334958,RELIANCE.NS,,False,,False,,False,,1282.0,False,1280.0,True,1286.0,False,1307.0,False,1341.0,False,-9.090202405114951,-13.221414708261635,4.131212303146684,46.76251666386264
2019-07-18,1282.0,1286.4000244140625,1258.0,1261.8499755859375,1250.271240234375,5459896,RELIANCE.NS,,False,,False,,False,,1275.0,False,1277.0,False,1283.0,False,1305.0,False,1341.0,False,-9.903643414950466,-12.557860449599403,2.654217034648937,40.61686730975547
2019-07-19,1268.199951171875,1272.949951171875,1242.699951171875,1249.0,1237.5391845703125,7468515,RELIANCE.NS,,False,,False,,False,,1267.0,False,1272.0,False,1280.0,False,1303.0,False,1340.0,False,-11.453161991734532,-12.336920758026428,0.883758766291896,37.23127398997368
2019-07-22,1251.0,1284.5,1227.300048828125,1280.5,1268.7501220703125,13300153,RELIANCE.NS,,False,,False,,False,,1271.0,True,1273.0,True,1280.0,True,1302.0,False,1339.0,False,-10.023831395291836,-11.87430288547951,1.8504714901876742,48.5523315256312
2019-07-23,1285.0,1293.9000244140625,1260.4000244140625,1273.550048828125,1261.864013671875,9287951,RELIANCE.NS,,False,,False,,False,,1272.0,True,1273.0,True,1280.0,False,1301.0,False,1338.0,False,-9.344165848880493,-11.368275478159708,2.0241096292792147,46.557134410699746
2019-07-24,1273.5,1278.800048828125,1253.550048828125,1259.0999755859375,1247.54638671875,6943982,RELIANCE.NS,,False,,False,,False,,1268.0,False,1271.0,False,1278.0,False,1300.0,False,1338.0,False,-9.857890527292739,-11.066198487986314,1.2083079606935758,42.63423500843716
2019-07-25,1264.0,1269.050048828125,1227.0,1231.5,1220.19970703125,9968545,RELIANCE.NS,,False,,False,,False,,1256.0,False,1264.0,False,1274.0,False,1297.0,False,1337.0,False,-12.349748193561481,-11.322908429101348,-1.0268397644601333,36.33646325957332
2019-07-26,1231.5,1242.5,1210.0,1213.800048828125,1202.6622314453125,9320481,RELIANCE.NS,,False,,False,,False,,1242.0,False,1255.0,False,1268.0,False,1294.0,False,1335.0,False,-15.573282376645011,-12.172983218610081,-3.4002991580349295,32.972660754604476
2019-07-29,1216.9000244140625,1222.0,1205.0999755859375,1210.949951171875,1199.8382568359375,8058035,RELIANCE.NS,,False,,False,,False,,1231.0,False,1247.0,False,1263.0,False,1290.0,False,1334.0,False,-18.148728260452117,-13.36813222697849,-4.780596033473627,32.45170869333896
2019-07-30,1213.949951171875,1220.0,1175.949951171875,1180.9000244140625,1170.0640869140625,9533344,RELIANCE.NS,,False,,False,,False,,1215.0,False,1235.0,False,1255.0,False,1286.0,False,1333.0,False,-22.356849782457402,-15.165875738074273,-7.190974044383129,27.515538325566
2019-07-31,1175.75,1185.0,1162.4000244140625,1166.25,1155.5484619140625,9705619,RELIANCE.NS,,False,,False,,False,,1198.0,False,1222.0,False,1247.0,False,1281.0,False,1331.0,False,-26.567695090193865,-17.446239608498193,-9.121455481695673,25.480640853214737
2019-08-01,1163.4000244140625,1188.199951171875,1150.3499755859375,1180.25,1169.4200439453125,10344862,RELIANCE.NS,,False,,False,,False,,1192.0,False,1215.0,False,1241.0,False,1277.0,False,1329.0,False,-28.44721554394505,-19.646434795587567,-8.800780748357482,30.75113740514621
2019-08-02,1175.699951171875,1198.25,1162.0999755859375,1184.3499755859375,1179.9195556640625,10865385,RELIANCE.NS,,False,,False,,False,,1190.0,False,1209.0,False,1236.0,False,1274.0,False,1328.0,False,-29.268525931978047,-21.570853022865663,-7.697672909112384,32.26209440490052
2019-08-05,1167.0,1167.0,1128.0,1143.3499755859375,1139.072998046875,13897461,RELIANCE.NS,,False,,False,,False,,1174.0,False,1197.0,False,1228.0,False,1269.0,False,1326.0,False,-32.84911354730866,-23.826505127754263,-9.022608419554398,26.12362413969889
2019-08-06,1134.75,1149.5999755859375,1122.0,1128.300048828125,1124.079345703125,13288909,RELIANCE.NS,,False,,False,,False,,1159.0,False,1185.0,False,1219.0,False,1263.0,False,1324.0,False,-36.480632320088034,-26.35733056622102,-10.123301753867015,24.29619292357242
2019-08-07,1126.5,1138.550048828125,1103.0999755859375,1109.4000244140625,1105.25,11588879,RELIANCE.NS,,False,,False,,False,,1142.0,False,1171.0,False,1209.0,False,1257.0,False,1322.0,False,-40.41779988939743,-29.169424430856303,-11.248375458541126,22.196283608444205
2019-08-08,1108.3499755859375,1158.0,1095.300048828125,1152.3499755859375,1148.039306640625,14262936,RELIANCE.NS,,False,,False,,False,,1146.0,True,1168.0,False,1204.0,False,1253.0,False,1320.0,False,-39.615666696206745,-31.258672883926394,-8.35699381228035,35.77997420770376
2019-08-09,1161.8499755859375,1175.5,1152.300048828125,1162.0999755859375,1157.7528076171875,10043949,RELIANCE.NS,,False,,False,,False,,1151.0,True,1167.0,False,1200.0,False,1249.0,False,1319.0,False,-37.75797639731127,-32.55853358660337,-5.1994428107079,38.408805352509155
2019-08-13,1233.1500244140625,1302.800048828125,1226.0,1274.75,1269.9814453125,47923444,RELIANCE.NS,1260.79,True,,False,,False,8469520.76,1192.0,True,1186.0,True,1207.0,True,1250.0,True,1318.0,False,-26.885903971729476,-31.424007663628593,4.538103691899117,59.193159826197984
2019-08-14,1304.0,1304.449951171875,1280.3499755859375,1288.25,1283.430908203125,14487137,RELIANCE.NS,1259.35,True,,False,,False,8589591.3,1224.0,True,1205.0,True,1214.0,True,1252.0,True,1318.0,False,-16.984583365114304,-28.53612280392574,11.551539438811435,60.896196785296276
2019-08-16,1291.199951171875,1291.800048828125,1273.0,1278.0,1273.21923828125,10047496,RELIANCE.NS,1257.88,True,,False,,False,8649343.0,1242.0,True,1218.0,True,1220.0,True,1253.0,True,1318.0,False,-9.851245757480228,-24.799147394636638,14.94790163715641,58.88671884694374
2019-08-19,1281.050048828125,1296.800048828125,1280.0,1292.5999755859375,1287.7646484375,7459859,RELIANCE.NS,1257.18,True,,False,,False,8645253.8,1259.0,True,1232.0,True,1226.0,True,1254.0,True,1317.0,False,-2.98551316051271,-20.436420547811853,17.450907387299143,60.8675309044745
2019-08-20,1289.800048828125,1292.5999755859375,1272.5999755859375,1275.949951171875,1271.1768798828125,6843460,RELIANCE.NS,1256.4,True,,False,,False,8647511.1,1265.0,True,1240.0,True,1231.0,True,1255.0,True,1317.0,False,1.0994379312658111,-16.129248851996323,17.228686783262134,57.46714517963343
2019-08-21,1275.6500244140625,1278.6500244140625,1266.5,1270.949951171875,1266.195556640625,4881553,RELIANCE.NS,1255.44,True,,False,,False,8637539.2,1267.0,True,1245.0,True,1235.0,True,1256.0,True,1316.0,False,3.888508582303075,-12.125697365136443,16.014205947439518,56.44732020936327
2019-08-22,1270.949951171875,1271.0,1238.9000244140625,1246.75,1242.086181640625,6414937,RELIANCE.NS,1253.79,False,,False,,False,8660762.14,1260.0,False,1246.0,True,1236.0,True,1256.0,False,1316.0,False,4.098883972313388,-8.880781097646476,12.979665069959864,51.66809358515442
2019-08-23,1239.0,1284.0,1226.5,1275.8499755859375,1271.0772705078125,9741262,RELIANCE.NS,1252.66,True,,False,,False,8761433.06,1265.0,True,1251.0,True,1239.0,True,1256.0,True,1315.0,False,6.538362641173308,-5.79695234988252,12.335314991055828,56.4436957137895
2019-08-26,1294.0,1294.0,1259.0,1266.800048828125,1262.061279296875,8778739,RELIANCE.NS,1251.46,True,,False,,False,8793584.06,1266.0,True,1254.0,True,1242.0,True,1257.0,True,1315.0,False,7.65319236810501,-3.106923406285014,10.760115774390025,54.63565789099278
2019-08-27,1285.0,1285.0,1261.199951171875,1274.8499755859375,1270.0810546875,12984396,RELIANCE.NS,1250.6,True,,False,,False,8916645.36,1269.0,True,1258.0,True,1245.0,True,1257.0,True,1315.0,False,9.081577993895507,-0.6692231262489099,9.750801120144418,55.98621313453108
2019-08-28,1273.75,1281.0,1256.050048828125,1263.300048828125,1258.5743408203125,5305639,RELIANCE.NS,1250.22,True,,False,,False,8886447.06,1267.0,False,1259.0,True,1247.0,True,1258.0,True,1314.0,False,9.175828096169425,1.2997871182347573,7.876040977934668,53.52403989495342
2019-08-29,1256.449951171875,1260.25,1235.300048828125,1241.75,1237.1048583984375,8635974,RELIANCE.NS,1249.44,False,,False,,False,8905582.68,1259.0,False,1256.0,False,1246.0,False,1257.0,False,1313.0,False,7.426010713129699,2.5250318372137457,4.900978875915953,49.17829072969441
2019-08-30,1245.5,1254.4000244140625,1221.0,1248.550048828125,1243.8795166015625,11308120,RELIANCE.NS,1248.86,False,,False,,False,8999233.0,1255.0,False,1254.0,False,1246.0,True,1257.0,False,1313.0,False,6.512898302870781,3.3226051303451527,3.190293172525628,50.54285277562447
2019-09-03,1242.25,1243.0,1200.0,1206.4000244140625,1201.8870849609375,8563009,RELIANCE.NS,1247.05,False,,False,,False,9072212.94,1239.0,False,1246.0,False,1243.0,False,1255.0,False,1312.0,False,2.3608806686074786,3.1302602379976183,-0.7693795693901397,42.86083766023799
2019-09-04,1200.550048828125,1205.25,1186.050048828125,1201.1500244140625,1196.65673828125,15063355,RELIANCE.NS,1245.49,False,,False,,False,9161018.08,1226.0,False,1238.0,False,1239.0,False,1253.0,False,1310.0,False,-1.3378326422096052,2.236641661956174,-3.574474304165779,42.00447615760312
2019-09-05,1206.800048828125,1213.199951171875,1193.300048828125,1198.5999755859375,1194.1162109375,10512763,RELIANCE.NS,1244.21,False,,False,,False,9268253.38,1217.0,False,1230.0,False,1235.0,False,1251.0,False,1309.0,False,-4.423861693757772,0.9045409908133849,-5.328402684571157,41.570015412325574
2019-09-06,1203.0,1229.0,1195.25,1222.5,1217.9268798828125,10600234,RELIANCE.NS,1242.74,False,,False,,False,9343410.8,1219.0,True,1229.0,False,1234.0,False,1249.0,False,1309.0,False,-4.8847216903589015,-0.25331154542107237,-4.6314101449378295,47.093331718463695
2019-09-09,1220.6500244140625,1233.0,1213.1500244140625,1222.199951171875,1217.6279296875,5370758,RELIANCE.NS,1241.3,False,,False,,False,9344827.12,1220.0,True,1228.0,False,1233.0,False,1248.0,False,1308.0,False,-5.21406351227165,-1.245461938791188,-3.9686015734804623,47.03322166078548
