Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,43.04999923706055,43.209999084472656,38.029998779296875,38.72999954223633,38.72999954223633,3089400,SMAR,,False,,False,,False,,39.0,False,39.0,False,39.0,False,39.0,False,39.0,False,0.0,0.0,0.0,
2019-06-04,39.279998779296875,39.439998626708984,37.66999816894531,38.81999969482422,38.81999969482422,2812300,SMAR,,False,,False,,False,,39.0,False,39.0,False,39.0,False,39.0,False,39.0,False,0.007179499351742891,0.0014358998703485782,0.005743599481394313,
2019-06-05,39.369998931884766,40.90999984741211,39.04999923706055,40.7599983215332,40.7599983215332,2324300,SMAR,,False,,False,,False,,39.0,True,39.0,True,39.0,True,39.0,True,39.0,True,0.16748037078243527,0.034644794052765916,0.13283557672966936,
2019-06-06,39.54999923706055,45.040000915527344,39.13999938964844,44.93000030517578,44.93000030517578,4827300,SMAR,,False,,False,,False,,41.0,True,40.0,True,39.0,True,39.0,True,39.0,True,0.6238133442932678,0.1524785041008663,0.47133484019240157,
2019-06-07,44.93000030517578,46.58000183105469,44.709999084472656,45.5,45.5,2745800,SMAR,,False,,False,,False,,43.0,True,41.0,True,40.0,True,39.0,True,39.0,True,1.0197002553855228,0.3259228543577976,0.6937774010277251,
2019-06-10,44.20000076293945,46.060001373291016,43.790000915527344,44.310001373291016,44.310001373291016,3055500,SMAR,,False,,False,,False,,43.0,True,42.0,True,40.0,True,40.0,True,39.0,True,1.2233188821119612,0.5054020599086304,0.7179168222033308,
2019-06-11,44.45000076293945,45.439998626708984,42.099998474121094,43.58000183105469,43.58000183105469,2640600,SMAR,,False,,False,,False,,43.0,True,42.0,True,41.0,True,40.0,True,39.0,True,1.3106746075783633,0.666456569442577,0.6442180381357863,
2019-06-12,43.5,45.88999938964844,42.81999969482422,45.599998474121094,45.599998474121094,11942300,SMAR,,False,,False,,False,,44.0,True,43.0,True,41.0,True,40.0,True,39.0,True,1.5253185736148538,0.8382289702770325,0.6870896033378213,
2019-06-13,45.900001525878906,46.75,45.22999954223633,45.63999938964844,45.63999938964844,3225700,SMAR,,False,,False,,False,,45.0,True,43.0,True,42.0,True,40.0,True,39.0,True,1.6792953314505752,1.0064422425117412,0.672853088938834,
2019-06-14,45.7599983215332,46.599998474121094,44.630001068115234,45.88999938964844,45.88999938964844,2159600,SMAR,,False,,False,,False,,45.0,True,44.0,True,42.0,True,40.0,True,39.0,True,1.8007381436415173,1.1653014227376965,0.6354367209038208,
2019-06-17,46.119998931884766,48.7400016784668,45.93000030517578,48.36000061035156,48.36000061035156,3483200,SMAR,,False,,False,,False,,46.0,True,45.0,True,43.0,True,41.0,True,39.0,True,2.0724015480792133,1.346721447806,0.7256801002732134,
2019-06-18,48.9900016784668,50.41999816894531,48.59000015258789,48.869998931884766,48.869998931884766,3470800,SMAR,,False,,False,,False,,47.0,True,45.0,True,43.0,True,41.0,True,39.0,True,2.302309761842686,1.5378391106133371,0.7644706512293489,
2019-06-19,48.95000076293945,49.2599983215332,47.54999923706055,48.599998474121094,48.599998474121094,1444800,SMAR,,False,,False,,False,,48.0,True,46.0,True,44.0,True,41.0,True,39.0,True,2.434661633410208,1.7172036151727113,0.7174580182374968,
