Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-05-31,98.58999633789062,99.91999816894531,97.93000030517578,98.2300033569336,96.10807037353516,13959200,SMH,,False,,False,,False,,98.0,True,98.0,True,98.0,True,98.0,True,98.0,True,0.0,0.0,0.0,
2019-06-03,99.30999755859375,100.06999969482422,97.6500015258789,98.12000274658203,96.00043487548828,6731700,SMH,,False,,False,,False,,98.0,True,98.0,True,98.0,True,98.0,True,98.0,True,-0.0087749774639434,-0.0017549954927886802,-0.007019981971154721,
2019-06-04,99.68000030517578,102.19000244140625,99.05999755859375,102.13999938964844,99.93360137939453,6961200,SMH,,False,,False,,False,,100.0,True,99.0,True,99.0,True,98.0,True,98.0,True,0.30513353282985634,0.059622710171740326,0.24551082265811602,
2019-06-05,103.02999877929688,103.27999877929688,100.23999786376953,101.36000061035156,99.17044830322266,10559500,SMH,,False,,False,,False,,100.0,True,99.0,True,99.0,True,98.0,True,98.0,True,0.48537381881040176,0.1447729318994726,0.34060088691092916,
2019-06-06,101.52999877929688,103.11000061035156,101.16000366210938,102.76000213623047,100.54020690917969,5021100,SMH,,False,,False,,False,,101.0,True,100.0,True,99.0,True,99.0,True,98.0,True,0.7327374259158574,0.26236583070274955,0.4703715952131079,
2019-06-07,103.33000183105469,104.36000061035156,102.97000122070312,104.08999633789062,101.84146881103516,5674100,SMH,,False,,False,,False,,102.0,True,101.0,True,100.0,True,99.0,True,98.0,True,1.024286941291436,0.4147500528204868,0.6095368884709491,
2019-06-10,105.38999938964844,107.8499984741211,105.19999694824219,106.69000244140625,104.38531494140625,8609200,SMH,,False,,False,,False,,104.0,True,102.0,True,100.0,True,99.0,True,98.0,True,1.4484440349140897,0.6214888492392074,0.8269551856748822,
2019-06-11,108.36000061035156,108.80000305175781,106.41999816894531,107.08000183105469,104.76688385009766,8103500,SMH,,False,,False,,False,,105.0,True,103.0,True,101.0,True,99.0,True,99.0,True,1.7953654238506402,0.8562641641614941,0.9391012596891462,
2019-06-12,106.05999755859375,106.23999786376953,104.66000366210938,104.76000213623047,102.49700927734375,4029600,SMH,,False,,False,,False,,105.0,False,103.0,True,101.0,True,100.0,True,99.0,True,1.861638725295279,1.057339076388251,0.804299648907028,
2019-06-13,105.45999908447266,105.70999908447266,104.58000183105469,105.27999877929688,103.00576782226562,3578600,SMH,,False,,False,,False,,105.0,True,104.0,True,102.0,True,100.0,True,99.0,True,1.9338282096313435,1.2326369030368696,0.7011913065944739,
2019-06-14,102.58999633789062,103.05000305175781,101.9800033569336,102.66000366210938,100.44236755371094,5933400,SMH,,False,,False,,False,,104.0,False,103.0,False,102.0,True,100.0,True,99.0,True,1.759346534624612,1.3379788293544181,0.42136770527019385,
2019-06-17,102.61000061035156,102.93000030517578,101.77999877929688,102.02999877929688,99.82597351074219,6177100,SMH,,False,,False,,False,,103.0,False,103.0,False,102.0,True,100.0,True,99.0,True,1.5523380346699156,1.3808506704175176,0.17148736425239797,
2019-06-18,102.93000030517578,106.91000366210938,102.93000030517578,106.18000030517578,103.88632202148438,13863400,SMH,,False,,False,,False,,104.0,True,104.0,True,102.0,True,100.0,True,99.0,True,1.7035156788248713,1.4453836720989885,0.25813200672588277,
2019-06-19,106.75,107.23999786376953,105.94000244140625,106.43000030517578,104.13092803955078,4718100,SMH,,False,,False,,False,,105.0,True,104.0,True,103.0,True,101.0,True,99.0,True,1.8224894378770529,1.5208048252546014,0.3016846126224515,
2019-06-20,108.7699966430664,109.19999694824219,107.0999984741211,107.66000366210938,105.33436584472656,5575600,SMH,,False,,False,,False,,106.0,True,105.0,True,103.0,True,101.0,True,99.0,True,1.9930533124695842,1.6152545226975978,0.37779878977198633,69.94784852362135
2019-06-21,107.12999725341797,108.01000213623047,106.83999633789062,107.1500015258789,104.83537292480469,5239200,SMH,,False,,False,,False,,106.0,True,105.0,True,103.0,True,101.0,True,99.0,True,2.0632891883915647,1.7048614558363913,0.35842773255517346,67.37750923625472
2019-06-24,107.41000366210938,107.79000091552734,106.94999694824219,107.3499984741211,105.03105163574219,6124400,SMH,,False,,False,,False,,107.0,True,106.0,True,104.0,True,101.0,True,99.0,True,2.1107582017128124,1.7860408050116756,0.32471739670113675,67.87602786417352
2019-06-25,107.31999969482422,107.68000030517578,105.41999816894531,105.48999786376953,103.21122741699219,6157200,SMH,,False,,False,,False,,106.0,False,106.0,False,104.0,True,102.0,True,99.0,True,1.9755186825294828,1.8239363805152373,0.1515823020142455,58.866412603174886
2019-06-26,107.80000305175781,109.33999633789062,107.79000091552734,108.61000061035156,106.26383209228516,7319800,SMH,,False,,False,,False,,107.0,True,106.0,True,104.0,True,102.0,True,99.0,True,2.09593786885074,1.878336678182338,0.2176011906684019,66.82191653445852
2019-06-27,109.33000183105469,110.61000061035156,109.33000183105469,110.06999969482422,107.69229888916016,5222500,SMH,,False,,False,,False,,108.0,True,107.0,True,105.0,True,102.0,True,99.0,True,2.282865216794278,1.959242385904726,0.3236228308895517,69.76846504839212
2019-06-28,111.5,111.58999633789062,110.11000061035156,110.18000030517578,107.79991912841797,5927400,SMH,,False,,False,,False,,109.0,True,107.0,True,105.0,True,102.0,True,100.0,True,2.412077686615177,2.049809446046816,0.36226824056836104,69.98475254977215
2019-07-01,115.0999984741211,115.95999908447266,112.54000091552734,113.29000091552734,110.84274291992188,9108500,SMH,,False,,False,,False,,110.0,True,109.0,True,106.0,True,103.0,True,100.0,True,2.7339156796183914,2.186630692761131,0.5472849868572602,75.35353621649685
2019-07-02,112.9800033569336,112.98999786376953,111.45999908447266,111.95999908447266,109.54146575927734,4250300,SMH,,False,,False,,False,,111.0,True,109.0,True,107.0,True,103.0,True,100.0,True,2.8488152069343045,2.319067595595766,0.5297476113385384,69.61851315922598
2019-07-03,111.81999969482422,111.93000030517578,110.80000305175781,111.55000305175781,109.14032745361328,2011100,SMH,,False,,False,,False,,111.0,True,110.0,True,107.0,True,104.0,True,100.0,True,2.873664837327823,2.4299870439421776,0.4436777933856453,67.90285151676608
2019-07-05,110.25,110.97000122070312,109.5999984741211,110.7300033569336,108.3380355834961,3988400,SMH,,False,,False,,False,,111.0,False,110.0,True,107.0,True,104.0,True,100.0,True,2.794972522666356,2.5029841396870136,0.2919883829793424,64.4802799953491
2019-07-08,109.68000030517578,110.2300033569336,109.22000122070312,110.01000213623047,107.63359069824219,3857700,SMH,,False,,False,,False,,111.0,False,110.0,True,108.0,True,104.0,True,100.0,True,2.644031466249672,2.5311936049995456,0.11283786125012618,61.546857432409475
2019-07-09,109.2699966430664,110.94000244140625,109.08999633789062,110.77999877929688,108.38695526123047,4009900,SMH,,False,,False,,False,,111.0,False,110.0,True,108.0,True,104.0,True,100.0,True,2.5570656247290913,2.536368008945455,0.02069761578363627,63.46129474440787
2019-07-10,111.97000122070312,113.37000274658203,111.68000030517578,111.87999725341797,109.46319580078125,4611300,SMH,,False,,False,,False,,111.0,True,110.0,True,108.0,True,105.0,True,100.0,True,2.5475388109350945,2.538602169343383,0.008936641591711592,66.06084529814953
2019-07-11,112.51000213623047,112.61000061035156,111.61000061035156,112.19000244140625,109.7665023803711,3842200,SMH,,False,,False,,False,,111.0,True,111.0,True,109.0,True,105.0,True,100.0,True,2.5357727602985847,2.5380362875344233,-0.0022635272358386693,66.77819334864122
2019-07-12,112.62000274658203,114.30999755859375,112.62000274658203,114.25,111.78199768066406,3549800,SMH,,False,,False,,False,,112.0,True,111.0,True,109.0,True,105.0,True,101.0,True,2.6619869388581066,2.5628264177991604,0.09916052105894613,71.14297814987378
2019-07-15,114.91000366210938,115.58999633789062,114.51000213623047,115.16999816894531,112.68212127685547,2645800,SMH,,False,,False,,False,,113.0,True,112.0,True,110.0,True,106.0,True,101.0,True,2.8039268251227867,2.6110464992638858,0.19288032585890091,72.85806210159195
2019-07-16,114.55000305175781,114.62000274658203,113.4800033569336,113.9800033569336,111.51783752441406,3706500,SMH,,False,,False,,False,,114.0,False,112.0,True,110.0,True,106.0,True,101.0,True,2.7882513455956257,2.6464874685302338,0.14176387706539195,67.28735742053631
2019-07-17,114.77999877929688,115.04000091552734,114.05000305175781,114.38999938964844,111.91897583007812,2689500,SMH,,False,,False,,False,,114.0,True,113.0,True,110.0,True,106.0,True,101.0,True,2.776901279110348,2.6725702306462567,0.10433104846409114,68.18979719424082
2019-07-18,114.6500015258789,116.7300033569336,114.61000061035156,116.44999694824219,113.93447875976562,5223200,SMH,,False,,False,,False,,115.0,True,113.0,True,111.0,True,107.0,True,101.0,True,2.9006934678303793,2.7181948780830814,0.18249858974729793,72.32139908860722
2019-07-19,116.87999725341797,117.5199966430664,116.38999938964844,116.45999908447266,113.94425964355469,4386600,SMH,,False,,False,,False,,115.0,True,114.0,True,112.0,True,107.0,True,101.0,True,2.9654232052695164,2.767640543520369,0.1977826617491476,72.3401841257367
2019-07-22,117.25,118.97000122070312,117.20999908447266,118.79000091552734,116.22393035888672,5037400,SMH,,False,,False,,False,,116.0,True,115.0,True,112.0,True,108.0,True,101.0,True,3.168212482318566,2.8477549312800083,0.32045755103855766,76.36441160757552
2019-07-23,119.5999984741211,120.12000274658203,118.83000183105469,120.11000061035156,117.51541900634766,4144300,SMH,,False,,False,,False,,118.0,True,116.0,True,113.0,True,108.0,True,102.0,True,3.3962871054362154,2.9574613661112497,0.4388257393249657,78.29135194250361
