Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,61.95000076293945,62.54399871826172,59.891998291015625,60.619998931884766,60.619998931884766,9309700,SQ,,False,,False,,False,,61.0,False,61.0,False,61.0,False,61.0,False,61.0,False,0.0,0.0,0.0,
2019-06-04,61.54999923706055,63.45000076293945,60.72999954223633,63.38999938964844,63.38999938964844,8234400,SQ,,False,,False,,False,,62.0,True,61.0,True,61.0,True,61.0,True,61.0,True,0.22096869748541792,0.044193739497083585,0.17677495798833434,
2019-06-05,63.45000076293945,65.63999938964844,63.43000030517578,64.93000030517578,64.93000030517578,9330700,SQ,,False,,False,,False,,63.0,True,62.0,True,61.0,True,61.0,True,61.0,True,0.5144232349592528,0.13823963858951743,0.37618359636973536,
2019-06-06,64.87999725341797,65.87000274658203,64.19999694824219,65.7699966430664,65.7699966430664,6021800,SQ,,False,,False,,False,,64.0,True,63.0,True,62.0,True,61.0,True,61.0,True,0.8054836404475836,0.2716884389611307,0.5337952014864529,
2019-06-07,66.4800033569336,69.06999969482422,66.16000366210938,68.45999908447266,68.45999908447266,9995100,SQ,,False,,False,,False,,65.0,True,64.0,True,62.0,True,61.0,True,61.0,True,1.2389302082734375,0.4651367928235921,0.7737934154498454,
2019-06-10,69.56999969482422,71.69999694824219,69.12000274658203,70.37000274658203,70.37000274658203,10668200,SQ,,False,,False,,False,,67.0,True,65.0,True,63.0,True,62.0,True,61.0,True,1.7167711993220962,0.7154636741232929,1.0013075251988033,
2019-06-11,71.19999694824219,71.87999725341797,69.11000061035156,70.18000030517578,70.18000030517578,7130700,SQ,,False,,False,,False,,68.0,True,66.0,True,64.0,True,62.0,True,61.0,True,2.0564268100962266,0.9836563013178797,1.0727705087783468,
2019-06-12,70.0,70.91999816894531,69.52999877929688,70.45999908447266,70.45999908447266,6612100,SQ,,False,,False,,False,,69.0,True,67.0,True,64.0,True,62.0,True,61.0,True,2.321439777454671,1.251212996545238,1.070226780909433,
2019-06-13,70.76000213623047,72.75,70.52999877929688,72.18000030517578,72.18000030517578,8201400,SQ,,False,,False,,False,,70.0,True,68.0,True,65.0,True,63.0,True,61.0,True,2.6398239401140557,1.5289351852590016,1.1108887548550541,
2019-06-14,71.80999755859375,72.08000183105469,70.91999816894531,71.58999633789062,71.58999633789062,5344700,SQ,,False,,False,,False,,71.0,True,68.0,True,66.0,True,63.0,True,61.0,True,2.8121209141507677,1.785572331037355,1.0265485831134127,
2019-06-17,72.0,72.93000030517578,71.80000305175781,72.20999908447266,72.20999908447266,5353100,SQ,,False,,False,,False,,71.0,True,69.0,True,66.0,True,63.0,True,61.0,True,2.964523367449317,2.0213625383197473,0.9431608291295697,
2019-06-18,72.9000015258789,73.50499725341797,71.5999984741211,71.81999969482422,71.81999969482422,7651600,SQ,,False,,False,,False,,71.0,True,70.0,True,67.0,True,64.0,True,62.0,True,3.0190321944497356,2.220896469545745,0.7981357249039904,
2019-06-19,71.7699966430664,72.77999877929688,71.2699966430664,72.66000366210938,72.66000366210938,6079100,SQ,,False,,False,,False,,72.0,True,70.0,True,67.0,True,64.0,True,62.0,True,3.094342478584494,2.395585671353495,0.6987568072309989,
2019-06-20,73.76000213623047,74.55000305175781,73.30999755859375,74.41999816894531,74.41999816894531,8796800,SQ,,False,,False,,False,,73.0,True,71.0,True,68.0,True,65.0,True,62.0,True,3.2584815224993804,2.5681648415826723,0.6903166809167081,
2019-06-21,74.08000183105469,74.26000213623047,72.29000091552734,72.87000274658203,72.87000274658203,8396700,SQ,,False,,False,,False,,73.0,False,71.0,True,68.0,True,65.0,True,62.0,True,3.2263004374863584,2.6997919607634095,0.5265084767229489,77.98734574259962
2019-06-24,72.9800033569336,73.67900085449219,72.5199966430664,72.70999908447266,72.70999908447266,4468000,SQ,,False,,False,,False,,73.0,False,72.0,True,69.0,True,65.0,True,62.0,True,3.1515565552425073,2.790144879659229,0.36141167558327814,76.7612050024856
2019-06-25,72.93000030517578,73.16999816894531,69.26000213623047,69.87000274658203,69.87000274658203,12032700,SQ,,False,,False,,False,,72.0,False,71.0,False,69.0,True,65.0,True,62.0,True,2.8305289447041417,2.798221692668212,0.03230725203592977,59.02298951642226
2019-06-26,70.9800033569336,72.0,69.91000366210938,69.94999694824219,69.94999694824219,7911800,SQ,,False,,False,,False,,71.0,False,71.0,False,69.0,True,66.0,True,62.0,True,2.553136149745768,2.7492045840837234,-0.1960684343379553,59.308222807194795
2019-06-27,70.56999969482422,71.54000091552734,70.05000305175781,71.27999877929688,71.27999877929688,5163800,SQ,,False,,False,,False,,71.0,True,71.0,True,69.0,True,66.0,True,62.0,True,2.412807055891065,2.6819250784451922,-0.2691180225541272,63.817776916482636
2019-06-28,72.43000030517578,73.14800262451172,71.56999969482422,72.52999877929688,72.52999877929688,9465000,SQ,,False,,False,,False,,72.0,True,71.0,True,69.0,True,66.0,True,62.0,True,2.3750813321485964,2.6205563291858733,-0.24547499703727693,67.46694788293782
2019-07-01,73.9000015258789,74.19999694824219,72.69999694824219,73.19999694824219,73.19999694824219,8068300,SQ,,False,,False,,False,,72.0,True,72.0,True,70.0,True,66.0,True,62.0,True,2.371904834634904,2.5708260302756796,-0.19892119564077548,69.25671888103886
2019-07-02,72.9800033569336,73.97000122070312,72.6500015258789,73.97000122070312,73.97000122070312,5894900,SQ,,False,,False,,False,,73.0,True,72.0,True,70.0,True,67.0,True,63.0,True,2.4038107134785065,2.537422966916245,-0.13361225343773864,71.21655447073036
2019-07-03,74.0,74.31999969482422,73.3499984741211,74.26000213623047,74.26000213623047,2904600,SQ,,False,,False,,False,,73.0,True,72.0,True,71.0,True,67.0,True,63.0,True,2.4245483187857246,2.514848037290141,-0.09029971850441632,71.94201993614898
2019-07-05,73.75,74.36000061035156,73.19999694824219,74.30999755859375,74.30999755859375,3523500,SQ,,False,,False,,False,,74.0,True,73.0,True,71.0,True,67.0,True,63.0,True,2.4171537889011603,2.495309187612345,-0.07815539871118471,72.07270273499313
2019-07-08,73.80000305175781,74.0,73.05999755859375,73.43000030517578,73.43000030517578,4288000,SQ,,False,,False,,False,,74.0,False,73.0,True,71.0,True,67.0,True,63.0,True,2.3136152305833235,2.458970396206541,-0.14535516562321726,66.22581079676993
2019-07-09,74.02999877929688,78.38999938964844,73.95999908447266,77.95999908447266,77.95999908447266,21399700,SQ,,False,,False,,False,,75.0,True,74.0,True,72.0,True,68.0,True,63.0,True,2.5674967159410755,2.480675660153448,0.08682105578762744,76.70318177723533
2019-07-10,77.91000366210938,78.69999694824219,77.4000015258789,78.37000274658203,78.37000274658203,10342800,SQ,,False,,False,,False,,76.0,True,75.0,True,72.0,True,68.0,True,63.0,True,2.7698543345982927,2.538511395042417,0.23134293955587548,77.38693770273548
2019-07-11,78.44999694824219,79.95999908447266,78.43000030517578,79.44000244140625,79.44000244140625,7916400,SQ,,False,,False,,False,,77.0,True,76.0,True,73.0,True,69.0,True,63.0,True,2.982187437867296,2.627246603607393,0.35494083425990297,79.11008266521279
2019-07-12,80.05000305175781,82.66000366210938,79.7300033569336,82.27999877929688,82.27999877929688,13586300,SQ,,False,,False,,False,,79.0,True,77.0,True,74.0,True,69.0,True,64.0,True,3.341112654700467,2.770019813826008,0.5710928408744591,82.84634891705144
2019-07-15,82.4800033569336,82.51000213623047,81.19999694824219,82.16999816894531,82.16999816894531,6428500,SQ,,False,,False,,False,,80.0,True,78.0,True,75.0,True,70.0,True,64.0,True,3.57547153481579,2.9311101580239645,0.6443613767918257,82.2328575216646
2019-07-16,81.80000305175781,81.80000305175781,80.30999755859375,80.58999633789062,80.58999633789062,5772000,SQ,,False,,False,,False,,80.0,True,78.0,True,75.0,True,70.0,True,64.0,True,3.5922998955648353,3.063348105532139,0.5289517900326963,73.78144260793133
2019-07-17,80.20999908447266,82.16999816894531,80.19000244140625,80.87000274658203,80.87000274658203,6264000,SQ,,False,,False,,False,,80.0,True,79.0,True,76.0,True,71.0,True,64.0,True,3.5868833117103804,3.1680551467677875,0.4188281649425929,74.28581564213637
2019-07-18,80.87000274658203,82.13999938964844,80.22000122070312,81.05999755859375,81.05999755859375,6834600,SQ,,False,,False,,False,,81.0,True,79.0,True,76.0,True,71.0,True,64.0,True,3.556919667634915,3.245828050941213,0.3110916166937021,74.64227644787172
2019-07-19,81.61000061035156,81.69999694824219,78.41999816894531,78.51000213623047,78.51000213623047,6877500,SQ,,False,,False,,False,,80.0,False,79.0,False,76.0,True,71.0,True,64.0,True,3.289490742798833,3.254560589312737,0.03493015348609596,62.18299470451933
2019-07-22,79.12999725341797,79.62999725341797,78.37999725341797,78.56999969482422,78.56999969482422,4001900,SQ,,False,,False,,False,,79.0,False,79.0,False,77.0,True,72.0,True,65.0,True,3.0472657124270626,3.2131016139356023,-0.16583590150853977,62.342267337547504
2019-07-23,79.0,79.37000274658203,77.86100006103516,78.83999633789062,78.83999633789062,3624800,SQ,,False,,False,,False,,79.0,False,79.0,False,77.0,True,72.0,True,65.0,True,2.8442997859424963,3.1393412483369816,-0.29504146239448525,63.09552324576502
2019-07-24,78.66999816894531,80.5,78.43000030517578,80.43000030517578,80.43000030517578,4751000,SQ,,False,,False,,False,,80.0,True,79.0,True,77.0,True,72.0,True,65.0,True,2.7797051482130257,3.0674140283121907,-0.28770888009916495,67.25006686651165
2019-07-25,80.1500015258789,81.08999633789062,79.12999725341797,80.0199966430664,80.0199966430664,6000400,SQ,,False,,False,,False,,80.0,True,79.0,True,77.0,True,73.0,True,65.0,True,2.664712417422365,2.986873706134226,-0.322161288711861,65.21141938299355
2019-07-26,80.62999725341797,82.31999969482422,80.62999725341797,81.80999755859375,81.80999755859375,5668200,SQ,,False,,False,,False,,80.0,True,80.0,True,78.0,True,73.0,True,65.0,True,2.687043400321656,2.926907644971712,-0.23986424465005607,69.5512176797034
2019-07-29,81.87999725341797,82.0,79.05999755859375,80.19999694824219,80.19999694824219,7211400,SQ,,False,,False,,False,,80.0,True,80.0,True,78.0,True,73.0,True,65.0,True,2.5454845103107573,2.850623018039521,-0.30513850772876383,62.053076332111196
2019-07-30,80.2300033569336,81.19000244140625,79.37999725341797,80.48999786376953,80.48999786376953,5369300,SQ,,False,,False,,False,,80.0,True,80.0,True,78.0,True,73.0,True,65.0,True,2.4287021537310665,2.7662388451778304,-0.3375366914467639,62.83038754023807
2019-07-31,81.16999816894531,81.94999694824219,79.01000213623047,80.41000366210938,80.41000366210938,7406900,SQ,,False,,False,,False,,80.0,True,80.0,True,78.0,True,74.0,True,66.0,True,2.3031471841560602,2.6736205129734762,-0.370473328817416,62.45037560766833
2019-08-01,81.0999984741211,83.19999694824219,80.0,80.9800033569336,80.9800033569336,16099700,SQ,,False,,False,,False,,81.0,False,80.0,True,79.0,True,74.0,True,66.0,True,2.2240012755672325,2.5836966654922278,-0.3596953899249953,64.11582433671029
2019-08-02,70.80000305175781,70.80999755859375,67.25,69.5999984741211,69.5999984741211,43722000,SQ,,False,,False,,False,,77.0,False,78.0,False,78.0,False,74.0,False,66.0,True,1.2288409716272355,2.3127255267192295,-1.083884555091994,32.81888009573986
2019-08-05,66.19999694824219,66.5,63.685001373291016,64.8499984741211,64.8499984741211,21651500,SQ,,False,,False,,False,,73.0,False,76.0,False,77.0,False,73.0,False,66.0,False,0.05623570817989787,1.8614275630113633,-1.8051918548314654,26.913557156335116
2019-08-06,66.8499984741211,67.4000015258789,63.150001525878906,64.5999984741211,64.5999984741211,14970800,SQ,,False,,False,,False,,70.0,False,74.0,False,76.0,False,73.0,False,66.0,False,-0.8830560020216183,1.312530850004767,-2.195586852026385,26.641841156500277
2019-08-07,63.18000030517578,65.26000213623047,62.849998474121094,65.0,65.0,9246500,SQ,,False,,False,,False,,68.0,False,72.0,False,75.0,False,73.0,False,66.0,False,-1.5769960406903465,0.7346254718657442,-2.3116215125560906,27.896162499895354
2019-08-08,66.06999969482422,66.56999969482422,64.93000030517578,66.2699966430664,66.2699966430664,9461900,SQ,,False,,False,,False,,68.0,False,71.0,False,74.0,False,73.0,False,66.0,True,-2.0013995177994133,0.18742047393271272,-2.188819991732126,31.878778417005563
2019-08-09,65.97000122070312,66.12000274658203,64.31999969482422,65.01000213623047,65.01000213623047,7216900,SQ,,False,,False,,False,,67.0,False,70.0,False,73.0,False,72.0,False,66.0,False,-2.4116137751361606,-0.332386375881062,-2.0792273992550987,30.102297867529415
2019-08-12,64.0199966430664,64.23699951171875,60.25199890136719,62.29999923706055,62.29999923706055,8516800,SQ,73.36,False,,False,,False,8823770.0,65.0,False,69.0,False,72.0,False,72.0,False,66.0,False,-2.9217065011869323,-0.8502504009422361,-2.071456100244696,26.661008825838053
2019-08-13,62.0,63.5,61.52000045776367,63.0,63.0,11917600,SQ,73.41,False,,False,,False,8875928.0,65.0,False,68.0,False,71.0,False,72.0,False,66.0,False,-3.2322154820897993,-1.326643417171749,-1.9055720649180503,28.92135059719351
2019-08-14,61.849998474121094,62.349998474121094,60.470001220703125,61.54999923706055,61.54999923706055,8577900,SQ,73.37,False,,False,,False,8882798.0,64.0,False,66.0,False,70.0,False,71.0,False,66.0,False,-3.554326961241472,-1.7721801259856935,-1.7821468352557783,27.060829155465186
2019-08-15,62.0099983215332,62.68000030517578,61.2400016784668,62.0,62.0,7080300,SQ,73.31,False,,False,,False,8837790.0,63.0,False,66.0,False,70.0,False,71.0,False,66.0,False,-3.7302908574222187,-2.163802272272999,-1.5664885851492198,28.596040278402967
2019-08-16,62.61000061035156,63.209999084472656,62.130001068115234,62.869998931884766,62.869998931884766,5421400,SQ,73.26,False,,False,,False,8825782.0,63.0,False,65.0,False,69.0,False,70.0,False,66.0,False,-3.75624224752832,-2.482290267324063,-1.2739519802042567,31.593774109123643
