Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,10.1899995803833,10.1899995803833,10.100000381469727,10.100000381469727,10.094602584838867,39700,VRT,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,0.0,0.0,0.0,
2019-06-04,10.100000381469727,10.100000381469727,10.069999694824219,10.100000381469727,10.094602584838867,11900,VRT,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,0.0,0.0,0.0,
2019-06-05,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,10.094602584838867,400,VRT,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,0.0,0.0,0.0,
2019-06-06,10.086000442504883,10.09000015258789,10.069999694824219,10.09000015258789,10.084607124328613,3000,VRT,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,-0.0007977390561002551,-0.00015954781122005102,-0.0006381912448802041,
2019-06-07,10.100000381469727,10.100000381469727,10.09000015258789,10.100000381469727,10.094602584838867,35200,VRT,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,-0.000615918188614728,-0.00025082188669898646,-0.00036509630191574157,
2019-06-10,10.097000122070312,10.097000122070312,10.09000015258789,10.09000015258789,10.084607124328613,28600,VRT,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,-0.001264185987412958,-0.0004534947068417808,-0.0008106912805711772,
2019-06-11,10.088000297546387,10.088000297546387,10.086999893188477,10.086999893188477,10.081608772277832,1000,VRT,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,-0.001997018363203651,-0.0007621994381141548,-0.001234818925089496,
2019-06-12,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,10.094602584838867,10700,VRT,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,-0.0015113407507101329,-0.0009120277006333505,-0.0005993130500767823,
2019-06-13,10.09000015258789,10.100000381469727,10.09000015258789,10.09000015258789,10.084607124328613,20600,VRT,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,-0.0019113399024277555,-0.0011118901409922317,-0.0007994497614355238,
2019-06-14,10.09000015258789,10.140000343322754,10.09000015258789,10.100000381469727,10.094602584838867,3270100,VRT,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,-0.0014052088437992438,-0.0011705538815536343,-0.00023465496224560952,
2019-06-17,10.100000381469727,10.100000381469727,10.100000381469727,10.100000381469727,10.094602584838867,0,VRT,,False,,False,,False,,10.0,True,10.0,True,10.0,True,10.0,True,10.0,True,-0.000992653640102148,-0.001134973833263337,0.00014232019316118912,
