Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,79.79000091552734,81.31999969482422,79.7300033569336,80.36000061035156,80.18724822998047,4923000,XBI,,False,,False,,False,,80.0,True,80.0,True,80.0,True,80.0,True,80.0,True,0.0,0.0,0.0,
2019-06-04,81.47000122070312,82.7300033569336,80.69999694824219,82.54000091552734,82.3625717163086,4815100,XBI,,False,,False,,False,,81.0,True,81.0,True,81.0,True,80.0,True,80.0,True,0.17390315824765423,0.034780631649530845,0.13912252659812338,
2019-06-05,82.95999908447266,83.18000030517578,81.97000122070312,82.62000274658203,82.44239044189453,3710500,XBI,,False,,False,,False,,82.0,True,81.0,True,81.0,True,81.0,True,80.0,True,0.3145521814802521,0.0907349416156751,0.22381723986457702,
2019-06-06,82.5999984741211,82.91999816894531,80.98999786376953,81.36000061035156,81.18510437011719,3429800,XBI,,False,,False,,False,,82.0,False,81.0,True,81.0,True,81.0,True,80.0,True,0.32064965398336653,0.13671788408921337,0.18393176989415316,
2019-06-07,81.62999725341797,83.16999816894531,80.91999816894531,82.83999633789062,82.66191864013672,3959800,XBI,,False,,False,,False,,82.0,True,81.0,True,81.0,True,81.0,True,80.0,True,0.43983508615860956,0.1973413245030926,0.24249376165551695,
2019-06-10,83.6500015258789,83.87000274658203,82.0199966430664,82.08999633789062,81.91352844238281,3049400,XBI,,False,,False,,False,,82.0,True,82.0,True,81.0,True,81.0,True,80.0,True,0.468372560527726,0.25154757170801934,0.2168249888197067,
2019-06-11,82.81999969482422,83.01000213623047,80.80999755859375,81.18000030517578,81.0054931640625,3867700,XBI,,False,,False,,False,,82.0,False,81.0,True,81.0,True,81.0,True,80.0,True,0.4128011254661317,0.28379828245964184,0.12900284300648984,
2019-06-12,81.0999984741211,81.94000244140625,80.6500015258789,81.72000122070312,81.54434204101562,2063600,XBI,,False,,False,,False,,82.0,False,82.0,False,81.0,True,81.0,True,80.0,True,0.40763496162271906,0.3085656182922573,0.09906934333046175,
2019-06-13,82.37000274658203,83.0999984741211,81.54000091552734,83.0199966430664,82.8415298461914,2427600,XBI,,False,,False,,False,,82.0,True,82.0,True,81.0,True,81.0,True,80.0,True,0.5026453232259769,0.3473815592790013,0.1552637639469756,
2019-06-14,83.11000061035156,83.11000061035156,81.44999694824219,81.48999786376953,81.31482696533203,3080500,XBI,,False,,False,,False,,82.0,False,82.0,False,81.0,True,81.0,True,81.0,True,0.44930430421651124,0.3677661082665033,0.08153819595000794,
2019-06-17,83.04000091552734,85.48999786376953,82.87000274658203,85.3499984741211,85.16651916503906,7742500,XBI,,False,,False,,False,,83.0,True,82.0,True,82.0,True,81.0,True,81.0,True,0.7103129071947905,0.4362754680521608,0.2740374391426297,
2019-06-18,86.31999969482422,87.45999908447266,85.9800033569336,86.95999908447266,86.77306365966797,7604200,XBI,,False,,False,,False,,84.0,True,83.0,True,82.0,True,81.0,True,81.0,True,1.035145190044048,0.5560494124505382,0.47909577759350985,
2019-06-19,86.93000030517578,87.37000274658203,86.48999786376953,86.98999786376953,86.8030014038086,3092500,XBI,,False,,False,,False,,85.0,True,84.0,True,83.0,True,82.0,True,81.0,True,1.2802399559804627,0.7008875211565231,0.5793524348239396,
2019-06-20,88.05000305175781,88.7699966430664,86.69999694824219,86.97000122070312,86.78305053710938,4497600,XBI,,False,,False,,False,,86.0,True,84.0,True,83.0,True,82.0,True,81.0,True,1.4560809668144685,0.8519262102881122,0.6041547565263563,
2019-06-21,86.51000213623047,87.26000213623047,85.3499984741211,87.26000213623047,87.07242584228516,3211000,XBI,,False,,False,,False,,86.0,True,85.0,True,83.0,True,82.0,True,81.0,True,1.6003886014208888,1.0016186885146676,0.5987699129062212,74.07015422150982
2019-06-24,87.12999725341797,87.22000122070312,84.62000274658203,84.7300033569336,84.54786682128906,3888400,XBI,,False,,False,,False,,86.0,False,85.0,False,84.0,True,82.0,True,81.0,True,1.4933888273205298,1.0999727162758401,0.39341611104468965,57.8532921625421
2019-06-25,85.45999908447266,85.87999725341797,84.20999908447266,84.41000366210938,84.22856140136719,4530500,XBI,,False,,False,,False,,85.0,False,85.0,False,84.0,True,82.0,True,81.0,True,1.3670113781981286,1.1533804486602979,0.2136309295378307,56.17795045508933
2019-06-26,84.87999725341797,85.0999984741211,83.33000183105469,83.80000305175781,83.61986541748047,3687500,XBI,,False,,False,,False,,85.0,False,85.0,False,84.0,False,82.0,True,81.0,True,1.2037582126388884,1.163456001456016,0.04030221118287236,53.02565611351445
2019-06-27,83.9800033569336,86.12000274658203,83.9800033569336,85.94999694824219,85.76522827148438,4157200,XBI,,False,,False,,False,,85.0,True,85.0,True,84.0,True,82.0,True,81.0,True,1.2336447531580177,1.1774937517964164,0.05615100136160134,61.27381828839863
2019-06-28,86.12999725341797,87.94000244140625,86.12999725341797,87.70999908447266,87.52144622802734,4825600,XBI,,False,,False,,False,,86.0,True,85.0,True,84.0,True,83.0,True,81.0,True,1.3834005350514218,1.2186751084474174,0.16472542660400435,66.46488820625751
