Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-06-03,25.969999313354492,26.290000915527344,25.920000076293945,26.18000030517578,25.020389556884766,63329300,XLF,,False,,False,,False,,26.0,True,26.0,True,26.0,True,26.0,True,26.0,True,0.0,0.0,0.0,
2019-06-04,26.5,26.920000076293945,26.43000030517578,26.889999389648438,25.698942184448242,45454400,XLF,,False,,False,,False,,26.0,True,26.0,True,26.0,True,26.0,True,26.0,True,0.05663810360465504,0.01132762072093101,0.04531048288372404,
2019-06-05,26.940000534057617,27.079999923706055,26.709999084472656,27.059999465942383,25.861408233642578,46599700,XLF,,False,,False,,False,,27.0,True,26.0,True,26.0,True,26.0,True,26.0,True,0.11392849737415034,0.03184779605157488,0.08208070132257546,
2019-06-06,27.06999969482422,27.270000457763672,26.920000076293945,27.15999984741211,25.95698356628418,37297600,XLF,,False,,False,,False,,27.0,True,27.0,True,26.0,True,26.0,True,26.0,True,0.1654930414717768,0.05857684513561527,0.10691619633616152,
2019-06-07,27.15999984741211,27.25,27.079999923706055,27.1200008392334,25.91875457763672,33054800,XLF,,False,,False,,False,,27.0,True,27.0,True,26.0,True,26.0,True,26.0,True,0.2008158484004241,0.08702464578857705,0.11379120261184705,
2019-06-10,27.280000686645508,27.549999237060547,27.280000686645508,27.350000381469727,26.138565063476562,37081400,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,26.0,True,26.0,True,0.24454945436736253,0.11852960750433414,0.1260198468630284,
2019-06-11,27.5,27.610000610351562,27.280000686645508,27.360000610351562,26.148120880126953,34273400,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,26.0,True,26.0,True,0.27682452625376897,0.15018859125422113,0.12663593499954784,
2019-06-12,27.329999923706055,27.3799991607666,27.030000686645508,27.09000015258789,25.89008140563965,36866000,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,26.0,True,26.0,True,0.27741806997560303,0.1756344869984975,0.10178358297710552,
2019-06-13,27.139999389648438,27.270000457763672,27.06999969482422,27.18000030517578,25.97609519958496,31020000,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,26.0,True,26.0,True,0.28190113697293384,0.1968878169933848,0.08501331997954903,
2019-06-14,27.209999084472656,27.329999923706055,27.0,27.239999771118164,26.033435821533203,29724100,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,26.0,True,26.0,True,0.28698724501498774,0.21490770259770542,0.07207954241728232,
2019-06-17,27.229999542236328,27.309999465942383,26.959999084472656,26.989999771118164,25.794509887695312,40981600,XLF,,False,,False,,False,,27.0,False,27.0,False,27.0,False,26.0,True,26.0,True,0.26775855764036294,0.22547787360623694,0.04228068403412599,
2019-06-18,26.93000030517578,27.459999084472656,26.93000030517578,27.350000381469727,26.138565063476562,46237400,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,27.0,True,26.0,True,0.27835996456702716,0.23605429179839502,0.04230567276863215,
2019-06-19,27.399999618530273,27.59000015258789,27.270000457763672,27.299999237060547,26.09078025817871,58118500,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,27.0,True,26.0,True,0.27950502155593426,0.24474443774990287,0.03476058380603139,
2019-06-20,27.450000762939453,27.530000686645508,27.1200008392334,27.420000076293945,26.205461502075195,50583800,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,27.0,True,26.0,True,0.28678962008659425,0.25315347421724116,0.033636145869353096,
2019-06-21,27.299999237060547,27.479999542236328,27.18000030517578,27.219999313354492,26.146867752075195,65322300,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,27.0,True,26.0,True,0.27327419203326286,0.2571776177804455,0.016096574252817353,62.332884024076314
2019-06-24,27.170000076293945,27.360000610351562,27.079999923706055,27.110000610351562,26.04120635986328,48377800,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,27.0,True,26.0,True,0.250796120332744,0.25590131829090523,-0.005105197958161223,58.07609109970183
2019-06-25,27.110000610351562,27.149999618530273,26.889999389648438,27.020000457763672,25.954753875732422,47748500,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,27.0,True,26.0,True,0.2231475206990261,0.24935055877252943,-0.026203038073503326,54.77979604880577
2019-06-26,27.079999923706055,27.209999084472656,26.959999084472656,26.969999313354492,25.90672492980957,31448000,XLF,,False,,False,,False,,27.0,False,27.0,False,27.0,False,27.0,False,26.0,True,0.19495382546961437,0.23847121211194644,-0.04351738664233207,52.980646211958124
2019-06-27,27.06999969482422,27.290000915527344,27.06999969482422,27.209999084472656,26.13726234436035,59459800,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,27.0,True,26.0,True,0.18978833288084118,0.22873463626572538,-0.038946303384884196,59.80463716721366
2019-06-28,27.530000686645508,27.700000762939453,27.239999771118164,27.600000381469727,26.51188850402832,76728100,XLF,,False,,False,,False,,27.0,True,27.0,True,27.0,True,27.0,True,26.0,True,0.21468967909873982,0.2259256448323283,-0.011235965733588482,67.94580291099976
2019-07-01,27.920000076293945,28.049999237060547,27.780000686645508,27.93000030517578,26.828880310058594,48971100,XLF,,False,,False,,False,,28.0,False,27.0,True,27.0,True,27.0,True,26.0,True,0.2580774550454521,0.23235600687495306,0.02572144817049904,72.94005077084233
2019-07-02,27.889999389648438,27.979999542236328,27.709999084472656,27.860000610351562,26.761638641357422,56626800,XLF,,False,,False,,False,,28.0,False,27.0,True,27.0,True,27.0,True,26.0,True,0.2835456519402868,0.2425939358880198,0.040951716052266995,70.43319376739632
2019-07-03,27.950000762939453,28.09000015258789,27.8700008392334,28.079999923706055,26.97296714782715,23706800,XLF,,False,,False,,False,,28.0,True,28.0,True,27.0,True,27.0,True,26.0,True,0.3178178807500984,0.25763872486043554,0.06017915588966288,73.51416111246684
