Date,Open,High,Low,Close,Adj Close,Volume,Stock,SMA_50,T_SMA_50,SMA_150,T_SMA_150,SMA_200,T_SMA_200,VOL_50,EMA_5,T_EMA_5,EMA_10,T_EMA_10,EMA_21,T_EMA_21,EMA_50,T_EMA_50,EMA_200,T_EMA_200,MACD,SIGNAL,HIST,RSI
2019-12-11,32.75,35.0,32.099998474121094,34.459999084472656,34.459999084472656,34635800,XP,,False,,False,,False,,34.0,True,34.0,True,34.0,True,34.0,True,34.0,True,0.0,0.0,0.0,
2019-12-12,34.08000183105469,37.459999084472656,33.43000030517578,34.63999938964844,34.63999938964844,8121000,XP,,False,,False,,False,,35.0,False,34.0,True,34.0,True,34.0,True,34.0,True,0.014358998703478676,0.002871799740695735,0.01148719896278294,
2019-12-13,34.70000076293945,38.31999969482422,34.099998474121094,37.709999084472656,37.709999084472656,5115700,XP,,False,,False,,False,,36.0,True,35.0,True,35.0,True,35.0,True,34.0,True,0.27034555170553887,0.056366550133664366,0.2139790015718745,
2019-12-16,37.81999969482422,38.4900016784668,34.75,35.79999923706055,35.79999923706055,3946300,XP,,False,,False,,False,,36.0,False,35.0,True,35.0,True,35.0,True,35.0,True,0.3154592956975719,0.10818509924644588,0.20727419645112605,
2019-12-17,35.86000061035156,35.86000061035156,33.36399841308594,34.29999923706055,34.29999923706055,2336500,XP,,False,,False,,False,,35.0,False,35.0,False,35.0,False,35.0,False,35.0,False,0.22755172423039483,0.13205842424323566,0.09549329998715916,
2019-12-18,34.7599983215332,38.2400016784668,33.5099983215332,38.099998474121094,38.099998474121094,4238800,XP,,False,,False,,False,,36.0,True,36.0,True,35.0,True,35.0,True,35.0,True,0.4592189310318133,0.1974905256009512,0.2617284054308621,
2019-12-19,37.5,38.29999923706055,35.849998474121094,37.7599983215332,37.7599983215332,2946800,XP,,False,,False,,False,,37.0,True,36.0,True,35.0,True,35.0,True,35.0,True,0.6083687939201425,0.2796661792647895,0.32870261465535305,
2019-12-20,37.900001525878906,40.5,37.099998474121094,40.0,40.0,6497200,XP,,False,,False,,False,,38.0,True,37.0,True,36.0,True,35.0,True,35.0,True,0.8969807144776354,0.40312908630735866,0.4938516281702767,
2019-12-23,40.060001373291016,40.189998626708984,37.86000061035156,39.22999954223633,39.22999954223633,667400,XP,,False,,False,,False,,38.0,True,37.0,True,36.0,True,35.0,True,35.0,True,1.0514546246714147,0.5327941939801699,0.5186604306912448,
2019-12-24,39.0,40.0,38.20100021362305,39.630001068115234,39.630001068115234,180500,XP,,False,,False,,False,,39.0,True,38.0,True,36.0,True,35.0,True,35.0,True,1.1924077572332763,0.6647169066307912,0.5276908506024851,
2019-12-26,39.75,39.9900016784668,38.41999816894531,38.66999816894531,38.66999816894531,330200,XP,,False,,False,,False,,39.0,False,38.0,True,37.0,True,36.0,True,35.0,True,1.2126710029564123,0.7743077258959155,0.4383632770604968,
2019-12-27,38.81999969482422,39.41999816894531,37.775001525878906,38.4900016784668,38.4900016784668,499700,XP,,False,,False,,False,,39.0,False,38.0,True,37.0,True,36.0,True,35.0,True,1.2003684583086596,0.8595198723784643,0.3408485859301953,
2019-12-30,38.61000061035156,38.9739990234375,37.11000061035156,38.27000045776367,38.27000045776367,322500,XP,,False,,False,,False,,39.0,False,38.0,True,37.0,True,36.0,True,35.0,True,1.1595003449438295,0.9195159668915374,0.2399843780522921,
